country,year,vehicle,value,source
Austria,2000,"Motor coaches, buses and trolley buses",11.0,ESTAT:SDG_09_50(1.0)
Austria,2001,"Motor coaches, buses and trolley buses",10.9,ESTAT:SDG_09_50(1.0)
Austria,2002,"Motor coaches, buses and trolley buses",10.9,ESTAT:SDG_09_50(1.0)
Austria,2003,"Motor coaches, buses and trolley buses",10.9,ESTAT:SDG_09_50(1.0)
Austria,2004,"Motor coaches, buses and trolley buses",11.0,ESTAT:SDG_09_50(1.0)
Austria,2005,"Motor coaches, buses and trolley buses",10.5,ESTAT:SDG_09_50(1.0)
Austria,2006,"Motor coaches, buses and trolley buses",10.4,ESTAT:SDG_09_50(1.0)
Austria,2007,"Motor coaches, buses and trolley buses",10.8,ESTAT:SDG_09_50(1.0)
Austria,2008,"Motor coaches, buses and trolley buses",10.6,ESTAT:SDG_09_50(1.0)
Austria,2009,"Motor coaches, buses and trolley buses",9.7,ESTAT:SDG_09_50(1.0)
Austria,2010,"Motor coaches, buses and trolley buses",9.9,ESTAT:SDG_09_50(1.0)
Austria,2011,"Motor coaches, buses and trolley buses",10.0,ESTAT:SDG_09_50(1.0)
Austria,2012,"Motor coaches, buses and trolley buses",10.0,ESTAT:SDG_09_50(1.0)
Austria,2013,"Motor coaches, buses and trolley buses",9.9,ESTAT:SDG_09_50(1.0)
Austria,2014,"Motor coaches, buses and trolley buses",9.9,ESTAT:SDG_09_50(1.0)
Austria,2015,"Motor coaches, buses and trolley buses",9.9,ESTAT:SDG_09_50(1.0)
Austria,2016,"Motor coaches, buses and trolley buses",9.9,ESTAT:SDG_09_50(1.0)
Austria,2017,"Motor coaches, buses and trolley buses",10.0,ESTAT:SDG_09_50(1.0)
Austria,2018,"Motor coaches, buses and trolley buses",9.5,ESTAT:SDG_09_50(1.0)
Austria,2019,"Motor coaches, buses and trolley buses",9.7,ESTAT:SDG_09_50(1.0)
Austria,2020,"Motor coaches, buses and trolley buses",9.0,ESTAT:SDG_09_50(1.0)
Austria,2021,"Motor coaches, buses and trolley buses",9.1,ESTAT:SDG_09_50(1.0)
Austria,2022,"Motor coaches, buses and trolley buses",8.4,ESTAT:SDG_09_50(1.0)
Belgium,2000,"Motor coaches, buses and trolley buses",10.8,ESTAT:SDG_09_50(1.0)
Belgium,2001,"Motor coaches, buses and trolley buses",11.0,ESTAT:SDG_09_50(1.0)
Belgium,2002,"Motor coaches, buses and trolley buses",11.7,ESTAT:SDG_09_50(1.0)
Belgium,2003,"Motor coaches, buses and trolley buses",13.0,ESTAT:SDG_09_50(1.0)
Belgium,2004,"Motor coaches, buses and trolley buses",13.2,ESTAT:SDG_09_50(1.0)
Belgium,2005,"Motor coaches, buses and trolley buses",13.0,ESTAT:SDG_09_50(1.0)
Belgium,2006,"Motor coaches, buses and trolley buses",13.2,ESTAT:SDG_09_50(1.0)
Belgium,2007,"Motor coaches, buses and trolley buses",14.3,ESTAT:SDG_09_50(1.0)
Belgium,2008,"Motor coaches, buses and trolley buses",14.4,ESTAT:SDG_09_50(1.0)
Belgium,2009,"Motor coaches, buses and trolley buses",13.3,ESTAT:SDG_09_50(1.0)
Belgium,2010,"Motor coaches, buses and trolley buses",12.3,ESTAT:SDG_09_50(1.0)
Belgium,2011,"Motor coaches, buses and trolley buses",12.8,ESTAT:SDG_09_50(1.0)
Belgium,2012,"Motor coaches, buses and trolley buses",12.5,ESTAT:SDG_09_50(1.0)
Belgium,2013,"Motor coaches, buses and trolley buses",15.2,ESTAT:SDG_09_50(1.0)
Belgium,2014,"Motor coaches, buses and trolley buses",11.5,ESTAT:SDG_09_50(1.0)
Belgium,2015,"Motor coaches, buses and trolley buses",11.0,ESTAT:SDG_09_50(1.0)
Belgium,2016,"Motor coaches, buses and trolley buses",10.5,ESTAT:SDG_09_50(1.0)
Belgium,2017,"Motor coaches, buses and trolley buses",10.2,ESTAT:SDG_09_50(1.0)
Belgium,2018,"Motor coaches, buses and trolley buses",10.3,ESTAT:SDG_09_50(1.0)
Belgium,2019,"Motor coaches, buses and trolley buses",10.4,ESTAT:SDG_09_50(1.0)
Belgium,2020,"Motor coaches, buses and trolley buses",8.2,ESTAT:SDG_09_50(1.0)
Belgium,2021,"Motor coaches, buses and trolley buses",8.2,ESTAT:SDG_09_50(1.0)
Belgium,2022,"Motor coaches, buses and trolley buses",9.7,ESTAT:SDG_09_50(1.0)
Bulgaria,2000,"Motor coaches, buses and trolley buses",31.4,ESTAT:SDG_09_50(1.0)
Bulgaria,2001,"Motor coaches, buses and trolley buses",32.0,ESTAT:SDG_09_50(1.0)
Bulgaria,2002,"Motor coaches, buses and trolley buses",33.4,ESTAT:SDG_09_50(1.0)
Bulgaria,2003,"Motor coaches, buses and trolley buses",28.1,ESTAT:SDG_09_50(1.0)
Bulgaria,2004,"Motor coaches, buses and trolley buses",25.0,ESTAT:SDG_09_50(1.0)
Bulgaria,2005,"Motor coaches, buses and trolley buses",24.3,ESTAT:SDG_09_50(1.0)
Bulgaria,2006,"Motor coaches, buses and trolley buses",22.7,ESTAT:SDG_09_50(1.0)
