country,year,incgrp,value,source
Albania,2017,Above 60% of median equivalised income,0.5,ESTAT:SDG_16_20(1.0)
Albania,2018,Above 60% of median equivalised income,1.0,ESTAT:SDG_16_20(1.0)
Albania,2019,Above 60% of median equivalised income,0.7,ESTAT:SDG_16_20(1.0)
Albania,2020,Above 60% of median equivalised income,0.7,ESTAT:SDG_16_20(1.0)
Austria,2004,Above 60% of median equivalised income,9.5,ESTAT:SDG_16_20(1.0)
Austria,2005,Above 60% of median equivalised income,12.7,ESTAT:SDG_16_20(1.0)
Austria,2006,Above 60% of median equivalised income,12.2,ESTAT:SDG_16_20(1.0)
Austria,2007,Above 60% of median equivalised income,11.4,ESTAT:SDG_16_20(1.0)
Austria,2008,Above 60% of median equivalised income,10.8,ESTAT:SDG_16_20(1.0)
Austria,2009,Above 60% of median equivalised income,15.5,ESTAT:SDG_16_20(1.0)
Austria,2010,Above 60% of median equivalised income,13.6,ESTAT:SDG_16_20(1.0)
Austria,2011,Above 60% of median equivalised income,12.1,ESTAT:SDG_16_20(1.0)
Austria,2012,Above 60% of median equivalised income,12.0,ESTAT:SDG_16_20(1.0)
Austria,2013,Above 60% of median equivalised income,11.4,ESTAT:SDG_16_20(1.0)
Austria,2014,Above 60% of median equivalised income,13.9,ESTAT:SDG_16_20(1.0)
Austria,2015,Above 60% of median equivalised income,13.3,ESTAT:SDG_16_20(1.0)
Austria,2016,Above 60% of median equivalised income,12.7,ESTAT:SDG_16_20(1.0)
Austria,2017,Above 60% of median equivalised income,11.2,ESTAT:SDG_16_20(1.0)
Austria,2018,Above 60% of median equivalised income,10.1,ESTAT:SDG_16_20(1.0)
Austria,2019,Above 60% of median equivalised income,8.4,ESTAT:SDG_16_20(1.0)
Austria,2020,Above 60% of median equivalised income,5.5,ESTAT:SDG_16_20(1.0)
Austria,2023,Above 60% of median equivalised income,7.0,ESTAT:SDG_16_20(1.0)
Belgium,2003,Above 60% of median equivalised income,19.7,ESTAT:SDG_16_20(1.0)
Belgium,2004,Above 60% of median equivalised income,19.3,ESTAT:SDG_16_20(1.0)
Belgium,2005,Above 60% of median equivalised income,16.5,ESTAT:SDG_16_20(1.0)
Belgium,2006,Above 60% of median equivalised income,17.3,ESTAT:SDG_16_20(1.0)
Belgium,2007,Above 60% of median equivalised income,16.7,ESTAT:SDG_16_20(1.0)
Belgium,2008,Above 60% of median equivalised income,15.1,ESTAT:SDG_16_20(1.0)
Belgium,2009,Above 60% of median equivalised income,15.5,ESTAT:SDG_16_20(1.0)
Belgium,2010,Above 60% of median equivalised income,16.6,ESTAT:SDG_16_20(1.0)
Belgium,2011,Above 60% of median equivalised income,14.4,ESTAT:SDG_16_20(1.0)
Belgium,2012,Above 60% of median equivalised income,13.1,ESTAT:SDG_16_20(1.0)
Belgium,2013,Above 60% of median equivalised income,18.3,ESTAT:SDG_16_20(1.0)
Belgium,2014,Above 60% of median equivalised income,15.3,ESTAT:SDG_16_20(1.0)
Belgium,2015,Above 60% of median equivalised income,15.1,ESTAT:SDG_16_20(1.0)
Belgium,2016,Above 60% of median equivalised income,12.2,ESTAT:SDG_16_20(1.0)
Belgium,2017,Above 60% of median equivalised income,11.2,ESTAT:SDG_16_20(1.0)
Belgium,2018,Above 60% of median equivalised income,10.7,ESTAT:SDG_16_20(1.0)
Belgium,2019,Above 60% of median equivalised income,12.5,ESTAT:SDG_16_20(1.0)
Belgium,2020,Above 60% of median equivalised income,10.1,ESTAT:SDG_16_20(1.0)
Belgium,2023,Above 60% of median equivalised income,11.5,ESTAT:SDG_16_20(1.0)
Bulgaria,2005,Above 60% of median equivalised income,24.1,ESTAT:SDG_16_20(1.0)
Bulgaria,2006,Above 60% of median equivalised income,24.1,ESTAT:SDG_16_20(1.0)
Bulgaria,2007,Above 60% of median equivalised income,26.2,ESTAT:SDG_16_20(1.0)
Bulgaria,2008,Above 60% of median equivalised income,23.9,ESTAT:SDG_16_20(1.0)
Bulgaria,2009,Above 60% of median equivalised income,28.5,ESTAT:SDG_16_20(1.0)
Bulgaria,2010,Above 60% of median equivalised income,26.8,ESTAT:SDG_16_20(1.0)
Bulgaria,2011,Above 60% of median equivalised income,26.7,ESTAT:SDG_16_20(1.0)
Bulgaria,2012,Above 60% of median equivalised income,27.1,ESTAT:SDG_16_20(1.0)
Bulgaria,2013,Above 60% of median equivalised income,25.0,ESTAT:SDG_16_20(1.0)
Bulgaria,2014,Above 60% of median equivalised income,25.4,ESTAT:SDG_16_20(1.0)
Bulgaria,2015,Above 60% of median equivalised income,25.9,ESTAT:SDG_16_20(1.0)
Bulgaria,2016,Above 60% of median equivalised income,25.0,ESTAT:SDG_16_20(1.0)
Bulgaria,2017,Above 60% of median equivalised income,22.4,ESTAT:SDG_16_20(1.0)
Bulgaria,2018,Above 60% of median equivalised income,21.4,ESTAT:SDG_16_20(1.0)
Bulgaria,2019,Above 60% of median equivalised income,20.2,ESTAT:SDG_16_20(1.0)
Bulgaria,2020,Above 60% of median equivalised income,18.1,ESTAT:SDG_16_20(1.0)
Bulgaria,2023,Above 60% of median equivalised income,14.6,ESTAT:SDG_16_20(1.0)
Switzerland,2007,Above 60% of median equivalised income,12.8,ESTAT:SDG_16_20(1.0)
Switzerland,2008,Above 60% of median equivalised income,12.2,ESTAT:SDG_16_20(1.0)
Switzerland,2009,Above 60% of median equivalised income,11.9,ESTAT:SDG_16_20(1.0)
Switzerland,2010,Above 60% of median equivalised income,13.5,ESTAT:SDG_16_20(1.0)
Switzerland,2011,Above 60% of median equivalised income,12.1,ESTAT:SDG_16_20(1.0)
Switzerland,2012,Above 60% of median equivalised income,16.3,ESTAT:SDG_16_20(1.0)
Switzerland,2013,Above 60% of median equivalised income,14.3,ESTAT:SDG_16_20(1.0)
Switzerland,2014,Above 60% of median equivalised income,14.7,ESTAT:SDG_16_20(1.0)
Switzerland,2015,Above 60% of median equivalised income,11.6,ESTAT:SDG_16_20(1.0)
Switzerland,2016,Above 60% of median equivalised income,10.3,ESTAT:SDG_16_20(1.0)
Switzerland,2017,Above 60% of median equivalised income,8.6,ESTAT:SDG_16_20(1.0)
Switzerland,2018,Above 60% of median equivalised income,7.6,ESTAT:SDG_16_20(1.0)
Switzerland,2019,Above 60% of median equivalised income,6.8,ESTAT:SDG_16_20(1.0)
Switzerland,2020,Above 60% of median equivalised income,7.4,ESTAT:SDG_16_20(1.0)
Switzerland,2023,Above 60% of median equivalised income,8.7,ESTAT:SDG_16_20(1.0)
Cyprus,2005,Above 60% of median equivalised income,9.2,ESTAT:SDG_16_20(1.0)
Cyprus,2006,Above 60% of median equivalised income,13.3,ESTAT:SDG_16_20(1.0)
Cyprus,2007,Above 60% of median equivalised income,13.6,ESTAT:SDG_16_20(1.0)
Cyprus,2008,Above 60% of median equivalised income,10.4,ESTAT:SDG_16_20(1.0)
Cyprus,2009,Above 60% of median equivalised income,8.6,ESTAT:SDG_16_20(1.0)
Cyprus,2010,Above 60% of median equivalised income,13.3,ESTAT:SDG_16_20(1.0)
Cyprus,2011,Above 60% of median equivalised income,15.3,ESTAT:SDG_16_20(1.0)
Cyprus,2012,Above 60% of median equivalised income,15.9,ESTAT:SDG_16_20(1.0)
Cyprus,2013,Above 60% of median equivalised income,15.9,ESTAT:SDG_16_20(1.0)
Cyprus,2014,Above 60% of median equivalised income,12.6,ESTAT:SDG_16_20(1.0)
Cyprus,2015,Above 60% of median equivalised income,12.2,ESTAT:SDG_16_20(1.0)
Cyprus,2016,Above 60% of median equivalised income,10.1,ESTAT:SDG_16_20(1.0)
Cyprus,2017,Above 60% of median equivalised income,12.7,ESTAT:SDG_16_20(1.0)
Cyprus,2018,Above 60% of median equivalised income,15.0,ESTAT:SDG_16_20(1.0)
Cyprus,2019,Above 60% of median equivalised income,13.3,ESTAT:SDG_16_20(1.0)
Cyprus,2020,Above 60% of median equivalised income,10.9,ESTAT:SDG_16_20(1.0)
Cyprus,2023,Above 60% of median equivalised income,10.1,ESTAT:SDG_16_20(1.0)
Czechia,2005,Above 60% of median equivalised income,15.9,ESTAT:SDG_16_20(1.0)
Czechia,2006,Above 60% of median equivalised income,13.2,ESTAT:SDG_16_20(1.0)
Czechia,2007,Above 60% of median equivalised income,12.6,ESTAT:SDG_16_20(1.0)
Czechia,2008,Above 60% of median equivalised income,13.2,ESTAT:SDG_16_20(1.0)
Czechia,2009,Above 60% of median equivalised income,17.6,ESTAT:SDG_16_20(1.0)
Czechia,2010,Above 60% of median equivalised income,15.2,ESTAT:SDG_16_20(1.0)
Czechia,2011,Above 60% of median equivalised income,14.8,ESTAT:SDG_16_20(1.0)
Czechia,2012,Above 60% of median equivalised income,13.0,ESTAT:SDG_16_20(1.0)
Czechia,2013,Above 60% of median equivalised income,13.6,ESTAT:SDG_16_20(1.0)
Czechia,2014,Above 60% of median equivalised income,13.2,ESTAT:SDG_16_20(1.0)
Czechia,2015,Above 60% of median equivalised income,11.2,ESTAT:SDG_16_20(1.0)
Czechia,2016,Above 60% of median equivalised income,11.0,ESTAT:SDG_16_20(1.0)
Czechia,2017,Above 60% of median equivalised income,8.9,ESTAT:SDG_16_20(1.0)
Czechia,2018,Above 60% of median equivalised income,7.6,ESTAT:SDG_16_20(1.0)
Czechia,2019,Above 60% of median equivalised income,7.3,ESTAT:SDG_16_20(1.0)
Czechia,2020,Above 60% of median equivalised income,5.9,ESTAT:SDG_16_20(1.0)
Czechia,2023,Above 60% of median equivalised income,6.5,ESTAT:SDG_16_20(1.0)
Germany,2005,Above 60% of median equivalised income,9.2,ESTAT:SDG_16_20(1.0)
Germany,2006,Above 60% of median equivalised income,12.0,ESTAT:SDG_16_20(1.0)
Germany,2007,Above 60% of median equivalised income,11.4,ESTAT:SDG_16_20(1.0)
Germany,2008,Above 60% of median equivalised income,11.6,ESTAT:SDG_16_20(1.0)
Germany,2009,Above 60% of median equivalised income,11.1,ESTAT:SDG_16_20(1.0)
Germany,2010,Above 60% of median equivalised income,10.7,ESTAT:SDG_16_20(1.0)
Germany,2011,Above 60% of median equivalised income,11.6,ESTAT:SDG_16_20(1.0)
Germany,2012,Above 60% of median equivalised income,11.4,ESTAT:SDG_16_20(1.0)
Germany,2013,Above 60% of median equivalised income,12.3,ESTAT:SDG_16_20(1.0)
Germany,2014,Above 60% of median equivalised income,12.0,ESTAT:SDG_16_20(1.0)
Germany,2015,Above 60% of median equivalised income,12.6,ESTAT:SDG_16_20(1.0)
Germany,2016,Above 60% of median equivalised income,13.0,ESTAT:SDG_16_20(1.0)
Germany,2017,Above 60% of median equivalised income,13.3,ESTAT:SDG_16_20(1.0)
Germany,2018,Above 60% of median equivalised income,12.1,ESTAT:SDG_16_20(1.0)
Germany,2019,Above 60% of median equivalised income,12.2,ESTAT:SDG_16_20(1.0)
Germany,2020,Above 60% of median equivalised income,7.7,ESTAT:SDG_16_20(1.0)
Germany,2023,Above 60% of median equivalised income,10.4,ESTAT:SDG_16_20(1.0)
Denmark,2003,Above 60% of median equivalised income,10.1,ESTAT:SDG_16_20(1.0)
Denmark,2004,Above 60% of median equivalised income,13.8,ESTAT:SDG_16_20(1.0)
Denmark,2005,Above 60% of median equivalised income,13.5,ESTAT:SDG_16_20(1.0)
Denmark,2006,Above 60% of median equivalised income,13.4,ESTAT:SDG_16_20(1.0)
Denmark,2007,Above 60% of median equivalised income,13.5,ESTAT:SDG_16_20(1.0)
Denmark,2008,Above 60% of median equivalised income,16.3,ESTAT:SDG_16_20(1.0)
Denmark,2009,Above 60% of median equivalised income,16.2,ESTAT:SDG_16_20(1.0)
Denmark,2010,Above 60% of median equivalised income,13.9,ESTAT:SDG_16_20(1.0)
Denmark,2011,Above 60% of median equivalised income,15.3,ESTAT:SDG_16_20(1.0)
Denmark,2012,Above 60% of median equivalised income,9.8,ESTAT:SDG_16_20(1.0)
Denmark,2013,Above 60% of median equivalised income,9.1,ESTAT:SDG_16_20(1.0)
Denmark,2014,Above 60% of median equivalised income,8.4,ESTAT:SDG_16_20(1.0)
Denmark,2015,Above 60% of median equivalised income,6.9,ESTAT:SDG_16_20(1.0)
Denmark,2016,Above 60% of median equivalised income,7.7,ESTAT:SDG_16_20(1.0)
Denmark,2017,Above 60% of median equivalised income,7.3,ESTAT:SDG_16_20(1.0)
Denmark,2018,Above 60% of median equivalised income,6.7,ESTAT:SDG_16_20(1.0)
Denmark,2019,Above 60% of median equivalised income,7.1,ESTAT:SDG_16_20(1.0)
Denmark,2020,Above 60% of median equivalised income,7.0,ESTAT:SDG_16_20(1.0)
Denmark,2023,Above 60% of median equivalised income,5.8,ESTAT:SDG_16_20(1.0)
Euro area - 19 countries  (2015-2022),2005,Above 60% of median equivalised income,14.0,ESTAT:SDG_16_20(1.0)
Euro area - 19 countries  (2015-2022),2006,Above 60% of median equivalised income,14.4,ESTAT:SDG_16_20(1.0)
Euro area - 19 countries  (2015-2022),2007,Above 60% of median equivalised income,14.3,ESTAT:SDG_16_20(1.0)
Euro area - 19 countries  (2015-2022),2008,Above 60% of median equivalised income,13.1,ESTAT:SDG_16_20(1.0)
Euro area - 19 countries  (2015-2022),2009,Above 60% of median equivalised income,14.5,ESTAT:SDG_16_20(1.0)
Euro area - 19 countries  (2015-2022),2010,Above 60% of median equivalised income,12.8,ESTAT:SDG_16_20(1.0)
Euro area - 19 countries  (2015-2022),2011,Above 60% of median equivalised income,12.9,ESTAT:SDG_16_20(1.0)
Euro area - 19 countries  (2015-2022),2012,Above 60% of median equivalised income,12.8,ESTAT:SDG_16_20(1.0)
Euro area - 19 countries  (2015-2022),2013,Above 60% of median equivalised income,14.4,ESTAT:SDG_16_20(1.0)
Euro area - 19 countries  (2015-2022),2014,Above 60% of median equivalised income,13.9,ESTAT:SDG_16_20(1.0)
Euro area - 19 countries  (2015-2022),2015,Above 60% of median equivalised income,13.6,ESTAT:SDG_16_20(1.0)
Euro area - 19 countries  (2015-2022),2016,Above 60% of median equivalised income,12.5,ESTAT:SDG_16_20(1.0)
Euro area - 19 countries  (2015-2022),2017,Above 60% of median equivalised income,11.8,ESTAT:SDG_16_20(1.0)
Euro area - 19 countries  (2015-2022),2018,Above 60% of median equivalised income,11.8,ESTAT:SDG_16_20(1.0)
Euro area - 19 countries  (2015-2022),2019,Above 60% of median equivalised income,11.5,ESTAT:SDG_16_20(1.0)
Euro area - 19 countries  (2015-2022),2020,Above 60% of median equivalised income,11.2,ESTAT:SDG_16_20(1.0)
Euro area – 20 countries (from 2023),2023,Above 60% of median equivalised income,10.8,ESTAT:SDG_16_20(1.0)
Estonia,2004,Above 60% of median equivalised income,27.7,ESTAT:SDG_16_20(1.0)
Estonia,2005,Above 60% of median equivalised income,24.0,ESTAT:SDG_16_20(1.0)
Estonia,2006,Above 60% of median equivalised income,19.9,ESTAT:SDG_16_20(1.0)
Estonia,2007,Above 60% of median equivalised income,21.1,ESTAT:SDG_16_20(1.0)
Estonia,2008,Above 60% of median equivalised income,16.9,ESTAT:SDG_16_20(1.0)
Estonia,2009,Above 60% of median equivalised income,19.9,ESTAT:SDG_16_20(1.0)
Estonia,2010,Above 60% of median equivalised income,17.9,ESTAT:SDG_16_20(1.0)
Estonia,2011,Above 60% of median equivalised income,13.9,ESTAT:SDG_16_20(1.0)
Estonia,2012,Above 60% of median equivalised income,15.3,ESTAT:SDG_16_20(1.0)
Estonia,2013,Above 60% of median equivalised income,11.7,ESTAT:SDG_16_20(1.0)
Estonia,2014,Above 60% of median equivalised income,12.1,ESTAT:SDG_16_20(1.0)
Estonia,2015,Above 60% of median equivalised income,11.7,ESTAT:SDG_16_20(1.0)
Estonia,2016,Above 60% of median equivalised income,9.0,ESTAT:SDG_16_20(1.0)
Estonia,2017,Above 60% of median equivalised income,7.2,ESTAT:SDG_16_20(1.0)
Estonia,2018,Above 60% of median equivalised income,7.4,ESTAT:SDG_16_20(1.0)
Estonia,2019,Above 60% of median equivalised income,7.4,ESTAT:SDG_16_20(1.0)
Estonia,2020,Above 60% of median equivalised income,5.5,ESTAT:SDG_16_20(1.0)
Estonia,2023,Above 60% of median equivalised income,4.4,ESTAT:SDG_16_20(1.0)
Greece,2003,Above 60% of median equivalised income,10.4,ESTAT:SDG_16_20(1.0)
Greece,2004,Above 60% of median equivalised income,8.3,ESTAT:SDG_16_20(1.0)
Greece,2005,Above 60% of median equivalised income,9.1,ESTAT:SDG_16_20(1.0)
Greece,2006,Above 60% of median equivalised income,9.0,ESTAT:SDG_16_20(1.0)
Greece,2007,Above 60% of median equivalised income,10.8,ESTAT:SDG_16_20(1.0)
Greece,2008,Above 60% of median equivalised income,12.6,ESTAT:SDG_16_20(1.0)
Greece,2009,Above 60% of median equivalised income,17.0,ESTAT:SDG_16_20(1.0)
Greece,2010,Above 60% of median equivalised income,20.0,ESTAT:SDG_16_20(1.0)
Greece,2011,Above 60% of median equivalised income,20.2,ESTAT:SDG_16_20(1.0)
