country,year,bmi,value,source
Albania,2022,Pre-obese,44.8,ESTAT:SDG_02_10(1.0)
Austria,2008,Pre-obese,36.5,ESTAT:SDG_02_10(1.0)
Austria,2014,Pre-obese,33.3,ESTAT:SDG_02_10(1.0)
Austria,2017,Pre-obese,35.0,ESTAT:SDG_02_10(1.0)
Austria,2019,Pre-obese,35.0,ESTAT:SDG_02_10(1.0)
Austria,2022,Pre-obese,35.0,ESTAT:SDG_02_10(1.0)
Belgium,2008,Pre-obese,33.5,ESTAT:SDG_02_10(1.0)
Belgium,2014,Pre-obese,35.3,ESTAT:SDG_02_10(1.0)
Belgium,2017,Pre-obese,33.9,ESTAT:SDG_02_10(1.0)
Belgium,2019,Pre-obese,33.9,ESTAT:SDG_02_10(1.0)
Belgium,2022,Pre-obese,33.2,ESTAT:SDG_02_10(1.0)
Bulgaria,2008,Pre-obese,39.3,ESTAT:SDG_02_10(1.0)
Bulgaria,2014,Pre-obese,39.2,ESTAT:SDG_02_10(1.0)
Bulgaria,2017,Pre-obese,45.3,ESTAT:SDG_02_10(1.0)
Bulgaria,2019,Pre-obese,41.2,ESTAT:SDG_02_10(1.0)
Bulgaria,2022,Pre-obese,42.0,ESTAT:SDG_02_10(1.0)
Switzerland,2017,Pre-obese,31.9,ESTAT:SDG_02_10(1.0)
Switzerland,2022,Pre-obese,32.1,ESTAT:SDG_02_10(1.0)
Cyprus,2008,Pre-obese,35.7,ESTAT:SDG_02_10(1.0)
Cyprus,2014,Pre-obese,33.8,ESTAT:SDG_02_10(1.0)
Cyprus,2017,Pre-obese,38.0,ESTAT:SDG_02_10(1.0)
Cyprus,2019,Pre-obese,34.6,ESTAT:SDG_02_10(1.0)
Cyprus,2022,Pre-obese,34.5,ESTAT:SDG_02_10(1.0)
Czechia,2008,Pre-obese,38.3,ESTAT:SDG_02_10(1.0)
Czechia,2014,Pre-obese,37.6,ESTAT:SDG_02_10(1.0)
Czechia,2017,Pre-obese,41.9,ESTAT:SDG_02_10(1.0)
Czechia,2019,Pre-obese,40.1,ESTAT:SDG_02_10(1.0)
Czechia,2022,Pre-obese,38.7,ESTAT:SDG_02_10(1.0)
Germany,2008,Pre-obese,36.3,ESTAT:SDG_02_10(1.0)
Germany,2014,Pre-obese,35.2,ESTAT:SDG_02_10(1.0)
Germany,2017,Pre-obese,35.3,ESTAT:SDG_02_10(1.0)
Germany,2019,Pre-obese,34.5,ESTAT:SDG_02_10(1.0)
Germany,2022,Pre-obese,,ESTAT:SDG_02_10(1.0)
Denmark,2014,Pre-obese,32.9,ESTAT:SDG_02_10(1.0)
Denmark,2017,Pre-obese,36.5,ESTAT:SDG_02_10(1.0)
Denmark,2019,Pre-obese,34.0,ESTAT:SDG_02_10(1.0)
Denmark,2022,Pre-obese,35.2,ESTAT:SDG_02_10(1.0)
Euro area – 20 countries (from 2023),2017,Pre-obese,35.3,ESTAT:SDG_02_10(1.0)
Euro area – 20 countries (from 2023),2022,Pre-obese,35.0,ESTAT:SDG_02_10(1.0)
Estonia,2008,Pre-obese,32.5,ESTAT:SDG_02_10(1.0)
Estonia,2014,Pre-obese,33.5,ESTAT:SDG_02_10(1.0)
Estonia,2017,Pre-obese,35.1,ESTAT:SDG_02_10(1.0)
Estonia,2019,Pre-obese,34.9,ESTAT:SDG_02_10(1.0)
Estonia,2022,Pre-obese,35.2,ESTAT:SDG_02_10(1.0)
Greece,2008,Pre-obese,38.7,ESTAT:SDG_02_10(1.0)
Greece,2014,Pre-obese,39.4,ESTAT:SDG_02_10(1.0)
Greece,2017,Pre-obese,43.2,ESTAT:SDG_02_10(1.0)
Greece,2019,Pre-obese,41.0,ESTAT:SDG_02_10(1.0)
Greece,2022,Pre-obese,42.9,ESTAT:SDG_02_10(1.0)
Spain,2008,Pre-obese,37.3,ESTAT:SDG_02_10(1.0)
Spain,2014,Pre-obese,35.7,ESTAT:SDG_02_10(1.0)
Spain,2017,Pre-obese,37.6,ESTAT:SDG_02_10(1.0)
