country,year,unit,traffic,deaths
Austria,2000,Number,Motorways,126.0
Austria,2001,Number,Motorways,156.0
Austria,2002,Number,Motorways,126.0
Austria,2003,Number,Motorways,106.0
Austria,2004,Number,Motorways,118.0
Austria,2005,Number,Motorways,89.0
Austria,2006,Number,Motorways,74.0
Austria,2007,Number,Motorways,74.0
Austria,2008,Number,Motorways,71.0
Austria,2009,Number,Motorways,61.0
Austria,2010,Number,Motorways,59.0
Austria,2011,Number,Motorways,46.0
Austria,2012,Number,Motorways,50.0
Austria,2013,Number,Motorways,31.0
Austria,2014,Number,Motorways,36.0
Austria,2015,Number,Motorways,41.0
Austria,2016,Number,Motorways,34.0
Austria,2017,Number,Motorways,45.0
Austria,2018,Number,Motorways,28.0
Austria,2019,Number,Motorways,29.0
Austria,2020,Number,Motorways,26.0
Austria,2021,Number,Motorways,33.0
Austria,2022,Number,Motorways,30.0
Belgium,2000,Number,Motorways,236.0
Belgium,2001,Number,Motorways,192.0
Belgium,2002,Number,Motorways,171.0
Belgium,2003,Number,Motorways,140.0
Belgium,2004,Number,Motorways,125.0
Belgium,2005,Number,Motorways,161.0
Belgium,2006,Number,Motorways,164.0
Belgium,2007,Number,Motorways,153.0
Belgium,2008,Number,Motorways,139.0
Belgium,2009,Number,Motorways,150.0
Belgium,2010,Number,Motorways,109.0
Belgium,2011,Number,Motorways,130.0
Belgium,2012,Number,Motorways,113.0
Belgium,2013,Number,Motorways,128.0
Belgium,2014,Number,Motorways,108.0
Belgium,2015,Number,Motorways,110.0
Belgium,2016,Number,Motorways,102.0
Belgium,2017,Number,Motorways,98.0
Belgium,2018,Number,Motorways,102.0
Belgium,2019,Number,Motorways,116.0
Belgium,2020,Number,Motorways,86.0
Belgium,2021,Number,Motorways,81.0
Belgium,2022,Number,Motorways,86.0
Bulgaria,2008,Number,Motorways,38.0
Bulgaria,2009,Number,Motorways,36.0
Bulgaria,2010,Number,Motorways,37.0
Bulgaria,2011,Number,Motorways,36.0
Bulgaria,2012,Number,Motorways,20.0
Bulgaria,2013,Number,Motorways,20.0
Bulgaria,2014,Number,Motorways,39.0
Bulgaria,2015,Number,Motorways,60.0
Bulgaria,2016,Number,Motorways,42.0
Bulgaria,2017,Number,Motorways,62.0
Bulgaria,2018,Number,Motorways,58.0
Bulgaria,2019,Number,Motorways,45.0
Bulgaria,2020,Number,Motorways,35.0
Bulgaria,2021,Number,Motorways,75.0
Bulgaria,2022,Number,Motorways,32.0
Switzerland,2001,Number,Motorways,71.0
Switzerland,2002,Number,Motorways,76.0
Switzerland,2003,Number,Motorways,58.0
Switzerland,2004,Number,Motorways,51.0
Switzerland,2005,Number,Motorways,25.0
Switzerland,2006,Number,Motorways,31.0
Switzerland,2007,Number,Motorways,47.0
Switzerland,2008,Number,Motorways,27.0
Switzerland,2009,Number,Motorways,34.0
Switzerland,2010,Number,Motorways,23.0
Switzerland,2011,Number,Motorways,22.0
Switzerland,2012,Number,Motorways,63.0
Switzerland,2013,Number,Motorways,23.0
Switzerland,2014,Number,Motorways,12.0
Switzerland,2015,Number,Motorways,21.0
Switzerland,2016,Number,Motorways,19.0
Switzerland,2017,Number,Motorways,25.0
Switzerland,2018,Number,Motorways,19.0
Switzerland,2019,Number,Motorways,24.0
Switzerland,2020,Number,Motorways,18.0
Switzerland,2021,Number,Motorways,15.0
Switzerland,2022,Number,Motorways,21.0
Cyprus,2005,Number,Motorways,13.0
Cyprus,2006,Number,Motorways,9.0
Cyprus,2007,Number,Motorways,13.0
Cyprus,2008,Number,Motorways,7.0
Cyprus,2009,Number,Motorways,7.0
Cyprus,2010,Number,Motorways,8.0
Cyprus,2011,Number,Motorways,7.0
Cyprus,2012,Number,Motorways,3.0
Cyprus,2013,Number,Motorways,2.0
Cyprus,2014,Number,Motorways,3.0
Cyprus,2015,Number,Motorways,6.0
Cyprus,2016,Number,Motorways,1.0
