country,year,unit12,consumption
Austria,2010,Planetary Boundary,3.43
Austria,2011,Planetary Boundary,3.44
Austria,2012,Planetary Boundary,3.36
Austria,2013,Planetary Boundary,3.37
Austria,2014,Planetary Boundary,3.36
Austria,2015,Planetary Boundary,3.38
Austria,2016,Planetary Boundary,3.4
Austria,2017,Planetary Boundary,3.35
Austria,2018,Planetary Boundary,3.36
Austria,2019,Planetary Boundary,3.35
Austria,2020,Planetary Boundary,3.25
Austria,2021,Planetary Boundary,3.31
Austria,2022,Planetary Boundary,3.35
Belgium,2010,Planetary Boundary,3.62
Belgium,2011,Planetary Boundary,3.66
Belgium,2012,Planetary Boundary,3.57
Belgium,2013,Planetary Boundary,3.65
Belgium,2014,Planetary Boundary,3.71
Belgium,2015,Planetary Boundary,3.68
Belgium,2016,Planetary Boundary,3.59
Belgium,2017,Planetary Boundary,3.74
Belgium,2018,Planetary Boundary,3.63
Belgium,2019,Planetary Boundary,3.74
Belgium,2020,Planetary Boundary,3.56
Belgium,2021,Planetary Boundary,3.63
Belgium,2022,Planetary Boundary,3.52
Bulgaria,2010,Planetary Boundary,1.93
Bulgaria,2011,Planetary Boundary,1.94
Bulgaria,2012,Planetary Boundary,1.97
Bulgaria,2013,Planetary Boundary,1.99
Bulgaria,2014,Planetary Boundary,2.05
Bulgaria,2015,Planetary Boundary,2.16
Bulgaria,2016,Planetary Boundary,2.19
Bulgaria,2017,Planetary Boundary,2.21
Bulgaria,2018,Planetary Boundary,2.29
Bulgaria,2019,Planetary Boundary,2.38
Bulgaria,2020,Planetary Boundary,2.24
Bulgaria,2021,Planetary Boundary,2.36
Bulgaria,2022,Planetary Boundary,2.59
Cyprus,2010,Planetary Boundary,3.76
Cyprus,2011,Planetary Boundary,3.72
Cyprus,2012,Planetary Boundary,3.69
Cyprus,2013,Planetary Boundary,3.58
Cyprus,2014,Planetary Boundary,3.66
Cyprus,2015,Planetary Boundary,3.73
Cyprus,2016,Planetary Boundary,3.85
Cyprus,2017,Planetary Boundary,3.94
Cyprus,2018,Planetary Boundary,3.95
Cyprus,2019,Planetary Boundary,3.94
Cyprus,2020,Planetary Boundary,3.45
Cyprus,2021,Planetary Boundary,3.63
Cyprus,2022,Planetary Boundary,3.86
Czechia,2010,Planetary Boundary,2.87
Czechia,2011,Planetary Boundary,2.91
Czechia,2012,Planetary Boundary,2.74
Czechia,2013,Planetary Boundary,2.72
Czechia,2014,Planetary Boundary,2.72
Czechia,2015,Planetary Boundary,2.81
Czechia,2016,Planetary Boundary,2.9
Czechia,2017,Planetary Boundary,2.95
Czechia,2018,Planetary Boundary,3.0
Czechia,2019,Planetary Boundary,3.02
Czechia,2020,Planetary Boundary,2.89
Czechia,2021,Planetary Boundary,3.17
Czechia,2022,Planetary Boundary,3.23
Germany,2010,Planetary Boundary,3.68
Germany,2011,Planetary Boundary,3.81
Germany,2012,Planetary Boundary,3.8
Germany,2013,Planetary Boundary,3.84
Germany,2014,Planetary Boundary,3.84
Germany,2015,Planetary Boundary,3.81
Germany,2016,Planetary Boundary,3.85
Germany,2017,Planetary Boundary,3.82
Germany,2018,Planetary Boundary,3.82
Germany,2019,Planetary Boundary,3.84
Germany,2020,Planetary Boundary,3.72
Germany,2021,Planetary Boundary,3.63
Germany,2022,Planetary Boundary,3.65
Denmark,2010,Planetary Boundary,3.95
Denmark,2011,Planetary Boundary,3.96
Denmark,2012,Planetary Boundary,4.06
Denmark,2013,Planetary Boundary,4.03
Denmark,2014,Planetary Boundary,4.16
Denmark,2015,Planetary Boundary,4.22
Denmark,2016,Planetary Boundary,4.22
Denmark,2017,Planetary Boundary,4.22
Denmark,2018,Planetary Boundary,4.2
Denmark,2019,Planetary Boundary,4.29
Denmark,2020,Planetary Boundary,4.14
Denmark,2021,Planetary Boundary,4.1
Denmark,2022,Planetary Boundary,4.24
Estonia,2010,Planetary Boundary,3.24
Estonia,2011,Planetary Boundary,3.2
Estonia,2012,Planetary Boundary,3.08
Estonia,2013,Planetary Boundary,3.11
Estonia,2014,Planetary Boundary,3.18
Estonia,2015,Planetary Boundary,3.25
Estonia,2016,Planetary Boundary,3.46
Estonia,2017,Planetary Boundary,3.5
Estonia,2018,Planetary Boundary,3.42
Estonia,2019,Planetary Boundary,3.52
Estonia,2020,Planetary Boundary,3.32
Estonia,2021,Planetary Boundary,3.29
Estonia,2022,Planetary Boundary,3.34
Greece,2010,Planetary Boundary,2.88
Greece,2011,Planetary Boundary,2.87
Greece,2012,Planetary Boundary,2.73
Greece,2013,Planetary Boundary,2.69
Greece,2014,Planetary Boundary,2.64
Greece,2015,Planetary Boundary,2.67
Greece,2016,Planetary Boundary,2.69
Greece,2017,Planetary Boundary,2.78
Greece,2018,Planetary Boundary,2.9
Greece,2019,Planetary Boundary,2.92
Greece,2020,Planetary Boundary,2.61
Greece,2021,Planetary Boundary,2.78
Greece,2022,Planetary Boundary,2.98
Spain,2010,Planetary Boundary,3.27
Spain,2011,Planetary Boundary,3.18
Spain,2012,Planetary Boundary,3.11
Spain,2013,Planetary Boundary,3.09
Spain,2014,Planetary Boundary,3.16
Spain,2015,Planetary Boundary,3.21
Spain,2016,Planetary Boundary,3.34
Spain,2017,Planetary Boundary,3.34
Spain,2018,Planetary Boundary,3.46
Spain,2019,Planetary Boundary,3.43
Spain,2020,Planetary Boundary,3.08
Spain,2021,Planetary Boundary,3.38
Spain,2022,Planetary Boundary,3.64
European Union - 27 countries (from 2020),2010,Planetary Boundary,3.18
European Union - 27 countries (from 2020),2011,Planetary Boundary,3.16
European Union - 27 countries (from 2020),2012,Planetary Boundary,3.15
European Union - 27 countries (from 2020),2013,Planetary Boundary,3.16
European Union - 27 countries (from 2020),2014,Planetary Boundary,3.18
European Union - 27 countries (from 2020),2015,Planetary Boundary,3.2
