country,year,unit,income_group,crime
Albania,2017,Percentage,Above 60% of median equivalised income,0.5
Albania,2018,Percentage,Above 60% of median equivalised income,1.0
Albania,2019,Percentage,Above 60% of median equivalised income,0.7
Albania,2020,Percentage,Above 60% of median equivalised income,0.7
Austria,2004,Percentage,Above 60% of median equivalised income,9.5
Austria,2005,Percentage,Above 60% of median equivalised income,12.7
Austria,2006,Percentage,Above 60% of median equivalised income,12.2
Austria,2007,Percentage,Above 60% of median equivalised income,11.4
Austria,2008,Percentage,Above 60% of median equivalised income,10.8
Austria,2009,Percentage,Above 60% of median equivalised income,15.5
Austria,2010,Percentage,Above 60% of median equivalised income,13.6
Austria,2011,Percentage,Above 60% of median equivalised income,12.1
Austria,2012,Percentage,Above 60% of median equivalised income,12.0
Austria,2013,Percentage,Above 60% of median equivalised income,11.4
Austria,2014,Percentage,Above 60% of median equivalised income,13.9
Austria,2015,Percentage,Above 60% of median equivalised income,13.3
Austria,2016,Percentage,Above 60% of median equivalised income,12.7
Austria,2017,Percentage,Above 60% of median equivalised income,11.2
Austria,2018,Percentage,Above 60% of median equivalised income,10.1
Austria,2019,Percentage,Above 60% of median equivalised income,8.4
Austria,2020,Percentage,Above 60% of median equivalised income,5.5
Austria,2023,Percentage,Above 60% of median equivalised income,7.0
Belgium,2003,Percentage,Above 60% of median equivalised income,19.7
Belgium,2004,Percentage,Above 60% of median equivalised income,19.3
Belgium,2005,Percentage,Above 60% of median equivalised income,16.5
Belgium,2006,Percentage,Above 60% of median equivalised income,17.3
Belgium,2007,Percentage,Above 60% of median equivalised income,16.7
Belgium,2008,Percentage,Above 60% of median equivalised income,15.1
Belgium,2009,Percentage,Above 60% of median equivalised income,15.5
Belgium,2010,Percentage,Above 60% of median equivalised income,16.6
Belgium,2011,Percentage,Above 60% of median equivalised income,14.4
Belgium,2012,Percentage,Above 60% of median equivalised income,13.1
Belgium,2013,Percentage,Above 60% of median equivalised income,18.3
Belgium,2014,Percentage,Above 60% of median equivalised income,15.3
Belgium,2015,Percentage,Above 60% of median equivalised income,15.1
Belgium,2016,Percentage,Above 60% of median equivalised income,12.2
Belgium,2017,Percentage,Above 60% of median equivalised income,11.2
Belgium,2018,Percentage,Above 60% of median equivalised income,10.7
Belgium,2019,Percentage,Above 60% of median equivalised income,12.5
Belgium,2020,Percentage,Above 60% of median equivalised income,10.1
Belgium,2023,Percentage,Above 60% of median equivalised income,11.5
Bulgaria,2005,Percentage,Above 60% of median equivalised income,24.1
Bulgaria,2006,Percentage,Above 60% of median equivalised income,24.1
Bulgaria,2007,Percentage,Above 60% of median equivalised income,26.2
Bulgaria,2008,Percentage,Above 60% of median equivalised income,23.9
Bulgaria,2009,Percentage,Above 60% of median equivalised income,28.5
Bulgaria,2010,Percentage,Above 60% of median equivalised income,26.8
Bulgaria,2011,Percentage,Above 60% of median equivalised income,26.7
Bulgaria,2012,Percentage,Above 60% of median equivalised income,27.1
Bulgaria,2013,Percentage,Above 60% of median equivalised income,25.0
Bulgaria,2014,Percentage,Above 60% of median equivalised income,25.4
Bulgaria,2015,Percentage,Above 60% of median equivalised income,25.9
Bulgaria,2016,Percentage,Above 60% of median equivalised income,25.0
Bulgaria,2017,Percentage,Above 60% of median equivalised income,22.4
Bulgaria,2018,Percentage,Above 60% of median equivalised income,21.4
Bulgaria,2019,Percentage,Above 60% of median equivalised income,20.2
Bulgaria,2020,Percentage,Above 60% of median equivalised income,18.1
Bulgaria,2023,Percentage,Above 60% of median equivalised income,14.6
Switzerland,2007,Percentage,Above 60% of median equivalised income,12.8
Switzerland,2008,Percentage,Above 60% of median equivalised income,12.2
Switzerland,2009,Percentage,Above 60% of median equivalised income,11.9
Switzerland,2010,Percentage,Above 60% of median equivalised income,13.5
Switzerland,2011,Percentage,Above 60% of median equivalised income,12.1
Switzerland,2012,Percentage,Above 60% of median equivalised income,16.3
Switzerland,2013,Percentage,Above 60% of median equivalised income,14.3
Switzerland,2014,Percentage,Above 60% of median equivalised income,14.7
Switzerland,2015,Percentage,Above 60% of median equivalised income,11.6
Switzerland,2016,Percentage,Above 60% of median equivalised income,10.3
Switzerland,2017,Percentage,Above 60% of median equivalised income,8.6
Switzerland,2018,Percentage,Above 60% of median equivalised income,7.6
Switzerland,2019,Percentage,Above 60% of median equivalised income,6.8
Switzerland,2020,Percentage,Above 60% of median equivalised income,7.4
Switzerland,2023,Percentage,Above 60% of median equivalised income,8.7
