country,year,unit,sex,smoking
Austria,2006,Percentage of total population,Females,24
Austria,2009,Percentage of total population,Females,27
Austria,2012,Percentage of total population,Females,26
Austria,2014,Percentage of total population,Females,23
Austria,2017,Percentage of total population,Females,23
Austria,2020,Percentage of total population,Females,21
Belgium,2006,Percentage of total population,Females,22
Belgium,2009,Percentage of total population,Females,27
Belgium,2012,Percentage of total population,Females,24
Belgium,2014,Percentage of total population,Females,23
Belgium,2017,Percentage of total population,Females,17
Belgium,2020,Percentage of total population,Females,20
Bulgaria,2006,Percentage of total population,Females,30
Bulgaria,2009,Percentage of total population,Females,30
Bulgaria,2012,Percentage of total population,Females,31
Bulgaria,2014,Percentage of total population,Females,25
Bulgaria,2017,Percentage of total population,Females,28
Bulgaria,2020,Percentage of total population,Females,28
Cyprus,2006,Percentage of total population,Females,16
Cyprus,2009,Percentage of total population,Females,16
Cyprus,2012,Percentage of total population,Females,19
Cyprus,2014,Percentage of total population,Females,19
Cyprus,2017,Percentage of total population,Females,17
Cyprus,2020,Percentage of total population,Females,16
Czechia,2006,Percentage of total population,Females,23
Czechia,2009,Percentage of total population,Females,19
Czechia,2012,Percentage of total population,Females,23
Czechia,2014,Percentage of total population,Females,19
Czechia,2017,Percentage of total population,Females,21
Czechia,2020,Percentage of total population,Females,26
Germany,2006,Percentage of total population,Females,25
Germany,2009,Percentage of total population,Females,19
Germany,2012,Percentage of total population,Females,22
Germany,2014,Percentage of total population,Females,21
Germany,2017,Percentage of total population,Females,23
Germany,2020,Percentage of total population,Females,19
Denmark,2006,Percentage of total population,Females,29
Denmark,2009,Percentage of total population,Females,26
Denmark,2012,Percentage of total population,Females,24
Denmark,2014,Percentage of total population,Females,23
Denmark,2017,Percentage of total population,Females,18
Denmark,2020,Percentage of total population,Females,16
Estonia,2006,Percentage of total population,Females,24
Estonia,2009,Percentage of total population,Females,20
Estonia,2012,Percentage of total population,Females,19
Estonia,2014,Percentage of total population,Females,16
Estonia,2017,Percentage of total population,Females,15
Estonia,2020,Percentage of total population,Females,16
Greece,2006,Percentage of total population,Females,37
Greece,2009,Percentage of total population,Females,39
Greece,2012,Percentage of total population,Females,34
Greece,2014,Percentage of total population,Females,33
Greece,2017,Percentage of total population,Females,32
Greece,2020,Percentage of total population,Females,38
Spain,2006,Percentage of total population,Females,28
Spain,2009,Percentage of total population,Females,28
Spain,2012,Percentage of total population,Females,26
Spain,2014,Percentage of total population,Females,25
Spain,2017,Percentage of total population,Females,25
Spain,2020,Percentage of total population,Females,27
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2006,Percentage of total population,Females,27
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2009,Percentage of total population,Females,25
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2012,Percentage of total population,Females,24
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2014,Percentage of total population,Females,22
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2017,Percentage of total population,Females,22
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2020,Percentage of total population,Females,22
European Union - 27 countries (from 2020),2006,Percentage of total population,Females,26
European Union - 27 countries (from 2020),2009,Percentage of total population,Females,25
European Union - 27 countries (from 2020),2012,Percentage of total population,Females,23
European Union - 27 countries (from 2020),2014,Percentage of total population,Females,22
European Union - 27 countries (from 2020),2017,Percentage of total population,Females,23
European Union - 27 countries (from 2020),2020,Percentage of total population,Females,22
European Union - 28 countries (2013-2020),2014,Percentage of total population,Females,22
European Union - 28 countries (2013-2020),2017,Percentage of total population,Females,22
Finland,2006,Percentage of total population,Females,22
Finland,2009,Percentage of total population,Females,16
Finland,2012,Percentage of total population,Females,22
Finland,2014,Percentage of total population,Females,17
Finland,2017,Percentage of total population,Females,16
Finland,2020,Percentage of total population,Females,16
France,2006,Percentage of total population,Females,27
France,2009,Percentage of total population,Females,28
France,2012,Percentage of total population,Females,25
France,2014,Percentage of total population,Females,29
France,2017,Percentage of total population,Females,32
France,2020,Percentage of total population,Females,27
Croatia,2006,Percentage of total population,Females,25
Croatia,2009,Percentage of total population,Females,26
Croatia,2014,Percentage of total population,Females,30
Croatia,2017,Percentage of total population,Females,31
Croatia,2020,Percentage of total population,Females,32
Hungary,2006,Percentage of total population,Females,29
Hungary,2009,Percentage of total population,Females,32
Hungary,2012,Percentage of total population,Females,28
Hungary,2014,Percentage of total population,Females,23
Hungary,2017,Percentage of total population,Females,23
Hungary,2020,Percentage of total population,Females,23
Ireland,2006,Percentage of total population,Females,29
Ireland,2009,Percentage of total population,Females,32
Ireland,2012,Percentage of total population,Females,30
Ireland,2014,Percentage of total population,Females,22
Ireland,2017,Percentage of total population,Females,18
Ireland,2020,Percentage of total population,Females,17
Italy,2006,Percentage of total population,Females,24
Italy,2009,Percentage of total population,Females,25
Italy,2012,Percentage of total population,Females,21
Italy,2014,Percentage of total population,Females,17
Italy,2017,Percentage of total population,Females,17
Italy,2020,Percentage of total population,Females,18
Lithuania,2006,Percentage of total population,Females,20
Lithuania,2009,Percentage of total population,Females,18
Lithuania,2012,Percentage of total population,Females,19
Lithuania,2014,Percentage of total population,Females,16
Lithuania,2017,Percentage of total population,Females,19
Lithuania,2020,Percentage of total population,Females,14
Luxembourg,2006,Percentage of total population,Females,23
Luxembourg,2009,Percentage of total population,Females,18
Luxembourg,2012,Percentage of total population,Females,24
Luxembourg,2014,Percentage of total population,Females,19
Luxembourg,2017,Percentage of total population,Females,17
Luxembourg,2020,Percentage of total population,Females,17
Latvia,2006,Percentage of total population,Females,21
Latvia,2009,Percentage of total population,Females,23
Latvia,2012,Percentage of total population,Females,22
Latvia,2014,Percentage of total population,Females,18
Latvia,2017,Percentage of total population,Females,21
Latvia,2020,Percentage of total population,Females,22
Malta,2006,Percentage of total population,Females,22
Malta,2009,Percentage of total population,Females,17
Malta,2012,Percentage of total population,Females,21
Malta,2014,Percentage of total population,Females,17
Malta,2017,Percentage of total population,Females,19
Malta,2020,Percentage of total population,Females,18
Netherlands,2006,Percentage of total population,Females,27
Netherlands,2009,Percentage of total population,Females,22
Netherlands,2012,Percentage of total population,Females,19
Netherlands,2014,Percentage of total population,Females,19
Netherlands,2017,Percentage of total population,Females,17
Netherlands,2020,Percentage of total population,Females,11
Poland,2006,Percentage of total population,Females,30
Poland,2009,Percentage of total population,Females,28
