country,year,unit5,sex,outside_labour_caring
Austria,2006,Percentage of total population,Females,1.5
Austria,2007,Percentage of total population,Females,1.5
Austria,2008,Percentage of total population,Females,1.6
Austria,2009,Percentage of total population,Females,1.5
Austria,2010,Percentage of total population,Females,1.3
Austria,2011,Percentage of total population,Females,1.2
Austria,2012,Percentage of total population,Females,1.2
Austria,2013,Percentage of total population,Females,1.3
Austria,2014,Percentage of total population,Females,1.1
Austria,2015,Percentage of total population,Females,1.2
Austria,2016,Percentage of total population,Females,1.2
Austria,2017,Percentage of total population,Females,1.0
Austria,2018,Percentage of total population,Females,0.7
Austria,2019,Percentage of total population,Females,0.7
Austria,2020,Percentage of total population,Females,0.7
Austria,2021,Percentage of total population,Females,1.2
Austria,2022,Percentage of total population,Females,1.3
Austria,2023,Percentage of total population,Females,1.2
Bosnia and Herzegovina,2021,Percentage of total population,Females,0.6
Bosnia and Herzegovina,2022,Percentage of total population,Females,0.7
Bosnia and Herzegovina,2023,Percentage of total population,Females,0.6
Belgium,2006,Percentage of total population,Females,0.2
Belgium,2007,Percentage of total population,Females,0.2
Belgium,2008,Percentage of total population,Females,0.1
Belgium,2009,Percentage of total population,Females,0.2
Belgium,2010,Percentage of total population,Females,0.2
Belgium,2012,Percentage of total population,Females,0.2
Belgium,2013,Percentage of total population,Females,0.5
Belgium,2014,Percentage of total population,Females,0.3
Belgium,2015,Percentage of total population,Females,0.4
Belgium,2016,Percentage of total population,Females,0.3
Belgium,2017,Percentage of total population,Females,0.4
Belgium,2018,Percentage of total population,Females,0.4
Belgium,2019,Percentage of total population,Females,0.4
Belgium,2020,Percentage of total population,Females,0.3
Belgium,2021,Percentage of total population,Females,0.4
Belgium,2022,Percentage of total population,Females,0.3
Belgium,2023,Percentage of total population,Females,0.4
Bulgaria,2006,Percentage of total population,Females,0.6
Bulgaria,2007,Percentage of total population,Females,0.6
Bulgaria,2008,Percentage of total population,Females,0.4
Bulgaria,2009,Percentage of total population,Females,0.3
Bulgaria,2010,Percentage of total population,Females,0.4
Bulgaria,2011,Percentage of total population,Females,
Bulgaria,2012,Percentage of total population,Females,
Bulgaria,2013,Percentage of total population,Females,0.3
Bulgaria,2014,Percentage of total population,Females,0.3
Bulgaria,2015,Percentage of total population,Females,
Bulgaria,2016,Percentage of total population,Females,
Bulgaria,2017,Percentage of total population,Females,
Bulgaria,2018,Percentage of total population,Females,
Bulgaria,2019,Percentage of total population,Females,
Bulgaria,2020,Percentage of total population,Females,
Bulgaria,2021,Percentage of total population,Females,0.5
Bulgaria,2022,Percentage of total population,Females,0.4
Bulgaria,2023,Percentage of total population,Females,0.4
Switzerland,2006,Percentage of total population,Females,3.4
Switzerland,2007,Percentage of total population,Females,3.2
Switzerland,2008,Percentage of total population,Females,2.7
Switzerland,2009,Percentage of total population,Females,2.3
Switzerland,2010,Percentage of total population,Females,2.7
Switzerland,2011,Percentage of total population,Females,2.4
Switzerland,2012,Percentage of total population,Females,2.2
Switzerland,2013,Percentage of total population,Females,2.2
Switzerland,2014,Percentage of total population,Females,2.1
Switzerland,2015,Percentage of total population,Females,2.1
Switzerland,2016,Percentage of total population,Females,2.1
Switzerland,2017,Percentage of total population,Females,2.0
Switzerland,2018,Percentage of total population,Females,1.7
Switzerland,2019,Percentage of total population,Females,1.6
Switzerland,2020,Percentage of total population,Females,1.6
Switzerland,2021,Percentage of total population,Females,1.8
Switzerland,2022,Percentage of total population,Females,2.0
Switzerland,2023,Percentage of total population,Females,1.9
Cyprus,2006,Percentage of total population,Females,1.5
Cyprus,2007,Percentage of total population,Females,1.1
Cyprus,2008,Percentage of total population,Females,0.8
Cyprus,2009,Percentage of total population,Females,0.7
Cyprus,2010,Percentage of total population,Females,1.0
Cyprus,2011,Percentage of total population,Females,1.0
Cyprus,2012,Percentage of total population,Females,1.1
Cyprus,2013,Percentage of total population,Females,1.2
Cyprus,2014,Percentage of total population,Females,1.3
Cyprus,2015,Percentage of total population,Females,1.4
Cyprus,2016,Percentage of total population,Females,1.4
Cyprus,2017,Percentage of total population,Females,0.8
Cyprus,2018,Percentage of total population,Females,0.9
Cyprus,2019,Percentage of total population,Females,0.5
Cyprus,2020,Percentage of total population,Females,0.6
Cyprus,2021,Percentage of total population,Females,1.1
Cyprus,2022,Percentage of total population,Females,0.8
Cyprus,2023,Percentage of total population,Females,0.5
Czechia,2006,Percentage of total population,Females,1.2
Czechia,2007,Percentage of total population,Females,1.1
Czechia,2008,Percentage of total population,Females,1.0
Czechia,2009,Percentage of total population,Females,1.0
Czechia,2010,Percentage of total population,Females,0.8
Czechia,2011,Percentage of total population,Females,1.0
Czechia,2012,Percentage of total population,Females,0.7
Czechia,2013,Percentage of total population,Females,0.8
Czechia,2014,Percentage of total population,Females,0.8
Czechia,2015,Percentage of total population,Females,0.8
Czechia,2016,Percentage of total population,Females,0.9
Czechia,2017,Percentage of total population,Females,0.7
Czechia,2018,Percentage of total population,Females,0.7
Czechia,2019,Percentage of total population,Females,0.8
Czechia,2020,Percentage of total population,Females,0.9
Czechia,2021,Percentage of total population,Females,0.6
Czechia,2022,Percentage of total population,Females,0.3
Czechia,2023,Percentage of total population,Females,0.4
Germany,2006,Percentage of total population,Females,0.8
Germany,2007,Percentage of total population,Females,1.0
Germany,2008,Percentage of total population,Females,1.0
Germany,2009,Percentage of total population,Females,0.9
Germany,2010,Percentage of total population,Females,1.0
Germany,2011,Percentage of total population,Females,1.2
Germany,2012,Percentage of total population,Females,1.3
Germany,2013,Percentage of total population,Females,1.2
Germany,2014,Percentage of total population,Females,1.1
Germany,2015,Percentage of total population,Females,1.1
Germany,2016,Percentage of total population,Females,1.1
Germany,2017,Percentage of total population,Females,1.1
Germany,2018,Percentage of total population,Females,1.1
Germany,2019,Percentage of total population,Females,1.0
Germany,2021,Percentage of total population,Females,1.4
Germany,2022,Percentage of total population,Females,1.5
Germany,2023,Percentage of total population,Females,1.4
Denmark,2006,Percentage of total population,Females,0.2
Denmark,2007,Percentage of total population,Females,0.3
Denmark,2008,Percentage of total population,Females,0.4
Denmark,2009,Percentage of total population,Females,0.2
Denmark,2010,Percentage of total population,Females,0.3
Denmark,2011,Percentage of total population,Females,0.3
Denmark,2012,Percentage of total population,Females,0.2
Denmark,2013,Percentage of total population,Females,0.3
Denmark,2014,Percentage of total population,Females,0.3
Denmark,2015,Percentage of total population,Females,0.2
Denmark,2016,Percentage of total population,Females,0.4
Denmark,2017,Percentage of total population,Females,0.4
Denmark,2018,Percentage of total population,Females,0.4
Denmark,2019,Percentage of total population,Females,0.4
Denmark,2020,Percentage of total population,Females,0.3
Denmark,2021,Percentage of total population,Females,0.2
Denmark,2022,Percentage of total population,Females,0.2
Denmark,2023,Percentage of total population,Females,0.2
Euro area – 20 countries (from 2023),2006,Percentage of total population,Females,1.3
Euro area – 20 countries (from 2023),2007,Percentage of total population,Females,1.3
Euro area – 20 countries (from 2023),2008,Percentage of total population,Females,1.2
Euro area – 20 countries (from 2023),2009,Percentage of total population,Females,1.1
Euro area – 20 countries (from 2023),2010,Percentage of total population,Females,1.1
Euro area – 20 countries (from 2023),2011,Percentage of total population,Females,1.1
Euro area – 20 countries (from 2023),2012,Percentage of total population,Females,1.2
Euro area – 20 countries (from 2023),2013,Percentage of total population,Females,1.2
Euro area – 20 countries (from 2023),2014,Percentage of total population,Females,1.2
Euro area – 20 countries (from 2023),2015,Percentage of total population,Females,1.2
Euro area – 20 countries (from 2023),2016,Percentage of total population,Females,1.2
Euro area – 20 countries (from 2023),2017,Percentage of total population,Females,1.2
Euro area – 20 countries (from 2023),2018,Percentage of total population,Females,1.2
Euro area – 20 countries (from 2023),2019,Percentage of total population,Females,1.1
Euro area – 20 countries (from 2023),2020,Percentage of total population,Females,1.3
Euro area – 20 countries (from 2023),2021,Percentage of total population,Females,1.2
Euro area – 20 countries (from 2023),2022,Percentage of total population,Females,1.1
Euro area – 20 countries (from 2023),2023,Percentage of total population,Females,1.1
Estonia,2006,Percentage of total population,Females,1.9
Estonia,2007,Percentage of total population,Females,2.2
Estonia,2008,Percentage of total population,Females,1.8
Estonia,2009,Percentage of total population,Females,1.6
Estonia,2010,Percentage of total population,Females,1.6
Estonia,2011,Percentage of total population,Females,1.5
Estonia,2012,Percentage of total population,Females,1.8
Estonia,2013,Percentage of total population,Females,1.4
Estonia,2014,Percentage of total population,Females,1.4
Estonia,2015,Percentage of total population,Females,1.7
Estonia,2016,Percentage of total population,Females,1.9
Estonia,2017,Percentage of total population,Females,1.8
Estonia,2018,Percentage of total population,Females,1.8
Estonia,2019,Percentage of total population,Females,1.5
Estonia,2020,Percentage of total population,Females,1.9
Estonia,2021,Percentage of total population,Females,0.8
Estonia,2022,Percentage of total population,Females,0.8
Estonia,2023,Percentage of total population,Females,0.9
Greece,2006,Percentage of total population,Females,0.9
Greece,2007,Percentage of total population,Females,0.8
Greece,2008,Percentage of total population,Females,0.7
Greece,2009,Percentage of total population,Females,0.8
Greece,2010,Percentage of total population,Females,0.8
Greece,2011,Percentage of total population,Females,0.9
Greece,2012,Percentage of total population,Females,0.9
Greece,2013,Percentage of total population,Females,1.0
Greece,2014,Percentage of total population,Females,0.9
Greece,2015,Percentage of total population,Females,1.0
Greece,2016,Percentage of total population,Females,1.0
Greece,2017,Percentage of total population,Females,1.1
Greece,2018,Percentage of total population,Females,1.0
Greece,2019,Percentage of total population,Females,1.0
Greece,2020,Percentage of total population,Females,1.0
Greece,2021,Percentage of total population,Females,1.2
Greece,2022,Percentage of total population,Females,1.0
Greece,2023,Percentage of total population,Females,0.9
Spain,2006,Percentage of total population,Females,1.4
Spain,2007,Percentage of total population,Females,1.4
Spain,2008,Percentage of total population,Females,1.2
Spain,2009,Percentage of total population,Females,1.2
Spain,2010,Percentage of total population,Females,1.4
Spain,2011,Percentage of total population,Females,1.1
Spain,2012,Percentage of total population,Females,1.1
Spain,2013,Percentage of total population,Females,1.2
Spain,2014,Percentage of total population,Females,1.0
Spain,2015,Percentage of total population,Females,1.0
Spain,2016,Percentage of total population,Females,1.0
Spain,2017,Percentage of total population,Females,1.1
Spain,2018,Percentage of total population,Females,1.1
Spain,2019,Percentage of total population,Females,0.8
Spain,2020,Percentage of total population,Females,0.9
Spain,2021,Percentage of total population,Females,1.2
Spain,2022,Percentage of total population,Females,1.2
Spain,2023,Percentage of total population,Females,1.0
European Union - 27 countries (from 2020),2006,Percentage of total population,Females,1.3
European Union - 27 countries (from 2020),2007,Percentage of total population,Females,1.3
European Union - 27 countries (from 2020),2008,Percentage of total population,Females,1.3
European Union - 27 countries (from 2020),2009,Percentage of total population,Females,1.2
European Union - 27 countries (from 2020),2010,Percentage of total population,Females,1.2
European Union - 27 countries (from 2020),2011,Percentage of total population,Females,1.2
European Union - 27 countries (from 2020),2012,Percentage of total population,Females,1.2
European Union - 27 countries (from 2020),2013,Percentage of total population,Females,1.3
European Union - 27 countries (from 2020),2014,Percentage of total population,Females,1.2
European Union - 27 countries (from 2020),2015,Percentage of total population,Females,1.3
European Union - 27 countries (from 2020),2016,Percentage of total population,Females,1.2
European Union - 27 countries (from 2020),2017,Percentage of total population,Females,1.2
European Union - 27 countries (from 2020),2018,Percentage of total population,Females,1.2
European Union - 27 countries (from 2020),2019,Percentage of total population,Females,1.2
European Union - 27 countries (from 2020),2020,Percentage of total population,Females,1.3
European Union - 27 countries (from 2020),2021,Percentage of total population,Females,1.1
European Union - 27 countries (from 2020),2022,Percentage of total population,Females,1.0
European Union - 27 countries (from 2020),2023,Percentage of total population,Females,0.9
Finland,2008,Percentage of total population,Females,0.2
Finland,2009,Percentage of total population,Females,0.2
Finland,2010,Percentage of total population,Females,0.2
Finland,2011,Percentage of total population,Females,0.2
Finland,2012,Percentage of total population,Females,0.2
Finland,2013,Percentage of total population,Females,0.3
Finland,2014,Percentage of total population,Females,0.2
Finland,2015,Percentage of total population,Females,0.3
Finland,2016,Percentage of total population,Females,0.1
Finland,2017,Percentage of total population,Females,0.2
Finland,2018,Percentage of total population,Females,0.3
Finland,2019,Percentage of total population,Females,0.2
Finland,2020,Percentage of total population,Females,0.2
Finland,2021,Percentage of total population,Females,0.2
Finland,2022,Percentage of total population,Females,
Finland,2023,Percentage of total population,Females,
France,2006,Percentage of total population,Females,0.7
France,2007,Percentage of total population,Females,0.4
France,2008,Percentage of total population,Females,0.4
France,2009,Percentage of total population,Females,0.5
France,2010,Percentage of total population,Females,0.4
France,2011,Percentage of total population,Females,0.4
France,2012,Percentage of total population,Females,0.3
France,2013,Percentage of total population,Females,0.8
France,2014,Percentage of total population,Females,0.8
France,2015,Percentage of total population,Females,1.2
France,2016,Percentage of total population,Females,1.0
France,2017,Percentage of total population,Females,1.1
France,2018,Percentage of total population,Females,1.0
France,2019,Percentage of total population,Females,1.0
France,2020,Percentage of total population,Females,0.9
France,2021,Percentage of total population,Females,0.7
France,2022,Percentage of total population,Females,0.7
France,2023,Percentage of total population,Females,0.7
Croatia,2006,Percentage of total population,Females,1.0
Croatia,2007,Percentage of total population,Females,0.7
Croatia,2008,Percentage of total population,Females,0.8
Croatia,2009,Percentage of total population,Females,0.8
Croatia,2010,Percentage of total population,Females,0.7
Croatia,2011,Percentage of total population,Females,1.0
Croatia,2012,Percentage of total population,Females,1.3
Croatia,2013,Percentage of total population,Females,1.5
Croatia,2014,Percentage of total population,Females,1.0
Croatia,2015,Percentage of total population,Females,1.0
Croatia,2016,Percentage of total population,Females,1.3
Croatia,2017,Percentage of total population,Females,1.1
Croatia,2018,Percentage of total population,Females,1.1
Croatia,2019,Percentage of total population,Females,0.8
Croatia,2020,Percentage of total population,Females,0.7
Croatia,2021,Percentage of total population,Females,0.6
Croatia,2022,Percentage of total population,Females,0.7
Croatia,2023,Percentage of total population,Females,0.7
Hungary,2006,Percentage of total population,Females,1.3
Hungary,2007,Percentage of total population,Females,1.3
Hungary,2008,Percentage of total population,Females,1.4
Hungary,2009,Percentage of total population,Females,1.4
Hungary,2010,Percentage of total population,Females,1.4
Hungary,2011,Percentage of total population,Females,1.6
Hungary,2012,Percentage of total population,Females,1.4
Hungary,2013,Percentage of total population,Females,1.5
Hungary,2014,Percentage of total population,Females,1.5
Hungary,2015,Percentage of total population,Females,1.7
Hungary,2016,Percentage of total population,Females,1.6
Hungary,2017,Percentage of total population,Females,1.4
Hungary,2018,Percentage of total population,Females,1.4
Hungary,2019,Percentage of total population,Females,1.4
Hungary,2020,Percentage of total population,Females,1.6
Hungary,2021,Percentage of total population,Females,0.6
Hungary,2022,Percentage of total population,Females,0.5
Hungary,2023,Percentage of total population,Females,0.4
Ireland,2006,Percentage of total population,Females,1.2
Ireland,2007,Percentage of total population,Females,1.0
Ireland,2008,Percentage of total population,Females,0.8
Ireland,2009,Percentage of total population,Females,0.7
Ireland,2010,Percentage of total population,Females,0.8
Ireland,2011,Percentage of total population,Females,0.9
Ireland,2012,Percentage of total population,Females,0.9
Ireland,2013,Percentage of total population,Females,1.0
Ireland,2014,Percentage of total population,Females,0.9
Ireland,2015,Percentage of total population,Females,0.8
Ireland,2016,Percentage of total population,Females,0.7
Ireland,2017,Percentage of total population,Females,1.8
Ireland,2018,Percentage of total population,Females,3.0
Ireland,2019,Percentage of total population,Females,2.7
Ireland,2020,Percentage of total population,Females,2.6
Ireland,2021,Percentage of total population,Females,2.2
Ireland,2022,Percentage of total population,Females,1.7
Ireland,2023,Percentage of total population,Females,1.8
Iceland,2006,Percentage of total population,Females,
Iceland,2007,Percentage of total population,Females,
Iceland,2008,Percentage of total population,Females,
Iceland,2009,Percentage of total population,Females,
Iceland,2010,Percentage of total population,Females,
Iceland,2011,Percentage of total population,Females,
Iceland,2012,Percentage of total population,Females,
Iceland,2013,Percentage of total population,Females,
Iceland,2014,Percentage of total population,Females,
Iceland,2015,Percentage of total population,Females,
Iceland,2016,Percentage of total population,Females,
Iceland,2017,Percentage of total population,Females,
Iceland,2018,Percentage of total population,Females,
Iceland,2019,Percentage of total population,Females,
Iceland,2020,Percentage of total population,Females,
Iceland,2021,Percentage of total population,Females,
Iceland,2022,Percentage of total population,Females,
Iceland,2023,Percentage of total population,Females,
Italy,2006,Percentage of total population,Females,3.3
Italy,2007,Percentage of total population,Females,3.3
Italy,2008,Percentage of total population,Females,3.3
Italy,2009,Percentage of total population,Females,2.7
Italy,2010,Percentage of total population,Females,2.7
Italy,2011,Percentage of total population,Females,2.4
Italy,2012,Percentage of total population,Females,2.7
Italy,2013,Percentage of total population,Females,2.5
Italy,2014,Percentage of total population,Females,2.5
Italy,2015,Percentage of total population,Females,2.4
Italy,2016,Percentage of total population,Females,2.3
Italy,2017,Percentage of total population,Females,2.3
Italy,2018,Percentage of total population,Females,2.3
Italy,2019,Percentage of total population,Females,2.1
Italy,2020,Percentage of total population,Females,2.0
Italy,2021,Percentage of total population,Females,1.8
Italy,2022,Percentage of total population,Females,1.5
Italy,2023,Percentage of total population,Females,1.4
Lithuania,2006,Percentage of total population,Females,
