country,year,unit,sex,not_emp_edu
Austria,2009,Percentage of total population,Females,11.9
Austria,2010,Percentage of total population,Females,11.2
Austria,2011,Percentage of total population,Females,10.4
Austria,2012,Percentage of total population,Females,10.1
Austria,2013,Percentage of total population,Females,10.3
Austria,2014,Percentage of total population,Females,10.9
Austria,2015,Percentage of total population,Females,9.7
Austria,2016,Percentage of total population,Females,10.0
Austria,2017,Percentage of total population,Females,9.6
Austria,2018,Percentage of total population,Females,10.4
Austria,2019,Percentage of total population,Females,10.3
Austria,2020,Percentage of total population,Females,10.2
Austria,2021,Percentage of total population,Females,10.3
Austria,2022,Percentage of total population,Females,9.6
Austria,2023,Percentage of total population,Females,10.0
Bosnia and Herzegovina,2021,Percentage of total population,Females,28.8
Bosnia and Herzegovina,2022,Percentage of total population,Females,27.4
Bosnia and Herzegovina,2023,Percentage of total population,Females,25.9
Belgium,2009,Percentage of total population,Females,14.4
Belgium,2010,Percentage of total population,Females,14.1
Belgium,2011,Percentage of total population,Females,15.3
Belgium,2012,Percentage of total population,Females,15.4
Belgium,2013,Percentage of total population,Females,15.7
Belgium,2014,Percentage of total population,Females,14.2
Belgium,2015,Percentage of total population,Females,15.0
Belgium,2016,Percentage of total population,Females,14.0
Belgium,2017,Percentage of total population,Females,13.2
Belgium,2018,Percentage of total population,Females,13.1
Belgium,2019,Percentage of total population,Females,12.5
Belgium,2020,Percentage of total population,Females,12.4
Belgium,2021,Percentage of total population,Females,9.7
Belgium,2022,Percentage of total population,Females,9.1
Belgium,2023,Percentage of total population,Females,9.5
Bulgaria,2009,Percentage of total population,Females,24.2
Bulgaria,2010,Percentage of total population,Females,26.0
Bulgaria,2011,Percentage of total population,Females,26.7
Bulgaria,2012,Percentage of total population,Females,26.6
Bulgaria,2013,Percentage of total population,Females,28.0
Bulgaria,2014,Percentage of total population,Females,27.0
Bulgaria,2015,Percentage of total population,Females,24.9
Bulgaria,2016,Percentage of total population,Females,26.0
Bulgaria,2017,Percentage of total population,Females,23.3
Bulgaria,2018,Percentage of total population,Females,22.0
Bulgaria,2019,Percentage of total population,Females,20.3
Bulgaria,2020,Percentage of total population,Females,21.5
Bulgaria,2021,Percentage of total population,Females,20.6
Bulgaria,2022,Percentage of total population,Females,16.9
Bulgaria,2023,Percentage of total population,Females,15.2
Switzerland,2010,Percentage of total population,Females,9.6
Switzerland,2011,Percentage of total population,Females,8.7
Switzerland,2012,Percentage of total population,Females,8.7
Switzerland,2013,Percentage of total population,Females,8.6
Switzerland,2014,Percentage of total population,Females,8.0
Switzerland,2015,Percentage of total population,Females,7.7
Switzerland,2016,Percentage of total population,Females,7.8
Switzerland,2017,Percentage of total population,Females,7.1
Switzerland,2018,Percentage of total population,Females,6.5
Switzerland,2019,Percentage of total population,Females,6.0
