DATAFLOW,LAST UPDATE,freq,levels,clc18,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_15_50(1.0),10/01/24 11:00:00,Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Austria,2000,15.45,,
ESTAT:SDG_15_50(1.0),10/01/24 11:00:00,Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Austria,2010,15.56,,
ESTAT:SDG_15_50(1.0),10/01/24 11:00:00,Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Austria,2016,15.5,,
ESTAT:SDG_15_50(1.0),10/01/24 11:00:00,Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Belgium,2000,0.7,,
ESTAT:SDG_15_50(1.0),10/01/24 11:00:00,Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Belgium,2010,0.41,,
ESTAT:SDG_15_50(1.0),10/01/24 11:00:00,Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Belgium,2016,0.42,,
ESTAT:SDG_15_50(1.0),10/01/24 11:00:00,Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Bulgaria,2000,4.82,,
ESTAT:SDG_15_50(1.0),10/01/24 11:00:00,Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Bulgaria,2010,3.01,,
ESTAT:SDG_15_50(1.0),10/01/24 11:00:00,Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Bulgaria,2016,3.37,,
ESTAT:SDG_15_50(1.0),10/01/24 11:00:00,Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Cyprus,2000,8.55,,
ESTAT:SDG_15_50(1.0),10/01/24 11:00:00,Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Cyprus,2010,6.1,,
ESTAT:SDG_15_50(1.0),10/01/24 11:00:00,Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Cyprus,2016,6.5,,
ESTAT:SDG_15_50(1.0),10/01/24 11:00:00,Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Czechia,2000,2.77,,
ESTAT:SDG_15_50(1.0),10/01/24 11:00:00,Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Czechia,2010,1.33,,
ESTAT:SDG_15_50(1.0),10/01/24 11:00:00,Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Czechia,2016,1.31,,
ESTAT:SDG_15_50(1.0),10/01/24 11:00:00,Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Germany,2000,2.46,,
ESTAT:SDG_15_50(1.0),10/01/24 11:00:00,Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Germany,2010,1.37,,
ESTAT:SDG_15_50(1.0),10/01/24 11:00:00,Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Germany,2016,1.3,,
ESTAT:SDG_15_50(1.0),10/01/24 11:00:00,Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Denmark,2000,0.01,,
ESTAT:SDG_15_50(1.0),10/01/24 11:00:00,Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Denmark,2010,0.01,,
ESTAT:SDG_15_50(1.0),10/01/24 11:00:00,Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Denmark,2016,0,,
ESTAT:SDG_15_50(1.0),10/01/24 11:00:00,Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Estonia,2000,0.01,,
ESTAT:SDG_15_50(1.0),10/01/24 11:00:00,Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Estonia,2010,0,,
ESTAT:SDG_15_50(1.0),10/01/24 11:00:00,Annual,Severe,"Agricultural areas, forest and semi natural areas (excluding beaches, dunes, sand plains, bare rock and glaciers and perpetual snow)",Percentage,Estonia,2016,0,,
