DATAFLOW,LAST UPDATE,freq,geo,unit,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2014,128.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2015,123.7,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2016,120.4,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2017,146.3,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2018,149.1,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2019,152.1,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2020,135.7,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2021,116.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2022,112,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2023,104.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2014,121.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2015,117.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2016,115.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2017,140.5,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2018,144.7,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2019,147.3,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2020,130.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2021,117,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2022,104.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2023,85.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Bulgaria,Grams per kilometre,2014,135.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Bulgaria,Grams per kilometre,2015,130.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Bulgaria,Grams per kilometre,2016,125.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Bulgaria,Grams per kilometre,2017,153,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Bulgaria,Grams per kilometre,2018,153.6,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Bulgaria,Grams per kilometre,2019,157.8,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Bulgaria,Grams per kilometre,2020,147.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Bulgaria,Grams per kilometre,2021,139.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Bulgaria,Grams per kilometre,2022,134.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Bulgaria,Grams per kilometre,2023,129.4,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Cyprus,Grams per kilometre,2014,129.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Cyprus,Grams per kilometre,2015,125.7,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Cyprus,Grams per kilometre,2016,123.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Cyprus,Grams per kilometre,2017,148.1,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Cyprus,Grams per kilometre,2018,149.6,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Cyprus,Grams per kilometre,2019,153.6,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Cyprus,Grams per kilometre,2020,151.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Cyprus,Grams per kilometre,2021,145.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Cyprus,Grams per kilometre,2022,136.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Cyprus,Grams per kilometre,2023,126.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Czechia,Grams per kilometre,2014,131.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Czechia,Grams per kilometre,2015,126.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Czechia,Grams per kilometre,2016,121.2,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Czechia,Grams per kilometre,2017,150.4,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Czechia,Grams per kilometre,2018,152.7,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Czechia,Grams per kilometre,2019,156,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Czechia,Grams per kilometre,2020,144.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Czechia,Grams per kilometre,2021,138.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Czechia,Grams per kilometre,2022,137.7,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Czechia,Grams per kilometre,2023,136,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2014,132.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2015,128.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2016,126.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2017,154.2,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2018,157,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2019,159,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2020,136,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2021,113.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2022,105.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Germany,Grams per kilometre,2023,113,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2014,110.2,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2015,106.2,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2016,106,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2017,129.8,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2018,132.8,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2019,135.6,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2020,116.4,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2021,92.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2022,86.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2023,72.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2014,140.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2015,137.2,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2016,133.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2017,161,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2018,160.5,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2019,157.7,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2020,147.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2021,142.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2022,141.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2023,134.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2014,108.2,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2015,106.4,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2016,106.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2017,131.9,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2018,135,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2019,140.1,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2020,130.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2021,119.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2022,118,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Greece,Grams per kilometre,2023,112.7,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2014,118.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2015,115.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2016,114.4,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2017,139.4,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2018,143.1,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2019,147,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2020,135.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2021,126,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2022,121.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Spain,Grams per kilometre,2023,117.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2014,123.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2015,119.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2016,117.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2017,143,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2018,145.6,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2019,148,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2020,130.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2021,115.7,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2022,109.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,European Union - 27 countries (from 2020),Grams per kilometre,2023,107.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Finland,Grams per kilometre,2014,127.4,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Finland,Grams per kilometre,2015,123,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Finland,Grams per kilometre,2016,120,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Finland,Grams per kilometre,2017,143.3,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Finland,Grams per kilometre,2018,141.4,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Finland,Grams per kilometre,2019,139.7,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Finland,Grams per kilometre,2020,120,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Finland,Grams per kilometre,2021,98.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Finland,Grams per kilometre,2022,85.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Finland,Grams per kilometre,2023,60.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,France,Grams per kilometre,2014,114.2,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,France,Grams per kilometre,2015,111,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,France,Grams per kilometre,2016,109.8,,
