DATAFLOW,LAST UPDATE,freq,aquaenv,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Albania,2013,50.7,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Albania,2014,35.6,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Albania,2015,32.1,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Albania,2016,37.0,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Albania,2017,54.9,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Albania,2018,65.7,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Albania,2019,59.3,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Albania,2020,77.9,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Albania,2021,70.8,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Albania,2022,69.9,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Albania,2023,41.6,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Austria,2011,,m,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Austria,2012,,m,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Austria,2013,,m,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Austria,2014,,m,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Austria,2015,,m,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Austria,2016,,m,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Austria,2017,,m,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Austria,2018,,m,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Austria,2019,,m,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Austria,2020,,m,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Austria,2021,,m,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Austria,2022,,m,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Austria,2023,,m,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Belgium,2011,40.5,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Belgium,2012,52.4,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Belgium,2013,47.6,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Belgium,2014,69.1,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Belgium,2015,76.2,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Belgium,2016,90.5,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Belgium,2017,95.2,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Belgium,2018,97.6,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Belgium,2019,97.6,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Belgium,2020,95.1,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Belgium,2021,92.7,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Belgium,2022,85.4,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Belgium,2023,65.9,,
