DATAFLOW,LAST UPDATE,freq,statinfo,unit,stk_flow,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,1980,0,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,1981,0,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,1982,2,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,1983,0,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,1984,0,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,1985,0,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,1986,0,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,1987,441,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,1988,0,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,1989,0,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,1990,545,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,1991,195,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,1992,0,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,1993,2,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,1994,3,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,1995,0,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,1996,7,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,1997,328,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,1998,0,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,1999,187,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,2000,306,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,2001,1,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,2002,3945,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,2003,410,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,2004,1,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,2005,882,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,2006,728,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,2007,453,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,2008,619,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,2009,693,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,2010,0,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,2011,0,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,2012,13,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,2013,1012,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,2014,0,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,2015,0,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,2016,0,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,2017,1230,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,2018,393,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,2019,621,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,2020,244,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,2021,853,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Annual value,"Current prices, million euro",Losses,Austria,2022,215,,
