DATAFLOW,LAST UPDATE,freq,watpol,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_06_40(1.0),27/01/25 23:00:00,Annual,Nitrate in groundwater,Milligrams per litre,Austria,2000,26.01,,
ESTAT:SDG_06_40(1.0),27/01/25 23:00:00,Annual,Nitrate in groundwater,Milligrams per litre,Austria,2001,25.61,,
ESTAT:SDG_06_40(1.0),27/01/25 23:00:00,Annual,Nitrate in groundwater,Milligrams per litre,Austria,2002,27.26,,
ESTAT:SDG_06_40(1.0),27/01/25 23:00:00,Annual,Nitrate in groundwater,Milligrams per litre,Austria,2003,26.84,,
ESTAT:SDG_06_40(1.0),27/01/25 23:00:00,Annual,Nitrate in groundwater,Milligrams per litre,Austria,2004,26.80,,
ESTAT:SDG_06_40(1.0),27/01/25 23:00:00,Annual,Nitrate in groundwater,Milligrams per litre,Austria,2005,25.90,,
ESTAT:SDG_06_40(1.0),27/01/25 23:00:00,Annual,Nitrate in groundwater,Milligrams per litre,Austria,2006,26.25,,
ESTAT:SDG_06_40(1.0),27/01/25 23:00:00,Annual,Nitrate in groundwater,Milligrams per litre,Austria,2007,25.46,,
ESTAT:SDG_06_40(1.0),27/01/25 23:00:00,Annual,Nitrate in groundwater,Milligrams per litre,Austria,2008,24.77,,
ESTAT:SDG_06_40(1.0),27/01/25 23:00:00,Annual,Nitrate in groundwater,Milligrams per litre,Austria,2009,25.52,,
ESTAT:SDG_06_40(1.0),27/01/25 23:00:00,Annual,Nitrate in groundwater,Milligrams per litre,Austria,2010,26.35,,
ESTAT:SDG_06_40(1.0),27/01/25 23:00:00,Annual,Nitrate in groundwater,Milligrams per litre,Austria,2011,26.24,,
ESTAT:SDG_06_40(1.0),27/01/25 23:00:00,Annual,Nitrate in groundwater,Milligrams per litre,Austria,2012,25.77,,
ESTAT:SDG_06_40(1.0),27/01/25 23:00:00,Annual,Nitrate in groundwater,Milligrams per litre,Austria,2013,24.66,,
ESTAT:SDG_06_40(1.0),27/01/25 23:00:00,Annual,Nitrate in groundwater,Milligrams per litre,Austria,2014,24.50,,
ESTAT:SDG_06_40(1.0),27/01/25 23:00:00,Annual,Nitrate in groundwater,Milligrams per litre,Austria,2015,24.00,,
ESTAT:SDG_06_40(1.0),27/01/25 23:00:00,Annual,Nitrate in groundwater,Milligrams per litre,Austria,2016,23.23,,
ESTAT:SDG_06_40(1.0),27/01/25 23:00:00,Annual,Nitrate in groundwater,Milligrams per litre,Austria,2017,22.89,,
ESTAT:SDG_06_40(1.0),27/01/25 23:00:00,Annual,Nitrate in groundwater,Milligrams per litre,Austria,2018,21.93,,
ESTAT:SDG_06_40(1.0),27/01/25 23:00:00,Annual,Nitrate in groundwater,Milligrams per litre,Austria,2019,21.89,,
ESTAT:SDG_06_40(1.0),27/01/25 23:00:00,Annual,Nitrate in groundwater,Milligrams per litre,Austria,2020,21.00,,
