DATAFLOW,LAST UPDATE,freq,indic_env,material,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Austria,2008,208684.864,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Austria,2009,203488.145,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Austria,2010,204453.462,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Austria,2011,217752.632,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Austria,2012,207011.509,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Austria,2013,202090.037,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Austria,2014,207635.24,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Austria,2015,202010.391,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Austria,2016,207319.862,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Austria,2017,207953.027,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Austria,2018,211706.827,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Austria,2019,209411.197,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Austria,2020,198531.671,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Austria,2021,222426.4,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Austria,2022,220901.8,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Austria,2023,199133.494,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Belgium,2008,172867.983,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Belgium,2009,150614.176,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Belgium,2010,149021.01,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Belgium,2011,171234.147,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Belgium,2012,156264.565,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Belgium,2013,149277.231,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Belgium,2014,162410.631,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Belgium,2015,163773.283,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Belgium,2016,158725.974,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Belgium,2017,152774.44,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Belgium,2018,170491.538,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Belgium,2019,147316.181,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Belgium,2020,149832.282,,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Belgium,2021,159899.1,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Belgium,2022,148379.1,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Belgium,2023,162610.646,i,
ESTAT:SDG_12_21(1.0),27/01/25 23:00:00,Annual,Raw material consumption,Total,Thousand tonnes,Bulgaria,2008,146934.7,i,
