DATAFLOW,LAST UPDATE,freq,unit,hhtyp,incgrp,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Albania,2017,2.1,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Albania,2018,3.4,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Albania,2019,2.3,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Albania,2020,2.3,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Austria,2003,0.6,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Austria,2004,0.4,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Austria,2005,0.2,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Austria,2006,0.2,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Austria,2007,0.4,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Austria,2008,0.4,b,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Austria,2009,0.3,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Austria,2010,0.2,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Austria,2011,0.3,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Austria,2012,0.3,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Austria,2013,0.1,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Austria,2014,0.1,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Austria,2015,0.2,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Austria,2016,0.1,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Austria,2017,0.1,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Austria,2018,0.3,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Austria,2019,0.1,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Austria,2020,0.4,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Belgium,2003,0.5,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Belgium,2004,0.5,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Belgium,2005,0.4,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Belgium,2006,0.3,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Belgium,2007,0.2,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Belgium,2008,0.2,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Belgium,2009,0.2,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Belgium,2010,0.1,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Belgium,2011,0.1,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Belgium,2012,0.2,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Belgium,2013,0.2,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Belgium,2014,0.2,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Belgium,2015,0.1,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Belgium,2016,0.0,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Belgium,2017,0.0,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Belgium,2018,0.1,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Belgium,2019,0.1,b,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Belgium,2020,0.1,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Bulgaria,2006,13.8,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Bulgaria,2007,10.4,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Bulgaria,2008,10.3,b,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Bulgaria,2009,7.8,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Bulgaria,2010,7.0,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Bulgaria,2011,6.7,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Bulgaria,2012,6.9,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Bulgaria,2013,6.0,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Bulgaria,2014,6.0,b,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Bulgaria,2015,5.3,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Bulgaria,2016,5.0,b,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Bulgaria,2017,3.8,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Bulgaria,2018,3.6,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Bulgaria,2019,3.1,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Bulgaria,2020,2.7,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Switzerland,2007,1.4,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Switzerland,2008,0.0,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Switzerland,2009,0.0,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Switzerland,2010,0.0,,
ESTAT:SDG_06_10(1.0),03/06/24 23:00:00,Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Switzerland,2011,0.0,,
