DATAFLOW,LAST UPDATE,freq,ww_tp,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Albania,2014,9.90,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Albania,2015,8.00,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Albania,2016,7.00,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Albania,2017,7.34,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Albania,2018,33.60,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Albania,2019,31.80,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Albania,2020,30.90,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Albania,2021,21.63,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Albania,2022,22.91,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2000,85.40,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2001,86.00,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2002,86.96,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2003,87.94,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2004,88.90,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2005,90.35,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2006,91.80,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2007,92.25,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2008,92.70,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2009,93.30,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2010,93.90,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2011,94.20,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2012,94.50,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2013,94.75,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2014,95.00,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2015,95.10,,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2016,99.75,e,
ESTAT:SDG_06_20(1.0),10/07/24 23:00:00,Annual,"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2017,99.77,i,
