DATAFLOW,LAST UPDATE,freq,watpol,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Albania,2000,0.025,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Albania,2001,0.024,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Albania,2002,0.026,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Albania,2003,0.027,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Albania,2004,0.018,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Albania,2005,0.061,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Albania,2006,0.096,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Albania,2007,0.087,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Albania,2008,0.285,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Albania,2009,0.140,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Albania,2010,0.259,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Albania,2011,0.118,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Albania,2012,0.051,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Albania,2013,0.048,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Albania,2014,0.045,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Albania,2015,0.042,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Albania,2016,0.285,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Albania,2017,0.135,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Albania,2018,0.091,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Albania,2019,0.058,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Albania,2020,0.082,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Albania,2021,0.051,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Albania,2022,0.234,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Belgium,2000,0.269,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Belgium,2001,0.243,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Belgium,2002,0.247,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Belgium,2003,0.317,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Belgium,2004,0.300,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Belgium,2005,0.282,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Belgium,2006,0.228,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Belgium,2007,0.192,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Belgium,2008,0.160,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Belgium,2009,0.227,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Belgium,2010,0.215,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Belgium,2011,0.217,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Belgium,2012,0.160,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Belgium,2013,0.166,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Belgium,2014,0.173,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Belgium,2015,0.188,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Belgium,2016,0.169,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Belgium,2017,0.215,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Belgium,2018,0.192,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Belgium,2019,0.220,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Belgium,2020,0.197,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Belgium,2021,0.148,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Belgium,2022,0.206,,
ESTAT:SDG_06_50(1.0),27/01/25 23:00:00,Annual,Phosphate in rivers,Milligrams per litre,Bulgaria,2000,0.225,,
