DATAFLOW,LAST UPDATE,freq,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Albania,2000,58.904,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Albania,2001,75.294,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Albania,2002,75.807,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Albania,2003,9.375,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Albania,2004,9.375,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Albania,2005,16.667,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Albania,2006,16.667,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Albania,2007,16.667,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Albania,2008,12.857,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Albania,2009,97.661,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Albania,2010,97.880,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Albania,2011,99.154,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Albania,2012,98.478,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Albania,2013,98.947,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Albania,2014,100.000,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Albania,2015,64.100,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Albania,2016,95.901,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Albania,2017,38.627,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Albania,2018,32.637,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Albania,2019,57.943,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Albania,2020,53.934,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Albania,2021,42.263,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Albania,2022,-2.932,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Austria,2000,83.931,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Austria,2001,89.462,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Austria,2002,91.801,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Austria,2003,86.573,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Austria,2004,98.443,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Austria,2005,99.377,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Austria,2006,94.058,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Austria,2007,102.092,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Austria,2008,99.809,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Austria,2009,95.880,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Austria,2010,99.577,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Austria,2011,89.586,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Austria,2012,102.771,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Austria,2013,94.087,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Austria,2014,101.727,,
ESTAT:SDG_07_50(1.0),19/12/24 23:00:00,Annual,Solid fossil fuels,Percentage,Austria,2015,86.926,,
