DATAFLOW,LAST UPDATE,freq,hhtyp,incgrp,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_07_60(1.0),14/02/25 11:00:00,Annual,Total,Above 60% of median equivalised income,Percentage,Albania,2017,34.4,,
ESTAT:SDG_07_60(1.0),14/02/25 11:00:00,Annual,Total,Above 60% of median equivalised income,Percentage,Albania,2018,29.9,,
ESTAT:SDG_07_60(1.0),14/02/25 11:00:00,Annual,Total,Above 60% of median equivalised income,Percentage,Albania,2019,31.7,,
ESTAT:SDG_07_60(1.0),14/02/25 11:00:00,Annual,Total,Above 60% of median equivalised income,Percentage,Albania,2020,29.7,,
ESTAT:SDG_07_60(1.0),14/02/25 11:00:00,Annual,Total,Above 60% of median equivalised income,Percentage,Albania,2021,27.8,,
ESTAT:SDG_07_60(1.0),14/02/25 11:00:00,Annual,Total,Above 60% of median equivalised income,Percentage,Austria,2003,2.3,,
ESTAT:SDG_07_60(1.0),14/02/25 11:00:00,Annual,Total,Above 60% of median equivalised income,Percentage,Austria,2004,1.8,,
ESTAT:SDG_07_60(1.0),14/02/25 11:00:00,Annual,Total,Above 60% of median equivalised income,Percentage,Austria,2005,2.8,,
ESTAT:SDG_07_60(1.0),14/02/25 11:00:00,Annual,Total,Above 60% of median equivalised income,Percentage,Austria,2006,3.3,,
ESTAT:SDG_07_60(1.0),14/02/25 11:00:00,Annual,Total,Above 60% of median equivalised income,Percentage,Austria,2007,1.7,,
ESTAT:SDG_07_60(1.0),14/02/25 11:00:00,Annual,Total,Above 60% of median equivalised income,Percentage,Austria,2008,2.8,b,
ESTAT:SDG_07_60(1.0),14/02/25 11:00:00,Annual,Total,Above 60% of median equivalised income,Percentage,Austria,2009,2.1,,
ESTAT:SDG_07_60(1.0),14/02/25 11:00:00,Annual,Total,Above 60% of median equivalised income,Percentage,Austria,2010,2.9,,
ESTAT:SDG_07_60(1.0),14/02/25 11:00:00,Annual,Total,Above 60% of median equivalised income,Percentage,Austria,2011,1.7,,
ESTAT:SDG_07_60(1.0),14/02/25 11:00:00,Annual,Total,Above 60% of median equivalised income,Percentage,Austria,2012,2.4,,
ESTAT:SDG_07_60(1.0),14/02/25 11:00:00,Annual,Total,Above 60% of median equivalised income,Percentage,Austria,2013,1.8,,
ESTAT:SDG_07_60(1.0),14/02/25 11:00:00,Annual,Total,Above 60% of median equivalised income,Percentage,Austria,2014,2.5,,
ESTAT:SDG_07_60(1.0),14/02/25 11:00:00,Annual,Total,Above 60% of median equivalised income,Percentage,Austria,2015,1.7,,
ESTAT:SDG_07_60(1.0),14/02/25 11:00:00,Annual,Total,Above 60% of median equivalised income,Percentage,Austria,2016,1.7,,
ESTAT:SDG_07_60(1.0),14/02/25 11:00:00,Annual,Total,Above 60% of median equivalised income,Percentage,Austria,2017,1.2,,
ESTAT:SDG_07_60(1.0),14/02/25 11:00:00,Annual,Total,Above 60% of median equivalised income,Percentage,Austria,2018,1.1,,
