DATAFLOW,LAST UPDATE,freq,indic_env,unit,geo,hazard,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2004,84.4,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2005,89.6,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2006,87.7,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2007,91.7,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2008,92.9,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2009,76.7,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2010,87.1,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2011,85.2,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2012,80.6,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2013,80.5,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2014,80.9,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2015,78,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2016,75.2,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2017,74.3,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2018,75.9,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2019,82.3,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2020,81.3,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2021,85.5,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2022,64.8,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2023,57.3,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2004,244.3,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2005,251.9,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2006,246.6,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2007,254.2,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2008,242.3,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2009,206.3,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2010,235.7,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2011,225.7,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2012,220,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2013,219.2,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2014,223.4,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2015,219.3,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2016,215.7,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2017,220.4,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2018,221,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2019,224.4,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2020,216.9,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2021,223.8,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2022,195.1,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2023,167.7,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2004,317,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2005,327.2,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2006,323.1,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2007,334.1,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2008,309.2,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2009,268.2,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2010,306.4,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2011,295.6,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2012,292.8,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2013,290.2,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2014,295.2,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2015,292.8,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2016,291.2,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2017,297.6,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2018,299.7,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2019,300.5,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2020,286.9,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2021,296.5,,
ESTAT:SDG_12_10(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2022,263.2,,
