DATAFLOW,LAST UPDATE,freq,waste,hazard,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Albania,2022,4,d,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Austria,2004,124,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Austria,2006,116,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Austria,2008,160,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Austria,2010,176,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Austria,2012,126,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Austria,2014,149,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Austria,2016,144,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Austria,2018,149,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Austria,2020,144,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Austria,2022,163,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bosnia and Herzegovina,2012,246,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bosnia and Herzegovina,2014,2,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bosnia and Herzegovina,2016,4,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bosnia and Herzegovina,2018,4,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bosnia and Herzegovina,2022,4,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2004,499,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2006,383,e,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2008,553,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2010,438,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2012,251,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2014,264,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2016,336,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2018,343,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2020,342,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2022,189,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2004,1542,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2006,1783,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2008,1741,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2010,1833,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2012,1835,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2014,1690,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2016,1870,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2018,1912,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2020,2012,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2022,2172,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2004,153,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2006,23,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2008,30,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2010,45,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2012,36,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2014,203,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2016,187,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2018,258,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2020,36,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2022,63,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2004,142,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2006,128,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2008,145,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2010,130,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2012,141,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2014,110,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2016,103,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2018,159,b,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2020,164,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2022,146,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Germany,2004,242,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Germany,2006,263,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Germany,2008,272,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Germany,2010,244,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Germany,2012,273,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Germany,2014,269,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Germany,2016,280,,
