DATAFLOW,LAST UPDATE,freq,geo,unit,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2000,168,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2001,165.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2002,164.4,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2003,163.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2004,161.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2005,162.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2006,163.7,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2007,162.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2008,158.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2009,150.2,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2010,144,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2011,138.7,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2012,135.7,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2013,131.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2014,128.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2015,123.7,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2016,120.4,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2017,146.3,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2018,149.1,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2019,152.1,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2020,135.7,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2021,116.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2022,112,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Austria,Grams per kilometre,2023,104.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2000,166.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2001,163.7,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2002,161.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2003,158.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2004,156.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2005,155.2,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2006,153.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2007,152.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2008,147.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2009,142.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2010,133.4,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2011,127.2,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2012,128,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2013,124,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2014,121.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2015,117.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2016,115.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2017,140.5,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Belgium,Grams per kilometre,2018,144.7,e,
