DATAFLOW,LAST UPDATE,freq,statinfo,unit,stk_flow,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Austria,2009,38.95,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Austria,2010,38.85,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Austria,2011,38.72,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Austria,2012,38.59,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Austria,2013,42.34,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Austria,2014,42.01,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Austria,2015,41.54,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Austria,2016,41.09,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Austria,2017,43.8,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Austria,2018,45.07,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Austria,2019,47.2,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Austria,2020,45.88,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Austria,2021,48.13,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Austria,2022,48.46,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Austria,2023,49.42,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Belgium,2009,6.95,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Belgium,2010,8.67,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Belgium,2011,8.85,,
ESTAT:SDG_13_40(1.0),06/11/24 23:00:00,Annual,Thirty-year average,"Current prices, euro per capita",Losses,Belgium,2012,8.79,,
