DATAFLOW,LAST UPDATE,freq,issuer,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Corporate,Percentage of total,European Union - 27 countries (from 2020),2014,0.41,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Corporate,Percentage of total,European Union - 27 countries (from 2020),2015,0.79,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Corporate,Percentage of total,European Union - 27 countries (from 2020),2016,0.99,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Corporate,Percentage of total,European Union - 27 countries (from 2020),2017,1.98,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Corporate,Percentage of total,European Union - 27 countries (from 2020),2018,1.66,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Corporate,Percentage of total,European Union - 27 countries (from 2020),2019,4.07,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Corporate,Percentage of total,European Union - 27 countries (from 2020),2020,4.66,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Corporate,Percentage of total,European Union - 27 countries (from 2020),2021,8.31,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Corporate,Percentage of total,European Union - 27 countries (from 2020),2022,11.04,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Government,Percentage of total,European Union - 27 countries (from 2020),2014,0.09,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Government,Percentage of total,European Union - 27 countries (from 2020),2015,0.12,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Government,Percentage of total,European Union - 27 countries (from 2020),2016,0.23,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Government,Percentage of total,European Union - 27 countries (from 2020),2017,3.98,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Government,Percentage of total,European Union - 27 countries (from 2020),2018,2.96,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Government,Percentage of total,European Union - 27 countries (from 2020),2019,1.94,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Government,Percentage of total,European Union - 27 countries (from 2020),2020,1.9,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Government,Percentage of total,European Union - 27 countries (from 2020),2021,5.32,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Government,Percentage of total,European Union - 27 countries (from 2020),2022,4.42,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Subnational,Percentage of total,European Union - 27 countries (from 2020),2014,1.65,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Subnational,Percentage of total,European Union - 27 countries (from 2020),2015,2.29,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Subnational,Percentage of total,European Union - 27 countries (from 2020),2016,2.98,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Subnational,Percentage of total,European Union - 27 countries (from 2020),2017,4.14,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Subnational,Percentage of total,European Union - 27 countries (from 2020),2018,3.43,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Subnational,Percentage of total,European Union - 27 countries (from 2020),2019,10.39,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Subnational,Percentage of total,European Union - 27 countries (from 2020),2020,8.67,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Subnational,Percentage of total,European Union - 27 countries (from 2020),2021,10.76,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Subnational,Percentage of total,European Union - 27 countries (from 2020),2022,8.25,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Supranational,Percentage of total,European Union - 27 countries (from 2020),2014,2.83,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Supranational,Percentage of total,European Union - 27 countries (from 2020),2015,1.86,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Supranational,Percentage of total,European Union - 27 countries (from 2020),2016,3.07,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Supranational,Percentage of total,European Union - 27 countries (from 2020),2017,1.73,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Supranational,Percentage of total,European Union - 27 countries (from 2020),2018,4.09,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Supranational,Percentage of total,European Union - 27 countries (from 2020),2019,3.17,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Supranational,Percentage of total,European Union - 27 countries (from 2020),2020,2.89,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Supranational,Percentage of total,European Union - 27 countries (from 2020),2021,9.16,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Supranational,Percentage of total,European Union - 27 countries (from 2020),2022,8.62,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Total,Percentage of total,European Union - 27 countries (from 2020),2014,0.6,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Total,Percentage of total,European Union - 27 countries (from 2020),2015,0.81,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Total,Percentage of total,European Union - 27 countries (from 2020),2016,1.14,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Total,Percentage of total,European Union - 27 countries (from 2020),2017,2.7,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Total,Percentage of total,European Union - 27 countries (from 2020),2018,2.31,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Total,Percentage of total,European Union - 27 countries (from 2020),2019,4.04,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Total,Percentage of total,European Union - 27 countries (from 2020),2020,4.01,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Total,Percentage of total,European Union - 27 countries (from 2020),2021,7.8,p,
ESTAT:SDG_13_70(1.0),11/06/24 23:00:00,Annual,Total,Percentage of total,European Union - 27 countries (from 2020),2022,8.85,p,
