DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,Austria,2022,8.30,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,Belgium,2022,14.80,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,Bulgaria,2022,0.00,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,Cyprus,2022,0.00,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,Czechia,2022,3.30,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,Germany,2022,13.30,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,Denmark,2022,13.90,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,Estonia,2022,0.00,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,Greece,2022,2.70,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,Spain,2022,7.60,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,European Union - 27 countries (from 2020),2022,8.85,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,Finland,2022,10.60,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,France,2022,5.90,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,Croatia,2022,0.00,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,Hungary,2022,15.30,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,Ireland,2022,6.30,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,Italy,2022,6.10,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,Lithuania,2022,0.00,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,Luxembourg,2022,3.30,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,Latvia,2022,10.50,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,Malta,2022,0.00,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,Netherlands,2022,11.10,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,Poland,2022,3.80,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,Portugal,2022,8.40,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,Romania,2022,0.70,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,Sweden,2022,16.20,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,Slovenia,2022,0.00,p,
ESTAT:SDG_13_70A(1.0),11/06/24 23:00:00,Annual,Percentage of total,Slovakia,2022,16.30,p,
