DATAFLOW,LAST UPDATE,freq,areaprot,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Austria,2012,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Austria,2016,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Austria,2019,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Austria,2021,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Belgium,2012,1273,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Belgium,2016,1274,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Belgium,2019,1274,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Belgium,2021,1322,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Bulgaria,2012,995,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Bulgaria,2016,2834,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Bulgaria,2019,2834,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Bulgaria,2021,2856,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Cyprus,2012,131,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Cyprus,2016,131,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Cyprus,2019,8463,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Cyprus,2021,8463,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Czechia,2012,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Czechia,2016,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Czechia,2019,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Czechia,2021,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Germany,2012,25641,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Germany,2016,25684,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Germany,2019,25688,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Germany,2021,25637,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Denmark,2012,19087,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Denmark,2016,19122,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Denmark,2019,19675,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Denmark,2021,19681,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Estonia,2012,6759,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Estonia,2016,6757,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Estonia,2019,6813,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Estonia,2021,6813,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Greece,2012,7414,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Greece,2016,7430,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Greece,2019,22550,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Greece,2021,22746,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Spain,2012,11489,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Spain,2016,84387,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Spain,2019,128476,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Spain,2021,132818,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,European Union - 27 countries (from 2020),2012,216972,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,European Union - 27 countries (from 2020),2016,386069,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,European Union - 27 countries (from 2020),2019,552008,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,European Union - 27 countries (from 2020),2021,612094,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Finland,2012,8153,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Finland,2016,8240,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Finland,2019,9052,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,Finland,2021,9058,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Square kilometre,France,2012,47110,,
