DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Albania,2006,1.19,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Albania,2009,1.20,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Albania,2012,1.21,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Albania,2015,1.21,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Albania,2018,1.22,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Austria,2006,3.03,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Austria,2009,3.05,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Austria,2012,3.08,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Austria,2015,3.08,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Austria,2018,3.11,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Bosnia and Herzegovina,2006,1.11,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Bosnia and Herzegovina,2009,1.12,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Bosnia and Herzegovina,2012,1.12,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Bosnia and Herzegovina,2015,1.13,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Bosnia and Herzegovina,2018,1.14,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Belgium,2006,9.04,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Belgium,2009,9.12,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Belgium,2012,9.17,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Belgium,2015,9.21,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Belgium,2018,9.28,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Bulgaria,2006,1.49,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Bulgaria,2009,1.51,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Bulgaria,2012,1.52,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Bulgaria,2015,1.53,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Bulgaria,2018,1.54,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Switzerland,2006,4.18,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Switzerland,2009,4.25,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Switzerland,2012,4.28,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Switzerland,2015,4.29,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Switzerland,2018,4.30,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Cyprus,2006,3.86,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Cyprus,2009,3.95,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Cyprus,2012,4.04,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Cyprus,2015,4.17,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Cyprus,2018,4.29,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Czechia,2006,3.33,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Czechia,2009,3.36,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Czechia,2012,3.39,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Czechia,2015,3.40,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Czechia,2018,3.43,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Germany,2006,5.57,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Germany,2009,5.62,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Germany,2012,5.66,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Germany,2015,5.68,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Germany,2018,5.72,,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,Annual,Percentage,Denmark,2006,4.37,,
