indicator,country,unit,2000,2010,2016,sector
Area_at_risk_of_severe_soil_erosion_by_water,Austria,Percentage,15.45,15.56,15.5,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,Belgium,Percentage,0.7,0.41,0.42,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,Bulgaria,Percentage,4.82,3.01,3.37,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,Croatia,Percentage,7.89,7.07,5.12,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,Cyprus,Percentage,8.55,6.1,6.5,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,Czech Republic,Percentage,2.77,1.33,1.31,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,Denmark,Percentage,0.01,0.01,0.0,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,EU,Percentage,6.375185185185185,5.0748148148148156,4.946296296296297,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,Estonia,Percentage,0.01,0.0,0.0,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,Finland,Percentage,0.01,0.01,0.01,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,France,Percentage,4.14,3.39,3.27,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,Germany,Percentage,2.46,1.37,1.3,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,Greece,Percentage,10.8,9.41,9.6,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,Hungary,Percentage,2.94,2.57,2.51,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,Ireland,Percentage,0.72,0.68,0.67,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,Italy,Percentage,25.83,24.61,24.93,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,Latvia,Percentage,0.01,0.01,0.01,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,Lithuania,Percentage,0.03,0.02,0.02,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,Luxembourg,Percentage,3.56,2.65,2.63,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,Malta,Percentage,30.13,12.57,10.6,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,Netherlands,Percentage,0.01,0.01,0.01,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,Poland,Percentage,1.28,1.09,1.14,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,Portugal,Percentage,5.24,4.44,4.08,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,Romania,Percentage,8.09,7.51,7.31,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,Slovakia,Percentage,5.72,4.7,4.55,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,Slovenia,Percentage,19.37,18.96,18.99,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,Spain,Percentage,10.92,8.85,9.02,Agriculture
Area_at_risk_of_severe_soil_erosion_by_water,Sweden,Percentage,0.67,0.68,0.68,Agriculture
