indicator,country,unit,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,sector
Average_co2_emissions_per_km_from_new_passenger_cars,Austria,Grams per kilometre,128.5,123.7,120.4,146.3,149.1,152.1,135.7,116.1,112.0,104.1,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,Belgium,Grams per kilometre,121.3,117.9,115.9,140.5,144.7,147.3,130.6,117.0,104.5,85.3,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,Bulgaria,Grams per kilometre,135.9,130.3,125.8,153.0,153.6,157.8,147.1,139.5,134.3,129.4,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,Croatia,Grams per kilometre,115.8,112.8,111.5,137.1,139.7,144.7,135.2,127.9,127.3,127.1,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,Cyprus,Grams per kilometre,129.8,125.7,123.5,148.1,149.6,153.6,151.9,145.9,136.8,126.3,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,Czech Republic,Grams per kilometre,131.6,126.3,121.2,150.4,152.7,156.0,144.9,138.8,137.7,136.0,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,Denmark,Grams per kilometre,110.2,106.2,106.0,129.8,132.8,135.6,116.4,92.3,86.3,72.8,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,EU,Grams per kilometre,124.65555555555557,120.93333333333332,118.7074074074074,144.35555555555555,145.93333333333334,147.7925925925926,134.19259259259258,121.75185185185185,115.5851851851852,109.22962962962963,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,Estonia,Grams per kilometre,140.9,137.2,133.9,161.0,160.5,157.7,147.6,142.6,141.6,134.6,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,Finland,Grams per kilometre,127.4,123.0,120.0,143.3,141.4,139.7,120.0,98.3,85.3,60.9,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,France,Grams per kilometre,114.2,111.0,109.8,133.8,136.0,137.9,121.1,108.6,103.1,96.8,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,Germany,Grams per kilometre,132.5,128.3,126.9,154.2,157.0,159.0,136.0,113.5,105.9,113.0,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,Greece,Grams per kilometre,108.2,106.4,106.3,131.9,135.0,140.1,130.5,119.8,118.0,112.7,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,Hungary,Grams per kilometre,133.0,129.6,125.9,152.2,155.0,157.2,141.4,133.1,131.2,127.4,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,Ireland,Grams per kilometre,117.1,114.1,112.0,135.3,137.3,137.9,130.0,112.6,100.7,93.7,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,Italy,Grams per kilometre,118.1,115.2,113.3,137.3,140.5,144.7,132.5,120.3,119.2,120.1,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,Latvia,Grams per kilometre,140.4,137.1,128.9,156.1,156.1,155.0,146.8,142.6,134.6,132.1,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,Lithuania,Grams per kilometre,135.8,130.0,126.2,154.4,155.9,160.0,146.2,135.7,135.9,129.9,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,Luxembourg,Grams per kilometre,129.9,127.5,126.1,153.9,159.3,161.2,143.9,123.8,115.7,105.8,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,Malta,Grams per kilometre,115.3,113.3,111.8,134.5,130.5,132.2,128.1,107.5,91.4,91.3,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,Netherlands,Grams per kilometre,107.3,101.2,105.9,131.3,127.9,119.3,104.4,95.1,86.8,74.2,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,Poland,Grams per kilometre,132.9,129.3,125.8,154.7,157.3,158.0,146.0,137.6,135.7,132.7,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,Portugal,Grams per kilometre,108.8,105.7,104.7,126.9,128.6,132.6,118.0,107.1,103.1,89.8,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,Romania,Grams per kilometre,128.2,125.0,122.0,146.2,147.3,150.7,138.5,125.6,119.7,116.2,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,Slovakia,Grams per kilometre,131.7,127.6,124.8,152.8,154.7,158.0,144.6,138.0,136.8,134.9,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,Slovenia,Grams per kilometre,121.3,119.2,119.0,145.0,146.5,150.0,138.6,133.7,129.1,123.6,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,Spain,Grams per kilometre,118.6,115.3,114.4,139.4,143.1,147.0,135.5,126.0,121.5,117.5,Transport
Average_co2_emissions_per_km_from_new_passenger_cars,Sweden,Grams per kilometre,131.0,126.3,123.1,148.2,148.1,145.1,111.7,88.3,66.6,61.0,Transport
