indicator,country,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Consumption_footprint,Austria,Planetary Boundary,3.43,3.44,3.36,3.37,3.36,3.38,3.4,3.35,3.36,3.35,3.25,3.31,3.35
Consumption_footprint,Belgium,Planetary Boundary,3.62,3.66,3.57,3.65,3.71,3.68,3.59,3.74,3.63,3.74,3.56,3.63,3.52
Consumption_footprint,Bulgaria,Planetary Boundary,1.93,1.94,1.97,1.99,2.05,2.16,2.19,2.21,2.29,2.38,2.24,2.36,2.59
Consumption_footprint,Croatia,Planetary Boundary,2.44,2.44,2.48,2.47,2.51,2.6,2.7,2.81,2.91,2.89,2.76,3.0,3.16
Consumption_footprint,Cyprus,Planetary Boundary,3.76,3.72,3.69,3.58,3.66,3.73,3.85,3.94,3.95,3.94,3.45,3.63,3.86
Consumption_footprint,Czechia,Planetary Boundary,2.87,2.91,2.74,2.72,2.72,2.81,2.9,2.95,3.0,3.02,2.89,3.17,3.23
Consumption_footprint,Denmark,Planetary Boundary,3.95,3.96,4.06,4.03,4.16,4.22,4.22,4.22,4.2,4.29,4.14,4.1,4.24
Consumption_footprint,Estonia,Planetary Boundary,3.24,3.2,3.08,3.11,3.18,3.25,3.46,3.5,3.42,3.52,3.32,3.29,3.34
Consumption_footprint,European Union - 27 countries (from 2020),Planetary Boundary,3.18,3.16,3.15,3.16,3.18,3.2,3.27,3.34,3.36,3.37,3.17,3.27,3.37
Consumption_footprint,Finland,Planetary Boundary,4.15,4.09,4.18,4.15,4.12,4.06,4.1,3.98,4.03,3.98,3.78,3.85,3.96
Consumption_footprint,France,Planetary Boundary,3.37,3.31,3.37,3.41,3.42,3.42,3.44,3.45,3.47,3.41,3.18,3.3,3.4
Consumption_footprint,Germany,Planetary Boundary,3.68,3.81,3.8,3.84,3.84,3.81,3.85,3.82,3.82,3.84,3.72,3.63,3.65
Consumption_footprint,Greece,Planetary Boundary,2.88,2.87,2.73,2.69,2.64,2.67,2.69,2.78,2.9,2.92,2.61,2.78,2.98
Consumption_footprint,Hungary,Planetary Boundary,2.34,2.32,2.27,2.24,2.29,2.34,2.4,2.48,2.55,2.56,2.52,2.56,2.65
Consumption_footprint,Ireland,Planetary Boundary,4.9,4.9,4.86,4.8,4.91,4.84,4.71,4.93,4.83,4.65,4.17,3.8,3.9
Consumption_footprint,Italy,Planetary Boundary,3.73,3.65,3.51,3.43,3.5,3.58,3.58,3.79,3.67,3.76,3.43,3.5,3.76
Consumption_footprint,Latvia,Planetary Boundary,2.91,2.87,2.89,2.84,2.91,2.93,3.01,3.08,3.11,3.16,3.13,3.15,3.4
Consumption_footprint,Lithuania,Planetary Boundary,2.81,2.82,2.99,2.93,2.81,2.78,2.86,3.05,3.15,3.21,3.17,3.33,3.26
Consumption_footprint,Luxembourg,Planetary Boundary,4.57,4.62,4.6,4.55,4.55,4.67,4.59,4.65,4.62,4.61,4.44,4.64,4.7
Consumption_footprint,Malta,Planetary Boundary,3.49,3.52,3.62,3.67,3.77,3.82,3.89,4.01,4.04,4.04,3.69,3.79,3.93
Consumption_footprint,Netherlands,Planetary Boundary,3.07,2.98,2.94,3.04,3.07,3.03,3.09,3.07,3.13,3.08,2.7,2.75,2.94
Consumption_footprint,Poland,Planetary Boundary,2.42,2.41,2.41,2.41,2.47,2.5,2.66,2.72,2.78,2.77,2.8,2.94,3.02
Consumption_footprint,Portugal,Planetary Boundary,3.0,2.88,2.82,2.84,2.92,2.96,3.07,3.23,3.38,3.47,3.18,3.25,3.5
Consumption_footprint,Romania,Planetary Boundary,2.0,2.02,2.01,2.08,2.1,2.14,2.19,2.22,2.24,2.26,2.25,2.34,2.41
Consumption_footprint,Slovakia,Planetary Boundary,2.18,2.22,2.14,2.19,2.2,2.15,2.28,2.35,2.37,2.37,2.34,2.39,2.54
Consumption_footprint,Slovenia,Planetary Boundary,3.14,3.11,3.02,2.99,3.01,3.12,3.22,3.24,3.21,3.18,3.07,2.99,3.1
Consumption_footprint,Spain,Planetary Boundary,3.27,3.18,3.11,3.09,3.16,3.21,3.34,3.34,3.46,3.43,3.08,3.38,3.64
Consumption_footprint,Sweden,Planetary Boundary,4.18,4.11,3.96,3.94,3.96,3.94,3.86,3.8,3.75,3.73,3.28,3.38,3.65
