indicator,country,unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Phosphate_in_rivers,Albania,Milligrams per litre,0.025,0.024,0.026,0.027,0.018,0.061,0.096,0.087,0.285,0.14,0.259,0.118,0.051,0.048,0.045,0.042,0.285,0.135,0.091,0.058,0.082,0.051,0.234
Phosphate_in_rivers,Belgium,Milligrams per litre,0.269,0.243,0.247,0.317,0.3,0.282,0.228,0.192,0.16,0.227,0.215,0.217,0.16,0.166,0.173,0.188,0.169,0.215,0.192,0.22,0.197,0.148,0.206
Phosphate_in_rivers,Bulgaria,Milligrams per litre,0.225,0.31,0.264,0.241,0.235,0.131,0.314,0.425,0.321,0.29,0.328,0.135,0.152,0.142,0.113,0.096,0.1,0.132,0.106,0.148,0.193,0.169,0.145
Phosphate_in_rivers,Croatia,Milligrams per litre,0.064,0.064,0.064,0.064,0.05,0.048,0.045,0.038,0.033,0.03,0.032,0.031,0.038,0.034,0.031,0.027,0.031,0.028,0.024,0.029,0.026,0.023,0.025
Phosphate_in_rivers,Czechia,Milligrams per litre,0.313,0.261,0.25,0.333,0.263,0.182,0.146,0.138,0.144,0.092,0.077,0.125,0.14,0.119,0.144,0.147,0.146,0.144,0.156,0.125,0.088,0.096,0.096
Phosphate_in_rivers,Denmark,Milligrams per litre,0.057,0.055,0.056,0.053,0.054,0.048,0.053,0.049,0.048,0.045,0.049,0.051,0.051,0.046,0.047,0.051,0.047,0.05,0.049,0.05,0.055,0.053,0.049
Phosphate_in_rivers,Estonia,Milligrams per litre,0.036,0.039,0.037,0.045,0.033,0.031,0.031,0.027,0.031,0.033,0.027,0.029,0.025,0.024,0.022,0.023,0.027,0.026,0.027,0.023,0.025,0.022,0.023
Phosphate_in_rivers,European Union (aggregate changing according to the context),Milligrams per litre,0.091,0.094,0.092,0.095,0.084,0.076,0.089,0.094,0.081,0.079,0.074,0.058,0.071,0.061,0.062,0.064,0.062,0.067,0.066,0.071,0.082,0.072,0.074
Phosphate_in_rivers,Finland,Milligrams per litre,0.019,0.02,0.014,0.017,0.017,0.018,0.016,0.015,0.017,0.018,0.015,0.016,0.017,0.012,0.011,0.016,0.016,0.016,0.011,0.013,0.016,0.015,0.015
Phosphate_in_rivers,Iceland,Milligrams per litre,0.008,0.008,0.009,0.009,0.013,0.013,0.008,0.011,0.007,0.002,0.006,0.008,0.006,0.007,0.01,0.007,0.026,0.022,0.023,0.026,0.021,0.021,0.021
Phosphate_in_rivers,Ireland,Milligrams per litre,0.047,0.043,0.037,0.036,0.034,0.035,0.036,0.035,0.034,0.035,0.038,0.034,0.024,0.022,0.025,0.023,0.026,0.026,0.025,0.025,0.023,0.022,0.022
Phosphate_in_rivers,Italy,Milligrams per litre,0.026,0.02,0.046,0.053,0.039,0.041,0.049,0.047,0.043,0.039,0.04,0.037,0.039,0.049,0.06,0.071,0.05,0.043,0.042,0.044,0.054,0.055,0.072
Phosphate_in_rivers,Latvia,Milligrams per litre,0.029,0.033,0.028,0.034,0.026,0.023,0.031,0.022,0.021,0.015,0.026,0.021,0.02,0.017,0.017,0.013,0.019,0.019,0.018,0.019,0.02,0.017,0.02
Phosphate_in_rivers,Lithuania,Milligrams per litre,0.118,0.094,0.141,0.093,0.07,0.129,0.155,0.051,0.082,0.086,0.055,0.053,0.044,0.067,0.051,0.08,0.064,0.086,0.121,0.113,0.278,0.204,0.159
Phosphate_in_rivers,North Macedonia,Milligrams per litre,0.473,0.271,0.397,0.444,0.411,0.239,0.196,0.239,0.235,0.246,0.159,0.192,0.221,0.062,0.094,0.063,0.066,0.085,0.065,0.094,0.09,0.079,0.081
Phosphate_in_rivers,Norway,Milligrams per litre,0.003,0.003,0.004,0.002,0.003,0.002,0.003,0.005,0.003,0.003,0.004,0.005,0.005,0.005,0.005,0.003,0.003,0.004,0.004,0.004,0.004,0.005,0.004
Phosphate_in_rivers,Romania,Milligrams per litre,0.152,0.152,0.146,0.161,0.115,0.121,0.108,0.131,0.128,0.128,0.085,0.091,0.103,0.091,0.102,0.106,0.086,0.081,0.095,0.097,0.108,0.088,0.103
Phosphate_in_rivers,Serbia,Milligrams per litre,0.076,0.079,0.077,0.087,0.07,0.084,0.089,0.081,0.082,0.076,0.08,0.074,0.081,0.065,0.07,0.075,0.069,0.066,0.062,0.066,0.065,0.059,0.065
Phosphate_in_rivers,Slovakia,Milligrams per litre,0.184,0.163,0.143,0.186,0.153,0.12,0.117,0.119,0.108,0.104,0.072,0.081,0.102,0.085,0.104,0.092,0.096,0.072,0.072,0.071,0.055,0.05,0.093
Phosphate_in_rivers,Spain,Milligrams per litre,0.117,0.093,0.107,0.096,0.105,0.126,0.132,0.111,0.077,0.047,0.045,0.052,0.229,0.128,0.147,0.161,0.184,0.198,0.193,0.188,0.189,0.202,0.205
Phosphate_in_rivers,Sweden,Milligrams per litre,0.009,0.01,0.012,0.011,0.014,0.012,0.012,0.011,0.011,0.011,0.012,0.012,0.01,0.01,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007
Phosphate_in_rivers,Switzerland,Milligrams per litre,0.025,0.025,0.022,0.02,0.021,0.02,0.024,0.02,0.019,0.019,0.019,0.021,0.019,0.015,0.016,0.021,0.019,0.016,0.013,0.015,0.016,0.016,0.018
