ww_tp,unit,country,year,value
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Albania,2014,9.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Albania,2015,8.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Albania,2016,7.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Albania,2017,7.34
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Albania,2018,33.6
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Albania,2019,31.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Albania,2020,30.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Albania,2021,21.63
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Albania,2022,22.91
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2000,85.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2001,86.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2002,86.96
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2003,87.94
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2004,88.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2005,90.35
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2006,91.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2007,92.25
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2008,92.7
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2009,93.3
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2010,93.9
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2011,94.2
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2012,94.5
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2013,94.75
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2014,95.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2015,95.1
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2016,99.75
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2017,99.77
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2018,99.78
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2019,99.78
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2020,99.1
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2021,99.1
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Austria,2022,99.15
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2000,9.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2001,9.89
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2002,9.89
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2003,10.03
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2004,10.03
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2005,10.03
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2006,10.03
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2007,10.03
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2008,10.65
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2009,10.65
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2010,10.91
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2011,11.05
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2012,11.44
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2013,11.73
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2014,11.75
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2015,11.75
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2016,29.56
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2017,29.6
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2018,29.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Bosnia and Herzegovina,2019,29.6
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2000,41.1
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2001,45.7
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2002,47.7
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2003,51.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2004,53.2
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2005,54.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2006,57.4
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2007,68.7
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2008,71.0
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2009,72.8
"Urban, independent and other wastewater treatment - at least secondary treatment",Percentage,Belgium,2010,75.0
