unit,country,year,value
Milligrams per litre,Albania,2000,2.77
Milligrams per litre,Albania,2001,2.56
Milligrams per litre,Albania,2002,3.37
Milligrams per litre,Albania,2003,15.0
Milligrams per litre,Albania,2004,5.82
Milligrams per litre,Albania,2005,2.7
Milligrams per litre,Albania,2006,7.76
Milligrams per litre,Albania,2007,10.84
Milligrams per litre,Albania,2008,14.12
Milligrams per litre,Albania,2009,10.73
Milligrams per litre,Albania,2010,9.74
Milligrams per litre,Albania,2011,7.41
Milligrams per litre,Albania,2012,9.54
Milligrams per litre,Albania,2013,9.39
Milligrams per litre,Albania,2014,9.25
Milligrams per litre,Albania,2015,9.1
Milligrams per litre,Albania,2016,8.95
Milligrams per litre,Albania,2017,6.07
Milligrams per litre,Albania,2018,9.3
Milligrams per litre,Albania,2019,6.06
Milligrams per litre,Albania,2020,7.73
Milligrams per litre,Albania,2021,7.27
Milligrams per litre,Albania,2022,7.69
Milligrams per litre,Austria,2000,2.31
Milligrams per litre,Austria,2001,1.79
Milligrams per litre,Austria,2002,2.84
Milligrams per litre,Austria,2003,2.2
Milligrams per litre,Austria,2004,2.48
Milligrams per litre,Austria,2005,1.75
Milligrams per litre,Austria,2006,1.83
Milligrams per litre,Austria,2007,1.7
Milligrams per litre,Austria,2008,1.58
Milligrams per litre,Austria,2009,1.45
Milligrams per litre,Austria,2010,2.4
Milligrams per litre,Austria,2011,2.33
Milligrams per litre,Austria,2012,2.2
Milligrams per litre,Austria,2013,2.08
Milligrams per litre,Austria,2014,1.95
Milligrams per litre,Austria,2015,1.88
Milligrams per litre,Austria,2016,1.81
Milligrams per litre,Austria,2017,1.73
Milligrams per litre,Austria,2018,1.58
Milligrams per litre,Austria,2019,1.43
Milligrams per litre,Austria,2020,1.28
Milligrams per litre,Austria,2021,1.13
Milligrams per litre,Austria,2022,2.14
Milligrams per litre,Belgium,2000,2.75
Milligrams per litre,Belgium,2001,2.36
Milligrams per litre,Belgium,2002,2.33
Milligrams per litre,Belgium,2003,2.6
Milligrams per litre,Belgium,2004,2.4
Milligrams per litre,Belgium,2005,2.29
Milligrams per litre,Belgium,2006,2.61
Milligrams per litre,Belgium,2007,2.97
Milligrams per litre,Belgium,2008,2.86
Milligrams per litre,Belgium,2009,3.2
Milligrams per litre,Belgium,2010,2.74
Milligrams per litre,Belgium,2011,2.53
Milligrams per litre,Belgium,2012,2.53
Milligrams per litre,Belgium,2013,2.32
Milligrams per litre,Belgium,2014,2.48
Milligrams per litre,Belgium,2015,2.91
Milligrams per litre,Belgium,2016,2.56
Milligrams per litre,Belgium,2017,2.56
Milligrams per litre,Belgium,2018,2.65
Milligrams per litre,Belgium,2019,2.27
Milligrams per litre,Belgium,2020,2.25
Milligrams per litre,Belgium,2021,1.95
Milligrams per litre,Belgium,2022,2.43
Milligrams per litre,Bulgaria,2000,4.9
Milligrams per litre,Bulgaria,2001,4.95
Milligrams per litre,Bulgaria,2002,4.62
Milligrams per litre,Bulgaria,2003,4.19
Milligrams per litre,Bulgaria,2004,3.79
Milligrams per litre,Bulgaria,2005,4.17
Milligrams per litre,Bulgaria,2006,4.34
Milligrams per litre,Bulgaria,2007,4.52
Milligrams per litre,Bulgaria,2008,3.56
Milligrams per litre,Bulgaria,2009,3.9
Milligrams per litre,Bulgaria,2010,3.09
Milligrams per litre,Bulgaria,2011,2.98
Milligrams per litre,Bulgaria,2012,3.04
Milligrams per litre,Bulgaria,2013,2.89
Milligrams per litre,Bulgaria,2014,2.76
Milligrams per litre,Bulgaria,2015,2.89
Milligrams per litre,Bulgaria,2016,2.48
Milligrams per litre,Bulgaria,2017,3.11
Milligrams per litre,Bulgaria,2018,2.39
Milligrams per litre,Bulgaria,2019,2.65
Milligrams per litre,Bulgaria,2020,3.19
Milligrams per litre,Bulgaria,2021,2.89
Milligrams per litre,Bulgaria,2022,2.59
Milligrams per litre,Cyprus,2000,2.13
Milligrams per litre,Cyprus,2001,2.33
Milligrams per litre,Cyprus,2002,2.54
Milligrams per litre,Cyprus,2003,2.75
Milligrams per litre,Cyprus,2004,2.06
Milligrams per litre,Cyprus,2005,1.78
Milligrams per litre,Cyprus,2006,2.37
Milligrams per litre,Cyprus,2007,3.29
Milligrams per litre,Cyprus,2008,4.42
Milligrams per litre,Cyprus,2009,2.75
Milligrams per litre,Cyprus,2010,2.7
Milligrams per litre,Cyprus,2011,3.94
Milligrams per litre,Cyprus,2012,2.97
Milligrams per litre,Cyprus,2013,1.9
Milligrams per litre,Cyprus,2014,4.52
Milligrams per litre,Cyprus,2015,2.0
Milligrams per litre,Cyprus,2016,2.38
Milligrams per litre,Cyprus,2017,3.5
Milligrams per litre,Cyprus,2018,2.29
Milligrams per litre,Cyprus,2019,1.23
Milligrams per litre,Cyprus,2020,1.2
Milligrams per litre,Cyprus,2021,2.41
Milligrams per litre,Cyprus,2022,1.41
Milligrams per litre,Czechia,2000,3.7
Milligrams per litre,Czechia,2001,3.46
Milligrams per litre,Czechia,2002,3.72
Milligrams per litre,Czechia,2003,4.83
Milligrams per litre,Czechia,2004,3.98
Milligrams per litre,Czechia,2005,3.52
Milligrams per litre,Czechia,2006,3.04
Milligrams per litre,Czechia,2007,3.09
Milligrams per litre,Czechia,2008,2.86
Milligrams per litre,Czechia,2009,2.54
Milligrams per litre,Czechia,2010,2.53
Milligrams per litre,Czechia,2011,2.72
Milligrams per litre,Czechia,2012,2.75
Milligrams per litre,Czechia,2013,2.71
Milligrams per litre,Czechia,2014,2.71
