watpol,unit,country,year,value
Phosphate in rivers,Milligrams per litre,Albania,2000,0.025
Phosphate in rivers,Milligrams per litre,Albania,2001,0.024
Phosphate in rivers,Milligrams per litre,Albania,2002,0.026
Phosphate in rivers,Milligrams per litre,Albania,2003,0.027
Phosphate in rivers,Milligrams per litre,Albania,2004,0.018
Phosphate in rivers,Milligrams per litre,Albania,2005,0.061
Phosphate in rivers,Milligrams per litre,Albania,2006,0.096
Phosphate in rivers,Milligrams per litre,Albania,2007,0.087
Phosphate in rivers,Milligrams per litre,Albania,2008,0.285
Phosphate in rivers,Milligrams per litre,Albania,2009,0.14
Phosphate in rivers,Milligrams per litre,Albania,2010,0.259
Phosphate in rivers,Milligrams per litre,Albania,2011,0.118
Phosphate in rivers,Milligrams per litre,Albania,2012,0.051
Phosphate in rivers,Milligrams per litre,Albania,2013,0.048
Phosphate in rivers,Milligrams per litre,Albania,2014,0.045
Phosphate in rivers,Milligrams per litre,Albania,2015,0.042
Phosphate in rivers,Milligrams per litre,Albania,2016,0.285
Phosphate in rivers,Milligrams per litre,Albania,2017,0.135
Phosphate in rivers,Milligrams per litre,Albania,2018,0.091
Phosphate in rivers,Milligrams per litre,Albania,2019,0.058
Phosphate in rivers,Milligrams per litre,Albania,2020,0.082
Phosphate in rivers,Milligrams per litre,Albania,2021,0.051
Phosphate in rivers,Milligrams per litre,Albania,2022,0.234
Phosphate in rivers,Milligrams per litre,Belgium,2000,0.269
Phosphate in rivers,Milligrams per litre,Belgium,2001,0.243
Phosphate in rivers,Milligrams per litre,Belgium,2002,0.247
Phosphate in rivers,Milligrams per litre,Belgium,2003,0.317
Phosphate in rivers,Milligrams per litre,Belgium,2004,0.3
Phosphate in rivers,Milligrams per litre,Belgium,2005,0.282
Phosphate in rivers,Milligrams per litre,Belgium,2006,0.228
Phosphate in rivers,Milligrams per litre,Belgium,2007,0.192
Phosphate in rivers,Milligrams per litre,Belgium,2008,0.16
Phosphate in rivers,Milligrams per litre,Belgium,2009,0.227
Phosphate in rivers,Milligrams per litre,Belgium,2010,0.215
Phosphate in rivers,Milligrams per litre,Belgium,2011,0.217
Phosphate in rivers,Milligrams per litre,Belgium,2012,0.16
Phosphate in rivers,Milligrams per litre,Belgium,2013,0.166
Phosphate in rivers,Milligrams per litre,Belgium,2014,0.173
Phosphate in rivers,Milligrams per litre,Belgium,2015,0.188
Phosphate in rivers,Milligrams per litre,Belgium,2016,0.169
Phosphate in rivers,Milligrams per litre,Belgium,2017,0.215
Phosphate in rivers,Milligrams per litre,Belgium,2018,0.192
Phosphate in rivers,Milligrams per litre,Belgium,2019,0.22
Phosphate in rivers,Milligrams per litre,Belgium,2020,0.197
Phosphate in rivers,Milligrams per litre,Belgium,2021,0.148
Phosphate in rivers,Milligrams per litre,Belgium,2022,0.206
Phosphate in rivers,Milligrams per litre,Bulgaria,2000,0.225
Phosphate in rivers,Milligrams per litre,Bulgaria,2001,0.31
Phosphate in rivers,Milligrams per litre,Bulgaria,2002,0.264
Phosphate in rivers,Milligrams per litre,Bulgaria,2003,0.241
Phosphate in rivers,Milligrams per litre,Bulgaria,2004,0.235
Phosphate in rivers,Milligrams per litre,Bulgaria,2005,0.131
Phosphate in rivers,Milligrams per litre,Bulgaria,2006,0.314
Phosphate in rivers,Milligrams per litre,Bulgaria,2007,0.425
Phosphate in rivers,Milligrams per litre,Bulgaria,2008,0.321
Phosphate in rivers,Milligrams per litre,Bulgaria,2009,0.29
Phosphate in rivers,Milligrams per litre,Bulgaria,2010,0.328
Phosphate in rivers,Milligrams per litre,Bulgaria,2011,0.135
Phosphate in rivers,Milligrams per litre,Bulgaria,2012,0.152
Phosphate in rivers,Milligrams per litre,Bulgaria,2013,0.142
Phosphate in rivers,Milligrams per litre,Bulgaria,2014,0.113
Phosphate in rivers,Milligrams per litre,Bulgaria,2015,0.096
Phosphate in rivers,Milligrams per litre,Bulgaria,2016,0.1
Phosphate in rivers,Milligrams per litre,Bulgaria,2017,0.132
Phosphate in rivers,Milligrams per litre,Bulgaria,2018,0.106
Phosphate in rivers,Milligrams per litre,Bulgaria,2019,0.148
Phosphate in rivers,Milligrams per litre,Bulgaria,2020,0.193
Phosphate in rivers,Milligrams per litre,Bulgaria,2021,0.169
Phosphate in rivers,Milligrams per litre,Bulgaria,2022,0.145
Phosphate in rivers,Milligrams per litre,Switzerland,2000,0.025
Phosphate in rivers,Milligrams per litre,Switzerland,2001,0.025
Phosphate in rivers,Milligrams per litre,Switzerland,2002,0.022
Phosphate in rivers,Milligrams per litre,Switzerland,2003,0.02
Phosphate in rivers,Milligrams per litre,Switzerland,2004,0.021
Phosphate in rivers,Milligrams per litre,Switzerland,2005,0.02
Phosphate in rivers,Milligrams per litre,Switzerland,2006,0.024
Phosphate in rivers,Milligrams per litre,Switzerland,2007,0.02
Phosphate in rivers,Milligrams per litre,Switzerland,2008,0.019
Phosphate in rivers,Milligrams per litre,Switzerland,2009,0.019
Phosphate in rivers,Milligrams per litre,Switzerland,2010,0.019
