unit,country,year,value
"Index, 2005=100",Austria,2005,100.0
"Index, 2005=100",Austria,2006,100.3
"Index, 2005=100",Austria,2007,98.7
"Index, 2005=100",Austria,2008,98.8
"Index, 2005=100",Austria,2009,95.7
"Index, 2005=100",Austria,2010,100.7
"Index, 2005=100",Austria,2011,97.5
"Index, 2005=100",Austria,2012,97.7
"Index, 2005=100",Austria,2013,99.8
"Index, 2005=100",Austria,2014,95.8
"Index, 2005=100",Austria,2015,98.6
"Index, 2005=100",Austria,2016,101.1
"Index, 2005=100",Austria,2017,102.5
"Index, 2005=100",Austria,2018,101.0
"Index, 2005=100",Austria,2019,102.0
"Index, 2005=100",Austria,2020,94.3
"Index, 2005=100",Austria,2021,100.4
"Index, 2005=100",Austria,2022,95.6
"Index, 2005=100",Austria,2023,91.9
"Index, 2005=100",Belgium,2005,100.0
"Index, 2005=100",Belgium,2006,98.8
"Index, 2005=100",Belgium,2007,95.7
"Index, 2005=100",Belgium,2008,99.8
"Index, 2005=100",Belgium,2009,96.8
"Index, 2005=100",Belgium,2010,104.0
"Index, 2005=100",Belgium,2011,96.2
"Index, 2005=100",Belgium,2012,97.0
"Index, 2005=100",Belgium,2013,99.7
"Index, 2005=100",Belgium,2014,92.9
"Index, 2005=100",Belgium,2015,97.6
"Index, 2005=100",Belgium,2016,98.3
"Index, 2005=100",Belgium,2017,97.4
"Index, 2005=100",Belgium,2018,98.2
"Index, 2005=100",Belgium,2019,96.2
"Index, 2005=100",Belgium,2020,90.3
"Index, 2005=100",Belgium,2021,97.2
"Index, 2005=100",Belgium,2022,90.2
"Index, 2005=100",Belgium,2023,88.5
"Index, 2005=100",Bulgaria,2005,100.0
"Index, 2005=100",Bulgaria,2006,103.5
"Index, 2005=100",Bulgaria,2007,102.1
"Index, 2005=100",Bulgaria,2008,100.3
"Index, 2005=100",Bulgaria,2009,87.9
"Index, 2005=100",Bulgaria,2010,90.3
"Index, 2005=100",Bulgaria,2011,94.7
"Index, 2005=100",Bulgaria,2012,94.3
"Index, 2005=100",Bulgaria,2013,89.8
"Index, 2005=100",Bulgaria,2014,91.9
"Index, 2005=100",Bulgaria,2015,97.1
"Index, 2005=100",Bulgaria,2016,98.7
"Index, 2005=100",Bulgaria,2017,101.3
"Index, 2005=100",Bulgaria,2018,101.5
"Index, 2005=100",Bulgaria,2019,100.8
"Index, 2005=100",Bulgaria,2020,97.5
"Index, 2005=100",Bulgaria,2021,104.4
"Index, 2005=100",Bulgaria,2022,101.5
"Index, 2005=100",Bulgaria,2023,98.1
"Index, 2005=100",Cyprus,2005,100.0
"Index, 2005=100",Cyprus,2006,101.7
"Index, 2005=100",Cyprus,2007,105.1
"Index, 2005=100",Cyprus,2008,107.7
"Index, 2005=100",Cyprus,2009,105.8
"Index, 2005=100",Cyprus,2010,105.2
"Index, 2005=100",Cyprus,2011,104.8
"Index, 2005=100",Cyprus,2012,96.5
"Index, 2005=100",Cyprus,2013,88.3
"Index, 2005=100",Cyprus,2014,88.3
"Index, 2005=100",Cyprus,2015,90.9
"Index, 2005=100",Cyprus,2016,96.3
"Index, 2005=100",Cyprus,2017,101.6
"Index, 2005=100",Cyprus,2018,101.3
"Index, 2005=100",Cyprus,2019,102.9
"Index, 2005=100",Cyprus,2020,85.8
"Index, 2005=100",Cyprus,2021,92.3
"Index, 2005=100",Cyprus,2022,99.4
"Index, 2005=100",Cyprus,2023,102.2
"Index, 2005=100",Czechia,2005,100.0
"Index, 2005=100",Czechia,2006,101.1
"Index, 2005=100",Czechia,2007,99.0
"Index, 2005=100",Czechia,2008,99.0
"Index, 2005=100",Czechia,2009,95.7
"Index, 2005=100",Czechia,2010,96.8
"Index, 2005=100",Czechia,2011,93.7
"Index, 2005=100",Czechia,2012,93.5
"Index, 2005=100",Czechia,2013,92.6
"Index, 2005=100",Czechia,2014,89.9
"Index, 2005=100",Czechia,2015,92.5
"Index, 2005=100",Czechia,2016,94.8
"Index, 2005=100",Czechia,2017,97.9
"Index, 2005=100",Czechia,2018,97.0
"Index, 2005=100",Czechia,2019,97.1
"Index, 2005=100",Czechia,2020,93.9
"Index, 2005=100",Czechia,2021,100.0
"Index, 2005=100",Czechia,2022,95.4
"Index, 2005=100",Czechia,2023,89.7
"Index, 2005=100",Germany,2005,100.0
"Index, 2005=100",Germany,2006,102.7
"Index, 2005=100",Germany,2007,96.7
"Index, 2005=100",Germany,2008,100.8
"Index, 2005=100",Germany,2009,95.3
"Index, 2005=100",Germany,2010,101.3
"Index, 2005=100",Germany,2011,96.2
"Index, 2005=100",Germany,2012,98.0
"Index, 2005=100",Germany,2013,100.5
"Index, 2005=100",Germany,2014,95.3
"Index, 2005=100",Germany,2015,96.6
"Index, 2005=100",Germany,2016,98.5
"Index, 2005=100",Germany,2017,99.3
"Index, 2005=100",Germany,2018,97.6
"Index, 2005=100",Germany,2019,97.6
"Index, 2005=100",Germany,2020,92.0
"Index, 2005=100",Germany,2021,94.2
"Index, 2005=100",Germany,2022,91.8
"Index, 2005=100",Germany,2023,87.2
"Index, 2005=100",Denmark,2005,100.0
"Index, 2005=100",Denmark,2006,101.1
"Index, 2005=100",Denmark,2007,101.4
"Index, 2005=100",Denmark,2008,100.2
"Index, 2005=100",Denmark,2009,95.5
"Index, 2005=100",Denmark,2010,100.1
"Index, 2005=100",Denmark,2011,95.5
"Index, 2005=100",Denmark,2012,92.2
"Index, 2005=100",Denmark,2013,91.1
"Index, 2005=100",Denmark,2014,88.1
"Index, 2005=100",Denmark,2015,91.3
"Index, 2005=100",Denmark,2016,93.5
"Index, 2005=100",Denmark,2017,94.0
"Index, 2005=100",Denmark,2018,94.0
"Index, 2005=100",Denmark,2019,92.3
"Index, 2005=100",Denmark,2020,84.4
"Index, 2005=100",Denmark,2021,89.3
"Index, 2005=100",Denmark,2022,86.0
"Index, 2005=100",Denmark,2023,86.3
"Index, 2005=100",Estonia,2005,100.0
"Index, 2005=100",Estonia,2006,100.7
"Index, 2005=100",Estonia,2007,107.8
"Index, 2005=100",Estonia,2008,106.9
"Index, 2005=100",Estonia,2009,96.5
"Index, 2005=100",Estonia,2010,101.8
"Index, 2005=100",Estonia,2011,98.8
"Index, 2005=100",Estonia,2012,100.9
"Index, 2005=100",Estonia,2013,101.0
"Index, 2005=100",Estonia,2014,98.6
"Index, 2005=100",Estonia,2015,97.9
"Index, 2005=100",Estonia,2016,99.3
"Index, 2005=100",Estonia,2017,100.2
"Index, 2005=100",Estonia,2018,103.4
"Index, 2005=100",Estonia,2019,101.2
"Index, 2005=100",Estonia,2020,96.1
"Index, 2005=100",Estonia,2021,99.0
"Index, 2005=100",Estonia,2022,97.1
"Index, 2005=100",Estonia,2023,91.4
"Index, 2005=100",Greece,2005,100.0
"Index, 2005=100",Greece,2006,102.9
"Index, 2005=100",Greece,2007,105.1
"Index, 2005=100",Greece,2008,102.0
"Index, 2005=100",Greece,2009,97.9
"Index, 2005=100",Greece,2010,90.6
"Index, 2005=100",Greece,2011,90.0
