siec,unit,country,year,value
Solid fossil fuels,Percentage,Albania,2000,58.904
Solid fossil fuels,Percentage,Albania,2001,75.294
Solid fossil fuels,Percentage,Albania,2002,75.807
Solid fossil fuels,Percentage,Albania,2003,9.375
Solid fossil fuels,Percentage,Albania,2004,9.375
Solid fossil fuels,Percentage,Albania,2005,16.667
Solid fossil fuels,Percentage,Albania,2006,16.667
Solid fossil fuels,Percentage,Albania,2007,16.667
Solid fossil fuels,Percentage,Albania,2008,12.857
Solid fossil fuels,Percentage,Albania,2009,97.661
Solid fossil fuels,Percentage,Albania,2010,97.88
Solid fossil fuels,Percentage,Albania,2011,99.154
Solid fossil fuels,Percentage,Albania,2012,98.478
Solid fossil fuels,Percentage,Albania,2013,98.947
Solid fossil fuels,Percentage,Albania,2014,100.0
Solid fossil fuels,Percentage,Albania,2015,64.1
Solid fossil fuels,Percentage,Albania,2016,95.901
Solid fossil fuels,Percentage,Albania,2017,38.627
Solid fossil fuels,Percentage,Albania,2018,32.637
Solid fossil fuels,Percentage,Albania,2019,57.943
Solid fossil fuels,Percentage,Albania,2020,53.934
Solid fossil fuels,Percentage,Albania,2021,42.263
Solid fossil fuels,Percentage,Albania,2022,-2.932
Solid fossil fuels,Percentage,Austria,2000,83.931
Solid fossil fuels,Percentage,Austria,2001,89.462
Solid fossil fuels,Percentage,Austria,2002,91.801
Solid fossil fuels,Percentage,Austria,2003,86.573
Solid fossil fuels,Percentage,Austria,2004,98.443
Solid fossil fuels,Percentage,Austria,2005,99.377
Solid fossil fuels,Percentage,Austria,2006,94.058
Solid fossil fuels,Percentage,Austria,2007,102.092
Solid fossil fuels,Percentage,Austria,2008,99.809
Solid fossil fuels,Percentage,Austria,2009,95.88
Solid fossil fuels,Percentage,Austria,2010,99.577
Solid fossil fuels,Percentage,Austria,2011,89.586
Solid fossil fuels,Percentage,Austria,2012,102.771
Solid fossil fuels,Percentage,Austria,2013,94.087
Solid fossil fuels,Percentage,Austria,2014,101.727
Solid fossil fuels,Percentage,Austria,2015,86.926
Solid fossil fuels,Percentage,Austria,2016,95.008
Solid fossil fuels,Percentage,Austria,2017,99.885
Solid fossil fuels,Percentage,Austria,2018,97.607
Solid fossil fuels,Percentage,Austria,2019,96.661
Solid fossil fuels,Percentage,Austria,2020,97.807
Solid fossil fuels,Percentage,Austria,2021,99.412
Solid fossil fuels,Percentage,Austria,2022,99.905
Solid fossil fuels,Percentage,Austria,2023,102.015
Solid fossil fuels,Percentage,Bosnia and Herzegovina,2014,17.258
Solid fossil fuels,Percentage,Bosnia and Herzegovina,2015,17.839
Solid fossil fuels,Percentage,Bosnia and Herzegovina,2016,14.941
Solid fossil fuels,Percentage,Bosnia and Herzegovina,2017,17.657
Solid fossil fuels,Percentage,Bosnia and Herzegovina,2018,14.883
Solid fossil fuels,Percentage,Bosnia and Herzegovina,2019,19.768
Solid fossil fuels,Percentage,Bosnia and Herzegovina,2020,15.417
