airpol,nace_r2,na_item,unit,country,year,value
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Austria,2008,0.07
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Austria,2009,0.07
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Austria,2010,0.07
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Austria,2011,0.07
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Austria,2012,0.06
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Austria,2013,0.06
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Austria,2014,0.05
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Austria,2015,0.05
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Austria,2016,0.04
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Austria,2017,0.04
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Austria,2018,0.04
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Austria,2019,0.04
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Austria,2020,0.04
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Austria,2021,0.04
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Austria,2022,0.04
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Belgium,2008,0.23
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Belgium,2009,0.15
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Belgium,2010,0.16
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Belgium,2011,0.15
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Belgium,2012,0.14
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Belgium,2013,0.12
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Belgium,2014,0.12
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Belgium,2015,0.13
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Belgium,2016,0.13
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Belgium,2017,0.12
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Belgium,2018,0.11
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Belgium,2019,0.11
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Belgium,2020,0.11
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Belgium,2021,0.12
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Belgium,2022,0.1
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Bulgaria,2008,1.07
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Bulgaria,2009,0.47
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Bulgaria,2010,0.48
Particulates < 10µm,Manufacturing,"Value added, gross","Grams per euro, chain linked volumes (2010)",Bulgaria,2011,0.51
