indic_env,unit,country,hazard,year,value
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2004,84.4
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2005,89.6
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2006,87.7
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2007,91.7
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2008,92.9
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2009,76.7
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2010,87.1
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2011,85.2
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2012,80.6
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2013,80.5
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2014,80.9
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2015,78.0
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2016,75.2
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2017,74.3
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2018,75.9
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2019,82.3
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2020,81.3
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2021,85.5
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2022,64.8
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous to the environment,2023,57.3
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2004,244.3
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2005,251.9
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2006,246.6
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2007,254.2
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2008,242.3
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2009,206.3
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2010,235.7
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2011,225.7
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2012,220.0
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2013,219.2
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2014,223.4
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2015,219.3
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2016,215.7
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2017,220.4
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2018,221.0
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2019,224.4
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2020,216.9
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2021,223.8
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2022,195.1
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous,2023,167.7
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2004,317.0
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2005,327.2
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2006,323.1
Consumption of chemicals,Million tonnes,European Union - 27 countries (from 2020),Hazardous and non-hazardous - total,2007,334.1
