indic_env,material,unit,country,year,value
Raw material consumption,Total,Thousand tonnes,Austria,2008,208684.864
Raw material consumption,Total,Thousand tonnes,Austria,2009,203488.145
Raw material consumption,Total,Thousand tonnes,Austria,2010,204453.462
Raw material consumption,Total,Thousand tonnes,Austria,2011,217752.632
Raw material consumption,Total,Thousand tonnes,Austria,2012,207011.509
Raw material consumption,Total,Thousand tonnes,Austria,2013,202090.037
Raw material consumption,Total,Thousand tonnes,Austria,2014,207635.24
Raw material consumption,Total,Thousand tonnes,Austria,2015,202010.391
Raw material consumption,Total,Thousand tonnes,Austria,2016,207319.862
Raw material consumption,Total,Thousand tonnes,Austria,2017,207953.027
Raw material consumption,Total,Thousand tonnes,Austria,2018,211706.827
Raw material consumption,Total,Thousand tonnes,Austria,2019,209411.197
Raw material consumption,Total,Thousand tonnes,Austria,2020,198531.671
Raw material consumption,Total,Thousand tonnes,Austria,2021,222426.4
Raw material consumption,Total,Thousand tonnes,Austria,2022,220901.8
Raw material consumption,Total,Thousand tonnes,Austria,2023,199133.494
Raw material consumption,Total,Thousand tonnes,Belgium,2008,172867.983
Raw material consumption,Total,Thousand tonnes,Belgium,2009,150614.176
Raw material consumption,Total,Thousand tonnes,Belgium,2010,149021.01
Raw material consumption,Total,Thousand tonnes,Belgium,2011,171234.147
Raw material consumption,Total,Thousand tonnes,Belgium,2012,156264.565
Raw material consumption,Total,Thousand tonnes,Belgium,2013,149277.231
Raw material consumption,Total,Thousand tonnes,Belgium,2014,162410.631
Raw material consumption,Total,Thousand tonnes,Belgium,2015,163773.283
Raw material consumption,Total,Thousand tonnes,Belgium,2016,158725.974
Raw material consumption,Total,Thousand tonnes,Belgium,2017,152774.44
Raw material consumption,Total,Thousand tonnes,Belgium,2018,170491.538
Raw material consumption,Total,Thousand tonnes,Belgium,2019,147316.181
Raw material consumption,Total,Thousand tonnes,Belgium,2020,149832.282
Raw material consumption,Total,Thousand tonnes,Belgium,2021,159899.1
Raw material consumption,Total,Thousand tonnes,Belgium,2022,148379.1
Raw material consumption,Total,Thousand tonnes,Belgium,2023,162610.646
Raw material consumption,Total,Thousand tonnes,Bulgaria,2008,146934.7
Raw material consumption,Total,Thousand tonnes,Bulgaria,2009,120630.9
Raw material consumption,Total,Thousand tonnes,Bulgaria,2010,100368.0
Raw material consumption,Total,Thousand tonnes,Bulgaria,2011,106840.1
Raw material consumption,Total,Thousand tonnes,Bulgaria,2012,109409.1
Raw material consumption,Total,Thousand tonnes,Bulgaria,2013,111965.3
Raw material consumption,Total,Thousand tonnes,Bulgaria,2014,113324.9
Raw material consumption,Total,Thousand tonnes,Bulgaria,2015,114851.3
Raw material consumption,Total,Thousand tonnes,Bulgaria,2016,113439.4
Raw material consumption,Total,Thousand tonnes,Bulgaria,2017,103869.7
Raw material consumption,Total,Thousand tonnes,Bulgaria,2018,123141.2
Raw material consumption,Total,Thousand tonnes,Bulgaria,2019,137008.8
Raw material consumption,Total,Thousand tonnes,Bulgaria,2020,135304.9
Raw material consumption,Total,Thousand tonnes,Bulgaria,2021,139843.5
Raw material consumption,Total,Thousand tonnes,Bulgaria,2022,155491.0
