waste,hazard,nace_r2,unit,country,year,value
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Albania,2022,4
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Austria,2004,124
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Austria,2006,116
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Austria,2008,160
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Austria,2010,176
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Austria,2012,126
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Austria,2014,149
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Austria,2016,144
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Austria,2018,149
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Austria,2020,144
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Austria,2022,163
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bosnia and Herzegovina,2012,246
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bosnia and Herzegovina,2014,2
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bosnia and Herzegovina,2016,4
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bosnia and Herzegovina,2018,4
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bosnia and Herzegovina,2022,4
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2004,499
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2006,383
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2008,553
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2010,438
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2012,251
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2014,264
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2016,336
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2018,343
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2020,342
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Belgium,2022,189
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2004,1542
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2006,1783
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2008,1741
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2010,1833
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2012,1835
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2014,1690
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2016,1870
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2018,1912
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2020,2012
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,2022,2172
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2004,153
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2006,23
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2008,30
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2010,45
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2012,36
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2014,203
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2016,187
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2018,258
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2020,36
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,2022,63
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2004,142
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2006,128
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2008,145
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2010,130
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2012,141
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2014,110
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2016,103
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2018,159
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2020,164
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Czechia,2022,146
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Germany,2004,242
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Germany,2006,263
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Germany,2008,272
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Germany,2010,244
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Germany,2012,273
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Germany,2014,269
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Germany,2016,280
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Germany,2018,292
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Germany,2020,282
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Germany,2022,272
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Denmark,2004,59
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Denmark,2006,69
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Denmark,2008,76
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Denmark,2010,221
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Denmark,2012,218
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Denmark,2014,304
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Denmark,2016,351
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Denmark,2018,361
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Denmark,2020,235
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Denmark,2022,223
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Estonia,2004,5382
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Estonia,2006,4914
Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Estonia,2008,5638
