country,unit,year,value
Austria,Grams per kilometre,2000,168.0
Austria,Grams per kilometre,2001,165.6
Austria,Grams per kilometre,2002,164.4
Austria,Grams per kilometre,2003,163.8
Austria,Grams per kilometre,2004,161.9
Austria,Grams per kilometre,2005,162.1
Austria,Grams per kilometre,2006,163.7
Austria,Grams per kilometre,2007,162.9
Austria,Grams per kilometre,2008,158.1
Austria,Grams per kilometre,2009,150.2
Austria,Grams per kilometre,2010,144.0
Austria,Grams per kilometre,2011,138.7
Austria,Grams per kilometre,2012,135.7
Austria,Grams per kilometre,2013,131.6
Austria,Grams per kilometre,2014,128.5
Austria,Grams per kilometre,2015,123.7
Austria,Grams per kilometre,2016,120.4
Austria,Grams per kilometre,2017,146.3
Austria,Grams per kilometre,2018,149.1
Austria,Grams per kilometre,2019,152.1
Austria,Grams per kilometre,2020,135.7
Austria,Grams per kilometre,2021,116.1
Austria,Grams per kilometre,2022,112.0
Austria,Grams per kilometre,2023,104.1
Belgium,Grams per kilometre,2000,166.5
Belgium,Grams per kilometre,2001,163.7
Belgium,Grams per kilometre,2002,161.1
Belgium,Grams per kilometre,2003,158.1
Belgium,Grams per kilometre,2004,156.5
Belgium,Grams per kilometre,2005,155.2
Belgium,Grams per kilometre,2006,153.9
Belgium,Grams per kilometre,2007,152.8
Belgium,Grams per kilometre,2008,147.8
Belgium,Grams per kilometre,2009,142.1
Belgium,Grams per kilometre,2010,133.4
Belgium,Grams per kilometre,2011,127.2
Belgium,Grams per kilometre,2012,128.0
Belgium,Grams per kilometre,2013,124.0
Belgium,Grams per kilometre,2014,121.3
Belgium,Grams per kilometre,2015,117.9
Belgium,Grams per kilometre,2016,115.9
Belgium,Grams per kilometre,2017,140.5
Belgium,Grams per kilometre,2018,144.7
Belgium,Grams per kilometre,2019,147.3
Belgium,Grams per kilometre,2020,130.6
Belgium,Grams per kilometre,2021,117.0
Belgium,Grams per kilometre,2022,104.5
Belgium,Grams per kilometre,2023,85.3
Bulgaria,Grams per kilometre,2007,171.6
Bulgaria,Grams per kilometre,2008,171.5
Bulgaria,Grams per kilometre,2009,172.1
Bulgaria,Grams per kilometre,2010,158.9
Bulgaria,Grams per kilometre,2011,151.4
Bulgaria,Grams per kilometre,2012,149.2
Bulgaria,Grams per kilometre,2013,141.7
Bulgaria,Grams per kilometre,2014,135.9
Bulgaria,Grams per kilometre,2015,130.3
Bulgaria,Grams per kilometre,2016,125.8
Bulgaria,Grams per kilometre,2017,153.0
Bulgaria,Grams per kilometre,2018,153.6
Bulgaria,Grams per kilometre,2019,157.8
Bulgaria,Grams per kilometre,2020,147.1
Bulgaria,Grams per kilometre,2021,139.5
Bulgaria,Grams per kilometre,2022,134.3
Bulgaria,Grams per kilometre,2023,129.4
Cyprus,Grams per kilometre,2004,173.4
Cyprus,Grams per kilometre,2005,173.0
Cyprus,Grams per kilometre,2006,170.1
Cyprus,Grams per kilometre,2007,170.3
Cyprus,Grams per kilometre,2008,165.6
Cyprus,Grams per kilometre,2009,160.7
Cyprus,Grams per kilometre,2010,155.8
Cyprus,Grams per kilometre,2011,149.9
Cyprus,Grams per kilometre,2012,144.3
Cyprus,Grams per kilometre,2013,139.2
Cyprus,Grams per kilometre,2014,129.8
Cyprus,Grams per kilometre,2015,125.7
Cyprus,Grams per kilometre,2016,123.5
Cyprus,Grams per kilometre,2017,148.1
Cyprus,Grams per kilometre,2018,149.6
Cyprus,Grams per kilometre,2019,153.6
Cyprus,Grams per kilometre,2020,151.9
Cyprus,Grams per kilometre,2021,145.9
Cyprus,Grams per kilometre,2022,136.8
Cyprus,Grams per kilometre,2023,126.3
Czechia,Grams per kilometre,2004,154.0
Czechia,Grams per kilometre,2005,155.3
Czechia,Grams per kilometre,2006,154.2
Czechia,Grams per kilometre,2007,154.2
Czechia,Grams per kilometre,2008,154.4
Czechia,Grams per kilometre,2009,155.5
Czechia,Grams per kilometre,2010,148.9
Czechia,Grams per kilometre,2011,144.5
Czechia,Grams per kilometre,2012,140.8
Czechia,Grams per kilometre,2013,134.6
Czechia,Grams per kilometre,2014,131.6
Czechia,Grams per kilometre,2015,126.3
Czechia,Grams per kilometre,2016,121.2
Czechia,Grams per kilometre,2017,150.4
Czechia,Grams per kilometre,2018,152.7
Czechia,Grams per kilometre,2019,156.0
Czechia,Grams per kilometre,2020,144.9
Czechia,Grams per kilometre,2021,138.8
Czechia,Grams per kilometre,2022,137.7
Czechia,Grams per kilometre,2023,136.0
Germany,Grams per kilometre,2000,182.2
Germany,Grams per kilometre,2001,179.5
Germany,Grams per kilometre,2002,177.4
Germany,Grams per kilometre,2003,175.9
Germany,Grams per kilometre,2004,174.9
Germany,Grams per kilometre,2005,173.4
Germany,Grams per kilometre,2006,172.5
Germany,Grams per kilometre,2007,169.5
Germany,Grams per kilometre,2008,164.8
Germany,Grams per kilometre,2009,154.0
Germany,Grams per kilometre,2010,151.1
Germany,Grams per kilometre,2011,145.6
Germany,Grams per kilometre,2012,141.6
Germany,Grams per kilometre,2013,136.1
Germany,Grams per kilometre,2014,132.5
Germany,Grams per kilometre,2015,128.3
Germany,Grams per kilometre,2016,126.9
Germany,Grams per kilometre,2017,154.2
Germany,Grams per kilometre,2018,157.0
Germany,Grams per kilometre,2019,159.0
Germany,Grams per kilometre,2020,136.0
Germany,Grams per kilometre,2021,113.5
Germany,Grams per kilometre,2022,105.9
Germany,Grams per kilometre,2023,113.0
Denmark,Grams per kilometre,2000,175.7
Denmark,Grams per kilometre,2001,172.9
Denmark,Grams per kilometre,2002,170.0
Denmark,Grams per kilometre,2003,169.0
Denmark,Grams per kilometre,2004,165.9
Denmark,Grams per kilometre,2005,163.7
Denmark,Grams per kilometre,2006,162.5
Denmark,Grams per kilometre,2007,159.8
Denmark,Grams per kilometre,2008,146.4
Denmark,Grams per kilometre,2009,139.1
Denmark,Grams per kilometre,2010,126.2
Denmark,Grams per kilometre,2011,125.0
Denmark,Grams per kilometre,2012,117.0
Denmark,Grams per kilometre,2013,112.7
Denmark,Grams per kilometre,2014,110.2
Denmark,Grams per kilometre,2015,106.2
Denmark,Grams per kilometre,2016,106.0
Denmark,Grams per kilometre,2017,129.8
Denmark,Grams per kilometre,2018,132.8
Denmark,Grams per kilometre,2019,135.6
Denmark,Grams per kilometre,2020,116.4
Denmark,Grams per kilometre,2021,92.3
Denmark,Grams per kilometre,2022,86.3
Denmark,Grams per kilometre,2023,72.8
Estonia,Grams per kilometre,2004,179.0
Estonia,Grams per kilometre,2005,183.7
Estonia,Grams per kilometre,2006,182.7
Estonia,Grams per kilometre,2007,181.6
Estonia,Grams per kilometre,2008,177.4
Estonia,Grams per kilometre,2009,170.3
Estonia,Grams per kilometre,2010,162.0
Estonia,Grams per kilometre,2011,156.9
Estonia,Grams per kilometre,2012,150.3
Estonia,Grams per kilometre,2013,147.0
Estonia,Grams per kilometre,2014,140.9
Estonia,Grams per kilometre,2015,137.2
Estonia,Grams per kilometre,2016,133.9
Estonia,Grams per kilometre,2017,161.0
Estonia,Grams per kilometre,2018,160.5
Estonia,Grams per kilometre,2019,157.7
Estonia,Grams per kilometre,2020,147.6
Estonia,Grams per kilometre,2021,142.6
Estonia,Grams per kilometre,2022,141.6
Estonia,Grams per kilometre,2023,134.6
Greece,Grams per kilometre,2000,180.3
Greece,Grams per kilometre,2001,166.5
Greece,Grams per kilometre,2002,167.8
Greece,Grams per kilometre,2003,168.9
Greece,Grams per kilometre,2004,168.8
Greece,Grams per kilometre,2005,167.4
Greece,Grams per kilometre,2006,166.5
Greece,Grams per kilometre,2007,165.3
Greece,Grams per kilometre,2008,160.8
Greece,Grams per kilometre,2009,157.4
Greece,Grams per kilometre,2010,143.7
Greece,Grams per kilometre,2011,132.7
Greece,Grams per kilometre,2012,121.1
Greece,Grams per kilometre,2013,111.9
Greece,Grams per kilometre,2014,108.2
Greece,Grams per kilometre,2015,106.4
Greece,Grams per kilometre,2016,106.3
Greece,Grams per kilometre,2017,131.9
Greece,Grams per kilometre,2018,135.0
Greece,Grams per kilometre,2019,140.1
Greece,Grams per kilometre,2020,130.5
Greece,Grams per kilometre,2021,119.8
Greece,Grams per kilometre,2022,118.0
Greece,Grams per kilometre,2023,112.7
Spain,Grams per kilometre,2000,159.2
Spain,Grams per kilometre,2001,156.8
Spain,Grams per kilometre,2002,156.4
Spain,Grams per kilometre,2003,157.0
Spain,Grams per kilometre,2004,155.3
Spain,Grams per kilometre,2005,155.3
Spain,Grams per kilometre,2006,155.6
Spain,Grams per kilometre,2007,153.2
Spain,Grams per kilometre,2008,148.2
Spain,Grams per kilometre,2009,142.2
Spain,Grams per kilometre,2010,137.9
Spain,Grams per kilometre,2011,133.8
Spain,Grams per kilometre,2012,128.7
Spain,Grams per kilometre,2013,122.4
Spain,Grams per kilometre,2014,118.6
Spain,Grams per kilometre,2015,115.3
Spain,Grams per kilometre,2016,114.4
Spain,Grams per kilometre,2017,139.4
Spain,Grams per kilometre,2018,143.1
Spain,Grams per kilometre,2019,147.0
Spain,Grams per kilometre,2020,135.5
Spain,Grams per kilometre,2021,126.0
Spain,Grams per kilometre,2022,121.5
Spain,Grams per kilometre,2023,117.5
European Union - 27 countries (from 2020),Grams per kilometre,2007,157.5
European Union - 27 countries (from 2020),Grams per kilometre,2008,152.8
European Union - 27 countries (from 2020),Grams per kilometre,2009,145.0
European Union - 27 countries (from 2020),Grams per kilometre,2010,139.6
European Union - 27 countries (from 2020),Grams per kilometre,2011,135.3
European Union - 27 countries (from 2020),Grams per kilometre,2012,132.0
European Union - 27 countries (from 2020),Grams per kilometre,2013,126.4
European Union - 27 countries (from 2020),Grams per kilometre,2014,123.1
