statinfo,unit,stk_flow,country,year,value
Thirty-year average,"Current prices, euro per capita",Losses,Austria,2009,38.95
Thirty-year average,"Current prices, euro per capita",Losses,Austria,2010,38.85
Thirty-year average,"Current prices, euro per capita",Losses,Austria,2011,38.72
Thirty-year average,"Current prices, euro per capita",Losses,Austria,2012,38.59
Thirty-year average,"Current prices, euro per capita",Losses,Austria,2013,42.34
Thirty-year average,"Current prices, euro per capita",Losses,Austria,2014,42.01
Thirty-year average,"Current prices, euro per capita",Losses,Austria,2015,41.54
Thirty-year average,"Current prices, euro per capita",Losses,Austria,2016,41.09
Thirty-year average,"Current prices, euro per capita",Losses,Austria,2017,43.8
Thirty-year average,"Current prices, euro per capita",Losses,Austria,2018,45.07
Thirty-year average,"Current prices, euro per capita",Losses,Austria,2019,47.2
Thirty-year average,"Current prices, euro per capita",Losses,Austria,2020,45.88
Thirty-year average,"Current prices, euro per capita",Losses,Austria,2021,48.13
Thirty-year average,"Current prices, euro per capita",Losses,Austria,2022,48.46
Thirty-year average,"Current prices, euro per capita",Losses,Austria,2023,49.42
Thirty-year average,"Current prices, euro per capita",Losses,Belgium,2009,6.95
Thirty-year average,"Current prices, euro per capita",Losses,Belgium,2010,8.67
Thirty-year average,"Current prices, euro per capita",Losses,Belgium,2011,8.85
Thirty-year average,"Current prices, euro per capita",Losses,Belgium,2012,8.79
Thirty-year average,"Current prices, euro per capita",Losses,Belgium,2013,8.75
Thirty-year average,"Current prices, euro per capita",Losses,Belgium,2014,10.97
Thirty-year average,"Current prices, euro per capita",Losses,Belgium,2015,10.91
Thirty-year average,"Current prices, euro per capita",Losses,Belgium,2016,11.25
Thirty-year average,"Current prices, euro per capita",Losses,Belgium,2017,11.3
Thirty-year average,"Current prices, euro per capita",Losses,Belgium,2018,11.86
Thirty-year average,"Current prices, euro per capita",Losses,Belgium,2019,12.64
Thirty-year average,"Current prices, euro per capita",Losses,Belgium,2020,9.93
Thirty-year average,"Current prices, euro per capita",Losses,Belgium,2021,41.99
Thirty-year average,"Current prices, euro per capita",Losses,Belgium,2022,44.05
Thirty-year average,"Current prices, euro per capita",Losses,Belgium,2023,43.93
Thirty-year average,"Current prices, euro per capita",Losses,Bulgaria,2009,12.0
Thirty-year average,"Current prices, euro per capita",Losses,Bulgaria,2010,12.08
Thirty-year average,"Current prices, euro per capita",Losses,Bulgaria,2011,12.16
Thirty-year average,"Current prices, euro per capita",Losses,Bulgaria,2012,12.25
Thirty-year average,"Current prices, euro per capita",Losses,Bulgaria,2013,12.5
Thirty-year average,"Current prices, euro per capita",Losses,Bulgaria,2014,18.3
Thirty-year average,"Current prices, euro per capita",Losses,Bulgaria,2015,24.33
