issuer,unit,country,year,value
Corporate,Percentage of total,European Union - 27 countries (from 2020),2014,0.41
Corporate,Percentage of total,European Union - 27 countries (from 2020),2015,0.79
Corporate,Percentage of total,European Union - 27 countries (from 2020),2016,0.99
Corporate,Percentage of total,European Union - 27 countries (from 2020),2017,1.98
Corporate,Percentage of total,European Union - 27 countries (from 2020),2018,1.66
Corporate,Percentage of total,European Union - 27 countries (from 2020),2019,4.07
Corporate,Percentage of total,European Union - 27 countries (from 2020),2020,4.66
Corporate,Percentage of total,European Union - 27 countries (from 2020),2021,8.31
Corporate,Percentage of total,European Union - 27 countries (from 2020),2022,11.04
Government,Percentage of total,European Union - 27 countries (from 2020),2014,0.09
Government,Percentage of total,European Union - 27 countries (from 2020),2015,0.12
Government,Percentage of total,European Union - 27 countries (from 2020),2016,0.23
Government,Percentage of total,European Union - 27 countries (from 2020),2017,3.98
Government,Percentage of total,European Union - 27 countries (from 2020),2018,2.96
Government,Percentage of total,European Union - 27 countries (from 2020),2019,1.94
Government,Percentage of total,European Union - 27 countries (from 2020),2020,1.9
Government,Percentage of total,European Union - 27 countries (from 2020),2021,5.32
Government,Percentage of total,European Union - 27 countries (from 2020),2022,4.42
Subnational,Percentage of total,European Union - 27 countries (from 2020),2014,1.65
Subnational,Percentage of total,European Union - 27 countries (from 2020),2015,2.29
Subnational,Percentage of total,European Union - 27 countries (from 2020),2016,2.98
Subnational,Percentage of total,European Union - 27 countries (from 2020),2017,4.14
Subnational,Percentage of total,European Union - 27 countries (from 2020),2018,3.43
Subnational,Percentage of total,European Union - 27 countries (from 2020),2019,10.39
Subnational,Percentage of total,European Union - 27 countries (from 2020),2020,8.67
Subnational,Percentage of total,European Union - 27 countries (from 2020),2021,10.76
Subnational,Percentage of total,European Union - 27 countries (from 2020),2022,8.25
Supranational,Percentage of total,European Union - 27 countries (from 2020),2014,2.83
Supranational,Percentage of total,European Union - 27 countries (from 2020),2015,1.86
Supranational,Percentage of total,European Union - 27 countries (from 2020),2016,3.07
Supranational,Percentage of total,European Union - 27 countries (from 2020),2017,1.73
Supranational,Percentage of total,European Union - 27 countries (from 2020),2018,4.09
Supranational,Percentage of total,European Union - 27 countries (from 2020),2019,3.17
Supranational,Percentage of total,European Union - 27 countries (from 2020),2020,2.89
Supranational,Percentage of total,European Union - 27 countries (from 2020),2021,9.16
Supranational,Percentage of total,European Union - 27 countries (from 2020),2022,8.62
Total,Percentage of total,European Union - 27 countries (from 2020),2014,0.6
Total,Percentage of total,European Union - 27 countries (from 2020),2015,0.81
Total,Percentage of total,European Union - 27 countries (from 2020),2016,1.14
Total,Percentage of total,European Union - 27 countries (from 2020),2017,2.7
Total,Percentage of total,European Union - 27 countries (from 2020),2018,2.31
Total,Percentage of total,European Union - 27 countries (from 2020),2019,4.04
Total,Percentage of total,European Union - 27 countries (from 2020),2020,4.01
Total,Percentage of total,European Union - 27 countries (from 2020),2021,7.8
Total,Percentage of total,European Union - 27 countries (from 2020),2022,8.85
