areaprot,unit,country,year,value
Marine protected area,Square kilometre,Austria,2012,
Marine protected area,Square kilometre,Austria,2016,
Marine protected area,Square kilometre,Austria,2019,
Marine protected area,Square kilometre,Austria,2021,
Marine protected area,Square kilometre,Belgium,2012,1273.0
Marine protected area,Square kilometre,Belgium,2016,1274.0
Marine protected area,Square kilometre,Belgium,2019,1274.0
Marine protected area,Square kilometre,Belgium,2021,1322.0
Marine protected area,Square kilometre,Bulgaria,2012,995.0
Marine protected area,Square kilometre,Bulgaria,2016,2834.0
Marine protected area,Square kilometre,Bulgaria,2019,2834.0
Marine protected area,Square kilometre,Bulgaria,2021,2856.0
Marine protected area,Square kilometre,Cyprus,2012,131.0
Marine protected area,Square kilometre,Cyprus,2016,131.0
Marine protected area,Square kilometre,Cyprus,2019,8463.0
Marine protected area,Square kilometre,Cyprus,2021,8463.0
Marine protected area,Square kilometre,Czechia,2012,
Marine protected area,Square kilometre,Czechia,2016,
Marine protected area,Square kilometre,Czechia,2019,
Marine protected area,Square kilometre,Czechia,2021,
Marine protected area,Square kilometre,Germany,2012,25641.0
Marine protected area,Square kilometre,Germany,2016,25684.0
Marine protected area,Square kilometre,Germany,2019,25688.0
Marine protected area,Square kilometre,Germany,2021,25637.0
Marine protected area,Square kilometre,Denmark,2012,19087.0
Marine protected area,Square kilometre,Denmark,2016,19122.0
Marine protected area,Square kilometre,Denmark,2019,19675.0
Marine protected area,Square kilometre,Denmark,2021,19681.0
Marine protected area,Square kilometre,Estonia,2012,6759.0
Marine protected area,Square kilometre,Estonia,2016,6757.0
Marine protected area,Square kilometre,Estonia,2019,6813.0
Marine protected area,Square kilometre,Estonia,2021,6813.0
Marine protected area,Square kilometre,Greece,2012,7414.0
Marine protected area,Square kilometre,Greece,2016,7430.0
Marine protected area,Square kilometre,Greece,2019,22550.0
Marine protected area,Square kilometre,Greece,2021,22746.0
Marine protected area,Square kilometre,Spain,2012,11489.0
Marine protected area,Square kilometre,Spain,2016,84387.0
Marine protected area,Square kilometre,Spain,2019,128476.0
Marine protected area,Square kilometre,Spain,2021,132818.0
