aquaenv,country,year,value
Coastal water excellent - number,Albania,2013,37.0
Coastal water excellent - number,Albania,2014,26.0
Coastal water excellent - number,Albania,2015,25.0
Coastal water excellent - number,Albania,2016,34.0
Coastal water excellent - number,Albania,2017,56.0
Coastal water excellent - number,Albania,2018,67.0
Coastal water excellent - number,Albania,2019,67.0
Coastal water excellent - number,Albania,2020,88.0
Coastal water excellent - number,Albania,2021,80.0
Coastal water excellent - number,Albania,2022,79.0
Coastal water excellent - number,Albania,2023,47.0
Coastal water excellent - number,Austria,2011,
Coastal water excellent - number,Austria,2012,
Coastal water excellent - number,Austria,2013,
Coastal water excellent - number,Austria,2014,
Coastal water excellent - number,Austria,2015,
Coastal water excellent - number,Austria,2016,
Coastal water excellent - number,Austria,2017,
Coastal water excellent - number,Austria,2018,
Coastal water excellent - number,Austria,2019,
Coastal water excellent - number,Austria,2020,
Coastal water excellent - number,Austria,2021,
Coastal water excellent - number,Austria,2022,
Coastal water excellent - number,Austria,2023,
Coastal water excellent - number,Belgium,2011,17.0
Coastal water excellent - number,Belgium,2012,22.0
Coastal water excellent - number,Belgium,2013,20.0
Coastal water excellent - number,Belgium,2014,29.0
Coastal water excellent - number,Belgium,2015,32.0
Coastal water excellent - number,Belgium,2016,38.0
Coastal water excellent - number,Belgium,2017,40.0
Coastal water excellent - number,Belgium,2018,41.0
Coastal water excellent - number,Belgium,2019,41.0
Coastal water excellent - number,Belgium,2020,39.0
Coastal water excellent - number,Belgium,2021,38.0
Coastal water excellent - number,Belgium,2022,35.0
Coastal water excellent - number,Belgium,2023,27.0
Coastal water excellent - number,Bulgaria,2011,45.0
Coastal water excellent - number,Bulgaria,2012,55.0
Coastal water excellent - number,Bulgaria,2013,59.0
Coastal water excellent - number,Bulgaria,2014,65.0
Coastal water excellent - number,Bulgaria,2015,63.0
Coastal water excellent - number,Bulgaria,2016,57.0
Coastal water excellent - number,Bulgaria,2017,41.0
Coastal water excellent - number,Bulgaria,2018,49.0
Coastal water excellent - number,Bulgaria,2019,61.0
Coastal water excellent - number,Bulgaria,2020,58.0
Coastal water excellent - number,Bulgaria,2021,82.0
Coastal water excellent - number,Bulgaria,2022,85.0
Coastal water excellent - number,Bulgaria,2023,87.0
Coastal water excellent - number,Switzerland,2011,
Coastal water excellent - number,Switzerland,2012,
Coastal water excellent - number,Switzerland,2013,
Coastal water excellent - number,Switzerland,2014,
Coastal water excellent - number,Switzerland,2015,
Coastal water excellent - number,Switzerland,2016,
Coastal water excellent - number,Switzerland,2017,
Coastal water excellent - number,Switzerland,2018,
Coastal water excellent - number,Switzerland,2019,
Coastal water excellent - number,Switzerland,2020,
Coastal water excellent - number,Switzerland,2021,
Coastal water excellent - number,Switzerland,2022,
Coastal water excellent - number,Switzerland,2023,
Coastal water excellent - number,Cyprus,2011,111.0
Coastal water excellent - number,Cyprus,2012,112.0
Coastal water excellent - number,Cyprus,2013,112.0
Coastal water excellent - number,Cyprus,2014,112.0
Coastal water excellent - number,Cyprus,2015,112.0
Coastal water excellent - number,Cyprus,2016,112.0
Coastal water excellent - number,Cyprus,2017,110.0
Coastal water excellent - number,Cyprus,2018,112.0
Coastal water excellent - number,Cyprus,2019,112.0
Coastal water excellent - number,Cyprus,2020,112.0
Coastal water excellent - number,Cyprus,2021,112.0
Coastal water excellent - number,Cyprus,2022,119.0
Coastal water excellent - number,Cyprus,2023,120.0
Coastal water excellent - number,Czechia,2011,
Coastal water excellent - number,Czechia,2012,
Coastal water excellent - number,Czechia,2013,
Coastal water excellent - number,Czechia,2014,
Coastal water excellent - number,Czechia,2015,
Coastal water excellent - number,Czechia,2016,
Coastal water excellent - number,Czechia,2017,
Coastal water excellent - number,Czechia,2018,
Coastal water excellent - number,Czechia,2019,
Coastal water excellent - number,Czechia,2020,
Coastal water excellent - number,Czechia,2021,
Coastal water excellent - number,Czechia,2022,
Coastal water excellent - number,Czechia,2023,
Coastal water excellent - number,Germany,2011,280.0
Coastal water excellent - number,Germany,2012,291.0
Coastal water excellent - number,Germany,2013,290.0
Coastal water excellent - number,Germany,2014,286.0
Coastal water excellent - number,Germany,2015,280.0
Coastal water excellent - number,Germany,2016,295.0
Coastal water excellent - number,Germany,2017,303.0
Coastal water excellent - number,Germany,2018,313.0
Coastal water excellent - number,Germany,2019,318.0
Coastal water excellent - number,Germany,2020,303.0
Coastal water excellent - number,Germany,2021,307.0
Coastal water excellent - number,Germany,2022,313.0
Coastal water excellent - number,Germany,2023,317.0
Coastal water excellent - number,Denmark,2011,657.0
Coastal water excellent - number,Denmark,2012,692.0
Coastal water excellent - number,Denmark,2013,694.0
Coastal water excellent - number,Denmark,2014,709.0
Coastal water excellent - number,Denmark,2015,776.0
Coastal water excellent - number,Denmark,2016,785.0
Coastal water excellent - number,Denmark,2017,786.0
Coastal water excellent - number,Denmark,2018,790.0
Coastal water excellent - number,Denmark,2019,793.0
Coastal water excellent - number,Denmark,2020,819.0
Coastal water excellent - number,Denmark,2021,830.0
Coastal water excellent - number,Denmark,2022,861.0
Coastal water excellent - number,Denmark,2023,864.0
Coastal water excellent - number,Estonia,2011,13.0
Coastal water excellent - number,Estonia,2012,11.0
Coastal water excellent - number,Estonia,2013,11.0
Coastal water excellent - number,Estonia,2014,10.0
Coastal water excellent - number,Estonia,2015,11.0
Coastal water excellent - number,Estonia,2016,14.0
Coastal water excellent - number,Estonia,2017,14.0
Coastal water excellent - number,Estonia,2018,15.0
Coastal water excellent - number,Estonia,2019,14.0
Coastal water excellent - number,Estonia,2020,14.0
Coastal water excellent - number,Estonia,2021,16.0
Coastal water excellent - number,Estonia,2022,13.0
Coastal water excellent - number,Estonia,2023,14.0
Coastal water excellent - number,Greece,2011,2035.0
