areaprot,unit,country,year,value
Terrestrial protected area,Square kilometre,Austria,2021,24510.0
Terrestrial protected area,Square kilometre,Austria,2022,24603.0
Terrestrial protected area,Square kilometre,Belgium,2021,4505.0
Terrestrial protected area,Square kilometre,Belgium,2022,4524.0
Terrestrial protected area,Square kilometre,Bulgaria,2021,45460.0
Terrestrial protected area,Square kilometre,Bulgaria,2022,45465.0
Terrestrial protected area,Square kilometre,Cyprus,2021,3491.0
Terrestrial protected area,Square kilometre,Cyprus,2022,3502.0
Terrestrial protected area,Square kilometre,Czechia,2021,17259.0
Terrestrial protected area,Square kilometre,Czechia,2022,17257.0
Terrestrial protected area,Square kilometre,Germany,2021,133708.0
Terrestrial protected area,Square kilometre,Germany,2022,137704.0
Terrestrial protected area,Square kilometre,Denmark,2021,6435.0
Terrestrial protected area,Square kilometre,Denmark,2022,6506.0
Terrestrial protected area,Square kilometre,Estonia,2021,9481.0
Terrestrial protected area,Square kilometre,Estonia,2022,9522.0
Terrestrial protected area,Square kilometre,Greece,2021,46063.0
Terrestrial protected area,Square kilometre,Greece,2022,45721.0
Terrestrial protected area,Square kilometre,Spain,2021,141623.0
Terrestrial protected area,Square kilometre,Spain,2022,142152.0
Terrestrial protected area,Square kilometre,European Union - 27 countries (from 2020),2011,1003558.0
Terrestrial protected area,Square kilometre,European Union - 27 countries (from 2020),2012,1020306.0
Terrestrial protected area,Square kilometre,European Union - 27 countries (from 2020),2013,1027027.0
Terrestrial protected area,Square kilometre,European Union - 27 countries (from 2020),2014,1032320.0
Terrestrial protected area,Square kilometre,European Union - 27 countries (from 2020),2015,1037902.0
Terrestrial protected area,Square kilometre,European Union - 27 countries (from 2020),2016,1042645.0
Terrestrial protected area,Square kilometre,European Union - 27 countries (from 2020),2017,1054661.0
Terrestrial protected area,Square kilometre,European Union - 27 countries (from 2020),2018,1064348.0
Terrestrial protected area,Square kilometre,European Union - 27 countries (from 2020),2019,1073237.0
Terrestrial protected area,Square kilometre,European Union - 27 countries (from 2020),2020,1076628.0
Terrestrial protected area,Square kilometre,European Union - 27 countries (from 2020),2021,1075959.0
Terrestrial protected area,Square kilometre,European Union - 27 countries (from 2020),2022,1079412.0
Terrestrial protected area,Square kilometre,Finland,2021,44777.0
Terrestrial protected area,Square kilometre,Finland,2022,45053.0
Terrestrial protected area,Square kilometre,France,2021,153906.0
Terrestrial protected area,Square kilometre,France,2022,154571.0
Terrestrial protected area,Square kilometre,Croatia,2021,21523.0
Terrestrial protected area,Square kilometre,Croatia,2022,21530.0
Terrestrial protected area,Square kilometre,Hungary,2021,20688.0
Terrestrial protected area,Square kilometre,Hungary,2022,20688.0
Terrestrial protected area,Square kilometre,Ireland,2021,9711.0
Terrestrial protected area,Square kilometre,Ireland,2022,9757.0
Terrestrial protected area,Square kilometre,Italy,2021,64429.0
Terrestrial protected area,Square kilometre,Italy,2022,64413.0
Terrestrial protected area,Square kilometre,Lithuania,2021,11130.0
Terrestrial protected area,Square kilometre,Lithuania,2022,11534.0
Terrestrial protected area,Square kilometre,Luxembourg,2021,1448.0
Terrestrial protected area,Square kilometre,Luxembourg,2022,984.0
Terrestrial protected area,Square kilometre,Latvia,2021,11725.0
Terrestrial protected area,Square kilometre,Latvia,2022,11723.0
Terrestrial protected area,Square kilometre,Malta,2021,92.0
Terrestrial protected area,Square kilometre,Malta,2022,91.0
Terrestrial protected area,Square kilometre,Netherlands,2021,9915.0
Terrestrial protected area,Square kilometre,Netherlands,2022,8501.0
Terrestrial protected area,Square kilometre,Poland,2021,123545.0
Terrestrial protected area,Square kilometre,Poland,2022,123491.0
Terrestrial protected area,Square kilometre,Portugal,2021,20547.0
Terrestrial protected area,Square kilometre,Portugal,2022,20561.0
Terrestrial protected area,Square kilometre,Romania,2021,55890.0
Terrestrial protected area,Square kilometre,Romania,2022,55901.0
Terrestrial protected area,Square kilometre,Sweden,2021,67521.0
Terrestrial protected area,Square kilometre,Sweden,2022,67126.0
Terrestrial protected area,Square kilometre,Slovenia,2021,8210.0
Terrestrial protected area,Square kilometre,Slovenia,2022,8212.0
Terrestrial protected area,Square kilometre,Slovakia,2021,18351.0
Terrestrial protected area,Square kilometre,Slovakia,2022,18321.0
Terrestrial protected area,Percentage,Austria,2021,29.2
Terrestrial protected area,Percentage,Austria,2022,29.3
Terrestrial protected area,Percentage,Belgium,2021,14.7
Terrestrial protected area,Percentage,Belgium,2022,14.7
Terrestrial protected area,Percentage,Bulgaria,2021,41.0
Terrestrial protected area,Percentage,Bulgaria,2022,41.0
Terrestrial protected area,Percentage,Cyprus,2021,37.7
