indicator,country,unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,sector,2008_z,2009_z,2010_z,2011_z,2012_z,2013_z,2014_z,2015_z,2016_z,2017_z,2018_z,2019_z,2020_z,2021_z,2022_z,2023_z
Air_emission_intensity_from_industry,Austria,"Grams per euro, chain linked volumes (2010)",0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,,Industrial processes,-0.94,-0.95,-0.9,-0.93,-0.97,-0.98,-0.99,-0.99,-0.99,-0.98,-0.99,-0.99,-0.99,-0.99,-0.99,
Air_emission_intensity_from_industry,Belgium,"Grams per euro, chain linked volumes (2010)",0.16,0.09,0.11,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.07,0.08,0.06,,Industrial processes,-0.73,-0.89,-0.75,-0.87,-0.91,-0.93,-0.94,-0.94,-0.94,-0.93,-0.93,-0.95,-0.95,-0.94,-0.96,
Air_emission_intensity_from_industry,Bulgaria,"Grams per euro, chain linked volumes (2010)",0.68,0.31,0.29,0.33,0.29,0.3,0.33,0.32,0.3,0.3,0.28,0.26,0.29,0.34,0.29,,Industrial processes,0.26,-0.55,-0.29,-0.48,-0.7,-0.68,-0.68,-0.68,-0.72,-0.67,-0.7,-0.73,-0.77,-0.72,-0.75,
Air_emission_intensity_from_industry,Croatia,"Grams per euro, chain linked volumes (2010)",0.26,0.28,0.3,0.26,0.27,0.27,0.24,0.23,0.2,0.2,0.19,0.19,0.19,0.15,0.11,,Industrial processes,-0.54,-0.6,-0.27,-0.59,-0.72,-0.72,-0.78,-0.78,-0.82,-0.79,-0.8,-0.81,-0.85,-0.88,-0.91,
Air_emission_intensity_from_industry,Cyprus,"Grams per euro, chain linked volumes (2010)",0.55,0.49,0.46,0.4,0.13,0.17,0.21,0.19,0.17,0.18,0.17,0.17,0.19,0.22,0.24,,Industrial processes,0.01,-0.27,0.14,-0.37,-0.87,-0.83,-0.81,-0.82,-0.85,-0.81,-0.82,-0.83,-0.85,-0.82,-0.79,
Air_emission_intensity_from_industry,Czech Republic,"Grams per euro, chain linked volumes (2010)",0.12,0.11,0.1,0.08,0.07,0.07,0.07,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,,Industrial processes,-0.81,-0.86,-0.77,-0.89,-0.94,-0.94,-0.95,-0.97,-0.97,-0.97,-0.97,-0.98,-0.98,-0.98,-0.98,
Air_emission_intensity_from_industry,Denmark,"Grams per euro, chain linked volumes (2010)",0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,Industrial processes,-0.98,-0.98,-0.95,-0.97,-0.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
Air_emission_intensity_from_industry,EU,"Grams per euro, chain linked volumes (2010)",0.234074074074074,0.2192592592592593,0.197037037037037,0.1962962962962963,0.2055555555555555,0.2018518518518518,0.2162962962962963,0.1977777777777777,0.1966666666666666,0.1848148148148148,0.177037037037037,0.1707407407407407,0.1951851851851851,0.1866666666666666,0.1777777777777777,0.055,Industrial processes,-0.59,-0.69,-0.53,-0.7,-0.79,-0.79,-0.8,-0.81,-0.82,-0.8,-0.82,-0.83,-0.85,-0.85,-0.85,-0.0
Air_emission_intensity_from_industry,Estonia,"Grams per euro, chain linked volumes (2010)",0.57,0.53,0.61,0.48,0.43,0.43,0.55,0.3,0.38,0.37,0.28,0.18,0.21,0.12,0.14,,Industrial processes,0.05,-0.21,0.52,-0.24,-0.55,-0.53,-0.46,-0.71,-0.64,-0.59,-0.7,-0.82,-0.84,-0.91,-0.88,
Air_emission_intensity_from_industry,Finland,"Grams per euro, chain linked volumes (2010)",0.12,0.11,0.13,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.07,0.07,0.06,0.06,,Industrial processes,-0.81,-0.86,-0.7,-0.84,-0.89,-0.91,-0.92,-0.92,-0.92,-0.91,-0.91,-0.94,-0.95,-0.96,-0.96,
Air_emission_intensity_from_industry,France,"Grams per euro, chain linked volumes (2010)",0.11,0.11,0.12,0.09,0.09,0.1,0.09,0.09,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.07,Industrial processes,-0.83,-0.86,-0.72,-0.87,-0.91,-0.91,-0.93,-0.93,-0.92,-0.91,-0.91,-0.93,-0.94,-0.94,-0.94,1.0
