indicator,country,unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,sector,2000_z,2001_z,2002_z,2003_z,2004_z,2005_z,2006_z,2007_z,2008_z,2009_z,2010_z,2011_z,2012_z,2013_z,2014_z,2015_z,2016_z,2017_z,2018_z,2019_z,2020_z,2021_z,2022_z,title
Biochemical_oxygen_demand_in_rivers,Austria,Milligrams per litre,2.31,1.79,2.84,2.2,2.48,1.75,1.83,1.7,1.58,1.45,2.4,2.33,2.2,2.08,1.95,1.88,1.81,1.73,1.58,1.43,1.28,1.13,2.14,Other sectors,-0.62,-0.82,-0.11,-0.54,-0.41,-0.77,-0.61,-0.81,-0.76,-0.8,-0.25,-0.21,-0.33,-0.28,-0.39,-0.46,-0.45,-0.41,-0.48,-0.54,-0.63,-0.76,-0.1,River BOD
Biochemical_oxygen_demand_in_rivers,Belgium,Milligrams per litre,2.75,2.36,2.33,2.6,2.4,2.29,2.61,2.97,2.86,3.2,2.74,2.53,2.53,2.32,2.48,2.91,2.56,2.56,2.65,2.27,2.25,1.95,2.43,Other sectors,-0.38,-0.53,-0.39,-0.33,-0.45,-0.49,-0.2,-0.18,-0.14,0.06,-0.08,-0.09,-0.15,-0.14,-0.1,0.08,-0.05,0.12,0.33,0.07,0.06,-0.21,0.09,River BOD
Biochemical_oxygen_demand_in_rivers,Bulgaria,Milligrams per litre,4.9,4.95,4.62,4.19,3.79,4.17,4.34,4.52,3.56,3.9,3.09,2.98,3.04,2.89,2.76,2.89,2.48,3.11,2.39,2.65,3.19,2.89,2.59,Other sectors,0.75,0.78,0.88,0.51,0.32,0.49,0.72,0.6,0.2,0.4,0.1,0.17,0.12,0.2,0.05,0.07,-0.09,0.47,0.13,0.35,0.72,0.43,0.19,River BOD
Biochemical_oxygen_demand_in_rivers,Croatia,Milligrams per litre,2.7,2.7,2.7,2.7,2.23,1.98,1.76,1.32,1.52,1.41,1.54,1.51,1.76,2.05,1.72,1.54,1.22,1.35,1.49,1.26,1.47,1.69,1.35,Other sectors,-0.41,-0.36,-0.19,-0.28,-0.55,-0.65,-0.65,-1.0,-0.79,-0.82,-0.7,-0.69,-0.57,-0.3,-0.51,-0.63,-0.77,-0.65,-0.54,-0.67,-0.49,-0.38,-0.62,River BOD
Biochemical_oxygen_demand_in_rivers,Cyprus,Milligrams per litre,2.13,2.33,2.54,2.75,2.06,1.78,2.37,3.29,4.42,2.75,2.7,3.94,2.97,1.9,4.52,2.0,2.38,3.5,2.29,1.23,1.2,2.41,1.41,Other sectors,-0.71,-0.55,-0.28,-0.25,-0.64,-0.76,-0.32,-0.02,0.62,-0.16,-0.1,0.73,0.08,-0.39,1.0,-0.39,-0.15,0.72,0.06,-0.69,-0.68,0.11,-0.58,River BOD
Biochemical_oxygen_demand_in_rivers,Czech Republic,Milligrams per litre,3.7,3.46,3.72,4.83,3.98,3.52,3.04,3.09,2.86,2.54,2.53,2.72,2.75,2.71,2.71,2.8,2.67,2.74,2.74,2.49,2.58,2.64,2.64,Other sectors,0.12,0.03,0.38,0.85,0.42,0.15,0.03,-0.12,-0.14,-0.26,-0.19,0.02,-0.04,0.09,0.02,0.02,0.01,0.23,0.39,0.23,0.29,0.26,0.23,River BOD
Biochemical_oxygen_demand_in_rivers,EU,Milligrams per litre,2.9458823529411764,2.9205882352941175,3.064117647058824,3.0564705882352943,2.791764705882353,2.68,2.504705882352941,2.53,2.4735294117647055,2.3376470588235296,2.3458823529411768,2.4047058823529412,2.3970588235294117,2.2958823529411765,2.3705882352941177,2.338823529411765,2.2335294117647058,2.271176470588235,2.1094117647058823,1.9605882352941175,2.0623529411764707,2.0858823529411765,2.0476470588235296,Other sectors,-0.28,-0.25,0.01,-0.09,-0.23,-0.29,-0.25,-0.4,-0.33,-0.36,-0.28,-0.17,-0.23,-0.15,-0.16,-0.22,-0.23,-0.07,-0.08,-0.16,-0.08,-0.11,-0.16,River BOD
Biochemical_oxygen_demand_in_rivers,Estonia,Milligrams per litre,1.58,1.64,1.61,1.61,1.57,1.58,1.81,1.63,1.68,1.7,1.56,1.74,1.47,1.63,1.73,1.73,1.81,1.75,1.53,1.56,1.6,1.64,1.68,Other sectors,-1.0,-0.9,-0.79,-0.85,-0.91,-0.86,-0.62,-0.85,-0.71,-0.68,-0.69,-0.55,-0.73,-0.55,-0.51,-0.54,-0.45,-0.4,-0.51,-0.45,-0.4,-0.42,-0.41,River BOD
Biochemical_oxygen_demand_in_rivers,Finland,Milligrams per litre,2.49,2.56,2.96,2.9,2.36,3.02,2.22,1.98,2.13,1.88,2.07,2.6,2.66,1.98,1.52,1.91,2.06,2.2,1.72,1.37,1.72,1.57,1.57,Other sectors,-0.52,-0.43,-0.04,-0.17,-0.47,-0.11,-0.4,-0.67,-0.49,-0.59,-0.42,-0.05,-0.08,-0.34,-0.62,-0.44,-0.32,-0.11,-0.37,-0.59,-0.32,-0.46,-0.48,River BOD
Biochemical_oxygen_demand_in_rivers,Ireland,Milligrams per litre,1.61,1.44,1.24,1.33,1.41,1.31,1.33,1.34,1.08,1.24,1.35,1.49,1.47,1.39,1.14,1.16,1.03,1.07,1.09,1.14,1.26,1.11,1.16,Other sectors,-0.98,-1.0,-1.0,-1.0,-1.0,-1.0,-0.88,-0.99,-1.0,-0.9,-0.8,-0.7,-0.73,-0.69,-0.83,-0.83,-0.87,-0.83,-0.84,-0.75,-0.64,-0.78,-0.75,River BOD
