indicator,country,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,sector,2010_z,2011_z,2012_z,2013_z,2014_z,2015_z,2016_z,2017_z,2018_z,2019_z,2020_z,2021_z,2022_z,title
Consumption_footprint,Austria,Planetary Boundary,3.43,3.44,3.36,3.37,3.36,3.38,3.4,3.35,3.36,3.35,3.25,3.31,3.35,Energy consumption,0.01,0.01,-0.04,-0.02,-0.08,-0.08,-0.04,-0.16,-0.14,-0.09,-0.08,-0.16,-0.18,Consumption Footprint
Consumption_footprint,Belgium,Planetary Boundary,3.62,3.66,3.57,3.65,3.71,3.68,3.59,3.74,3.63,3.74,3.56,3.63,3.52,Energy consumption,0.14,0.16,0.11,0.18,0.16,0.14,0.11,0.13,0.07,0.24,0.2,0.12,-0.03,Consumption Footprint
Consumption_footprint,Bulgaria,Planetary Boundary,1.93,1.94,1.97,1.99,2.05,2.16,2.19,2.21,2.29,2.38,2.24,2.36,2.59,Energy consumption,-1.0,-1.0,-1.0,-1.0,-1.0,-0.99,-1.0,-1.0,-0.96,-0.9,-1.0,-0.98,-0.84,Consumption Footprint
Consumption_footprint,Croatia,Planetary Boundary,2.44,2.44,2.48,2.47,2.51,2.6,2.7,2.81,2.91,2.89,2.76,3.0,3.16,Energy consumption,-0.66,-0.66,-0.65,-0.66,-0.68,-0.66,-0.6,-0.56,-0.48,-0.47,-0.53,-0.43,-0.34,Consumption Footprint
Consumption_footprint,Cyprus,Planetary Boundary,3.76,3.72,3.69,3.58,3.66,3.73,3.85,3.94,3.95,3.94,3.45,3.63,3.86,Energy consumption,0.23,0.2,0.19,0.13,0.13,0.18,0.32,0.27,0.32,0.41,0.1,0.12,0.27,Consumption Footprint
Consumption_footprint,Czech Republic,Planetary Boundary,2.87,2.91,2.74,2.72,2.72,2.81,2.9,2.95,3.0,3.02,2.89,3.17,3.23,Energy consumption,-0.37,-0.34,-0.47,-0.48,-0.53,-0.5,-0.44,-0.46,-0.41,-0.36,-0.41,-0.28,-0.28,Consumption Footprint
Consumption_footprint,Denmark,Planetary Boundary,3.95,3.96,4.06,4.03,4.16,4.22,4.22,4.22,4.2,4.29,4.14,4.1,4.24,Energy consumption,0.36,0.36,0.45,0.45,0.48,0.54,0.61,0.48,0.51,0.7,0.73,0.53,0.6,Consumption Footprint
Consumption_footprint,EU,Planetary Boundary,3.234444444444445,3.220740740740741,3.1918518518518515,3.187037037037037,3.2222222222222223,3.2518518518518515,3.3014814814814817,3.3596296296296293,3.3803703703703696,3.391111111111112,3.19074074074074,3.268148148148148,3.395555555555555,Energy consumption,-0.12,-0.13,-0.15,-0.15,-0.18,-0.18,-0.12,-0.15,-0.12,-0.05,-0.14,-0.19,-0.14,Consumption Footprint
Consumption_footprint,Estonia,Planetary Boundary,3.24,3.2,3.08,3.11,3.18,3.25,3.46,3.5,3.42,3.52,3.32,3.29,3.34,Energy consumption,-0.12,-0.15,-0.23,-0.2,-0.21,-0.18,0.01,-0.05,-0.09,0.05,-0.02,-0.17,-0.19,Consumption Footprint
Consumption_footprint,Finland,Planetary Boundary,4.15,4.09,4.18,4.15,4.12,4.06,4.1,3.98,4.03,3.98,3.78,3.85,3.96,Energy consumption,0.49,0.45,0.53,0.54,0.45,0.42,0.52,0.3,0.38,0.44,0.4,0.31,0.35,Consumption Footprint
