indicator,country,unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,sector,2000_z,2001_z,2002_z,2003_z,2004_z,2005_z,2006_z,2007_z,2008_z,2009_z,2010_z,2011_z,2012_z,2013_z,2014_z,2015_z,2016_z,2017_z,2018_z,2019_z,2020_z,2021_z,2022_z,2023_z
Drought_impact_area_on_ecosystems,Austria,Square kilometre,4671.0,6203.0,2850.0,23665.0,1183.0,420.0,579.0,2880.0,25.0,75.0,1045.0,1133.0,2352.0,4.0,25.0,4521.0,125.0,2400.0,5785.0,1920.0,214.0,2203.0,7919.0,59.0,LULUCF,-0.83,-0.75,-0.78,-0.5,-0.41,-0.99,-0.97,-0.67,-1.0,-1.0,-0.65,-0.96,-0.97,-1.0,-1.0,-0.84,-0.99,-0.9,-0.84,-0.94,-0.99,-0.88,-0.93,-1.0
Drought_impact_area_on_ecosystems,Belgium,Square kilometre,0.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2263.0,0.0,79.0,3.0,0.0,0.0,2574.0,3530.0,1427.0,11740.0,2.0,17350.0,0.0,LULUCF,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.93,-1.0,-0.93,-1.0,-1.0,-1.0,-0.9,-0.9,-0.95,-0.57,-1.0,-0.86,-1.0
Drought_impact_area_on_ecosystems,Bulgaria,Square kilometre,56150.0,48896.0,9231.0,13737.0,280.0,0.0,0.0,10138.0,383.0,2406.0,1.0,253.0,1844.0,164.0,2.0,7.0,9.0,3309.0,20.0,141.0,10265.0,886.0,3919.0,2741.0,LULUCF,1.0,1.0,-0.3,-0.71,-0.86,-1.0,-1.0,0.18,-0.94,-0.87,-1.0,-0.99,-0.98,-0.85,-1.0,-1.0,-1.0,-0.87,-1.0,-1.0,-0.62,-0.95,-0.97,-0.84
Drought_impact_area_on_ecosystems,Croatia,Square kilometre,6305.0,16.0,60.0,18516.0,0.0,0.0,0.0,224.0,2.0,62.0,0.0,3741.0,18344.0,0.0,2.0,472.0,0.0,4637.0,14.0,37.0,1073.0,1725.0,17779.0,31.0,LULUCF,-0.78,-1.0,-1.0,-0.61,-1.0,-1.0,-1.0,-0.97,-1.0,-1.0,-1.0,-0.88,-0.77,-1.0,-1.0,-0.98,-1.0,-0.81,-1.0,-1.0,-0.96,-0.91,-0.85,-1.0
Drought_impact_area_on_ecosystems,Cyprus,Square kilometre,56.0,0.0,0.0,0.0,0.0,0.0,50.0,5.0,3712.0,0.0,0.0,7.0,0.0,0.0,4437.0,0.0,4214.0,488.0,593.0,0.0,2.0,573.0,251.0,63.0,LULUCF,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.39,-1.0,-1.0,-1.0,-1.0,-1.0,-0.47,-1.0,-0.63,-0.98,-0.98,-1.0,-1.0,-0.97,-1.0,-1.0
Drought_impact_area_on_ecosystems,Czech Republic,Square kilometre,7910.0,2080.0,2400.0,17145.0,2265.0,9.0,35.0,3575.0,7.0,5.0,2.0,28.0,4356.0,0.0,168.0,4806.0,15.0,3893.0,20717.0,7975.0,1366.0,24.0,4587.0,212.0,LULUCF,-0.72,-0.91,-0.82,-0.63,0.12,-1.0,-1.0,-0.58,-1.0,-1.0,-1.0,-1.0,-0.94,-1.0,-0.98,-0.83,-1.0,-0.84,-0.41,-0.75,-0.95,-1.0,-0.96,-0.99
Drought_impact_area_on_ecosystems,Denmark,Square kilometre,104.0,3.0,0.0,164.0,291.0,185.0,156.0,0.0,577.0,615.0,11.0,85.0,28.0,621.0,42.0,0.0,8.0,4.0,19698.0,1347.0,337.0,513.0,3657.0,733.0,LULUCF,-1.0,-1.0,-1.0,-1.0,-0.86,-1.0,-0.99,-1.0,-0.9,-0.97,-1.0,-1.0,-1.0,-0.45,-0.99,-1.0,-1.0,-1.0,-0.44,-0.96,-0.99,-0.97,-0.97,-0.96
Drought_impact_area_on_ecosystems,EU,Square kilometre,6749.444444444444,3616.8888888888887,4045.8888888888887,14362.703703703704,664.0370370370371,8367.62962962963,4709.2962962962965,2638.703703703704,1322.0,2591.6296296296296,793.4444444444445,3800.3333333333335,13936.074074074077,267.962962962963,1207.5555555555557,3803.296296296296,2403.222222222222,5772.888888888889,10076.592592592591,11285.555555555557,7426.851851851852,4107.666666666667,24027.74074074074,5314.851851851852,LULUCF,-0.76,-0.85,-0.69,-0.69,-0.67,-0.89,-0.75,-0.69,-0.78,-0.86,-0.74,-0.88,-0.82,-0.76,-0.86,-0.86,-0.79,-0.77,-0.71,-0.64,-0.73,-0.77,-0.8,-0.69
Drought_impact_area_on_ecosystems,Estonia,Square kilometre,103.0,0.0,4220.0,1221.0,0.0,0.0,31571.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,153.0,143.0,165.0,13593.0,3388.0,0.0,3919.0,2044.0,6721.0,LULUCF,-1.0,-1.0,-0.68,-0.97,-1.0,-1.0,0.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.99,-0.99,-0.99,-0.61,-0.89,-1.0,-0.79,-0.98,-0.61
Drought_impact_area_on_ecosystems,Finland,Square kilometre,0.0,0.0,5592.0,23512.0,127.0,21.0,37923.0,95.0,0.0,1379.0,997.0,4687.0,26.0,265.0,2849.0,936.0,485.0,1593.0,25981.0,20552.0,8763.0,36498.0,4081.0,6378.0,LULUCF,-1.0,-1.0,-0.58,-0.5,-0.94,-1.0,1.0,-0.99,-1.0,-0.93,-0.67,-0.85,-1.0,-0.76,-0.66,-0.97,-0.96,-0.94,-0.26,-0.34,-0.68,1.0,-0.97,-0.63
