indicator,country,unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Energy_productivity,Austria,Euro per kilogram of oil equivalent (KGOE),8.63,8.29,8.37,8.04,8.14,8.01,8.2,8.65,8.71,8.85,8.44,8.94,9.03,8.9,9.29,9.19,9.26,9.3,9.75,9.71,9.78,9.69,10.7,10.93
Energy_productivity,Belgium,Euro per kilogram of oil equivalent (KGOE),4.73,4.83,4.96,4.77,4.9,5.05,5.18,5.37,5.22,5.56,5.32,5.84,6.15,5.94,6.42,6.46,6.16,6.17,6.28,6.41,6.78,6.47,7.24,7.84
Energy_productivity,Bulgaria,Euro per kilogram of oil equivalent (KGOE),1.31,1.3,1.41,1.44,1.58,1.6,1.66,1.8,1.94,2.12,2.13,2.03,2.13,2.28,2.2,2.18,2.29,2.28,2.34,2.46,2.51,2.48,2.55,2.94
Energy_productivity,Croatia,Euro per kilogram of oil equivalent (KGOE),4.18,4.14,4.29,4.23,4.4,4.51,4.77,4.82,5.03,4.87,4.85,4.95,5.15,5.24,5.47,5.36,5.5,5.49,5.77,5.87,5.7,6.13,6.72,6.68
Energy_productivity,Cyprus,Euro per kilogram of oil equivalent (KGOE),5.34,5.5,5.79,5.51,6.32,6.0,6.06,6.17,6.12,6.21,6.61,6.72,6.9,7.22,6.99,7.04,6.94,7.14,7.39,7.82,8.59,9.19,9.19,9.48
Energy_productivity,Czech Republic,Euro per kilogram of oil equivalent (KGOE),2.85,2.86,2.86,2.83,2.89,3.1,3.24,3.42,3.58,3.63,3.51,3.72,3.73,3.71,3.92,4.11,4.26,4.29,4.39,4.62,4.66,4.58,4.81,5.23
Energy_productivity,Denmark,Euro per kilogram of oil equivalent (KGOE),10.84,10.75,11.06,10.52,11.19,11.73,11.27,11.6,11.93,12.01,11.58,12.56,13.2,13.23,14.01,14.34,14.47,14.93,15.13,15.72,16.85,17.23,18.02,18.81
Energy_productivity,EU,Euro per kilogram of oil equivalent (KGOE),6.28,6.26,6.31,6.21,6.28,6.37,6.53,6.81,6.87,7.0,6.88,7.22,7.26,7.34,7.73,7.8,7.88,7.93,8.14,8.43,8.66,8.69,9.41,9.84
Energy_productivity,Estonia,Euro per kilogram of oil equivalent (KGOE),2.19,2.2,2.52,2.53,2.48,2.68,2.92,2.69,2.89,3.09,2.4,2.67,2.9,2.66,2.93,3.43,2.89,3.08,3.3,4.04,4.18,4.37,4.16,4.64
Energy_productivity,Finland,Euro per kilogram of oil equivalent (KGOE),4.72,4.74,4.58,4.43,4.57,5.08,4.85,5.2,5.45,5.39,5.09,5.41,5.53,5.57,5.43,5.7,5.64,5.75,5.72,5.91,6.14,6.02,6.32,6.1
