indicator,country,unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,sector,2000_z,2001_z,2002_z,2003_z,2004_z,2005_z,2006_z,2007_z,2008_z,2009_z,2010_z,2011_z,2012_z,2013_z,2014_z,2015_z,2016_z,2017_z,2018_z,2019_z,2020_z,2021_z,2022_z,2023_z,title
Gross_value_added_in_environmental_goods_and_services_sector,Austria,Percentage of gross domestic product (GDP),,,,,,,,,4.59,4.44,4.5,4.3,4.45,4.48,4.34,4.11,4.3,4.36,4.57,4.57,4.7,4.71,4.84,,Other sectors,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Environmental Value
Gross_value_added_in_environmental_goods_and_services_sector,Belgium,Percentage of gross domestic product (GDP),,,,,,,,,,,,,,,1.65,1.69,1.7,1.74,1.79,1.79,1.97,1.92,1.91,,Other sectors,,,,,,,,,,,,,,,-0.67,-0.67,-0.67,-0.58,-0.52,-0.55,-0.55,-0.66,-0.7,,Environmental Value
Gross_value_added_in_environmental_goods_and_services_sector,Bulgaria,Percentage of gross domestic product (GDP),,,,,,,,,,,,,,2.38,1.92,2.24,2.36,2.36,2.34,2.23,2.49,2.35,2.65,,Other sectors,,,,,,,,,,,,,,-0.3,-0.42,-0.19,-0.11,-0.07,-0.01,-0.15,-0.08,-0.29,-0.13,,Environmental Value
Gross_value_added_in_environmental_goods_and_services_sector,Croatia,Percentage of gross domestic product (GDP),,,,,,,,,,,,,,,1.58,1.56,1.51,1.48,1.75,1.7,1.77,1.8,1.65,,Other sectors,,,,,,,,,,,,,,,-0.73,-0.78,-0.83,-0.79,-0.55,-0.64,-0.73,-0.76,-0.9,,Environmental Value
Gross_value_added_in_environmental_goods_and_services_sector,Cyprus,Percentage of gross domestic product (GDP),,,,,,,,,,,,,,,,,,,1.93,1.91,1.76,1.82,1.74,,Other sectors,,,,,,,,,,,,,,,,,,,-0.39,-0.44,-0.73,-0.75,-0.83,,Environmental Value
Gross_value_added_in_environmental_goods_and_services_sector,Czech Republic,Percentage of gross domestic product (GDP),,,,,,,,,,,,,,,2.55,2.43,2.36,2.28,2.26,2.27,2.73,2.76,2.74,,Other sectors,,,,,,,,,,,,,,,0.17,-0.02,-0.11,-0.13,-0.08,-0.12,0.14,0.06,-0.06,,Environmental Value
Gross_value_added_in_environmental_goods_and_services_sector,Denmark,Percentage of gross domestic product (GDP),,,,,,,,,,,,,2.81,3.14,2.79,3.0,3.18,3.26,3.28,3.45,3.26,3.37,3.15,,Other sectors,,,,,,,,,,,,,0.1,0.31,0.4,0.47,0.59,0.68,0.86,0.96,0.61,0.59,0.26,,Environmental Value
Gross_value_added_in_environmental_goods_and_services_sector,EU,Percentage of gross domestic product (GDP),,1.64,1.66,1.68,1.66,1.64,1.71,1.71,2.8020000000000005,2.446,2.325714285714286,2.49,2.687272727272727,2.7533333333333334,2.3654545454545453,2.4582608695652173,2.4862500000000005,2.4396,2.348888888888889,2.398518518518518,2.5781481481481476,2.6855555555555553,2.8181481481481483,2.65,Other sectors,,,,,,,,,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,,Environmental Value
Gross_value_added_in_environmental_goods_and_services_sector,Estonia,Percentage of gross domestic product (GDP),,,,,,,,,,,,,,,3.88,4.35,4.78,4.62,4.46,4.3,4.18,4.68,4.72,,Other sectors,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Environmental Value
Gross_value_added_in_environmental_goods_and_services_sector,Finland,Percentage of gross domestic product (GDP),,,,,,,,,,,,,5.66,5.69,5.78,6.09,6.19,6.31,5.47,5.54,5.8,5.64,6.19,,Other sectors,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Environmental Value
