indicator,country,unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,sector,2000_z,2001_z,2002_z,2003_z,2004_z,2005_z,2006_z,2007_z,2008_z,2009_z,2010_z,2011_z,2012_z,2013_z,2014_z,2015_z,2016_z,2017_z,2018_z,2019_z,2020_z,2021_z,2022_z,title
Phosphate_in_rivers,Belgium,Milligrams per litre,0.269,0.243,0.247,0.317,0.3,0.282,0.228,0.192,0.16,0.227,0.215,0.217,0.16,0.166,0.173,0.188,0.169,0.215,0.192,0.22,0.197,0.148,0.206,Agriculture,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,River Phosphate
Phosphate_in_rivers,Bulgaria,Milligrams per litre,0.225,0.31,0.264,0.241,0.235,0.131,0.314,0.425,0.321,0.29,0.328,0.135,0.152,0.142,0.113,0.096,0.1,0.132,0.106,0.148,0.193,0.169,0.145,Agriculture,1.0,1.0,1.0,1.0,1.0,0.56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.4,0.52,0.86,0.48,1.0,1.0,1.0,0.94,River Phosphate
Phosphate_in_rivers,Croatia,Milligrams per litre,0.064,0.064,0.064,0.064,0.05,0.048,0.045,0.038,0.033,0.03,0.032,0.031,0.038,0.034,0.031,0.027,0.031,0.028,0.024,0.029,0.026,0.023,0.025,Agriculture,-0.5,-0.45,-0.49,-0.5,-0.55,-0.57,-0.64,-0.54,-0.65,-0.64,-0.51,-0.64,-0.6,-0.67,-0.74,-0.83,-0.73,-0.75,-0.83,-0.75,-0.77,-0.81,-0.87,River Phosphate
Phosphate_in_rivers,Czech Republic,Milligrams per litre,0.313,0.261,0.25,0.333,0.263,0.182,0.146,0.138,0.144,0.092,0.077,0.125,0.14,0.119,0.144,0.147,0.146,0.144,0.156,0.125,0.088,0.096,0.096,Agriculture,1.0,1.0,1.0,1.0,1.0,1.0,0.57,0.43,0.76,0.15,0.03,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.72,-0.01,0.26,0.2,River Phosphate
Phosphate_in_rivers,Denmark,Milligrams per litre,0.057,0.055,0.056,0.053,0.054,0.048,0.053,0.049,0.048,0.045,0.049,0.051,0.051,0.046,0.047,0.051,0.047,0.05,0.049,0.05,0.055,0.053,0.049,Agriculture,-0.57,-0.55,-0.58,-0.61,-0.51,-0.57,-0.54,-0.44,-0.46,-0.45,-0.31,-0.27,-0.4,-0.43,-0.44,-0.4,-0.44,-0.4,-0.43,-0.43,-0.41,-0.37,-0.51,River Phosphate
Phosphate_in_rivers,EU,Milligrams per litre,0.1109999999999999,0.1066666666666666,0.1061333333333333,0.116,0.1005333333333333,0.0898,0.0982,0.0940666666666666,0.0838666666666666,0.08,0.0744,0.0656666666666666,0.0769333333333333,0.0674666666666666,0.0703999999999999,0.0734666666666666,0.0712666666666666,0.0761999999999999,0.0758666666666666,0.0781333333333333,0.0889333333333333,0.0780666666666666,0.0826666666666666,Agriculture,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,River Phosphate
Phosphate_in_rivers,Estonia,Milligrams per litre,0.036,0.039,0.037,0.045,0.033,0.031,0.031,0.027,0.031,0.033,0.027,0.029,0.025,0.024,0.022,0.023,0.027,0.026,0.027,0.023,0.025,0.022,0.023,Agriculture,-0.79,-0.72,-0.81,-0.69,-0.74,-0.81,-0.8,-0.65,-0.67,-0.6,-0.57,-0.67,-0.8,-0.87,-0.91,-0.9,-0.8,-0.78,-0.78,-0.84,-0.78,-0.83,-0.9,River Phosphate
Phosphate_in_rivers,Finland,Milligrams per litre,0.019,0.02,0.014,0.017,0.017,0.018,0.016,0.015,0.017,0.018,0.015,0.016,0.017,0.012,0.011,0.016,0.016,0.016,0.011,0.013,0.016,0.015,0.015,Agriculture,-0.98,-0.92,-1.0,-0.96,-0.91,-0.98,-0.98,-0.77,-0.85,-0.79,-0.72,-0.91,-0.93,-1.0,-1.0,-1.0,-1.0,-0.93,-1.0,-1.0,-0.89,-0.93,-1.0,River Phosphate
Phosphate_in_rivers,Ireland,Milligrams per litre,0.047,0.043,0.037,0.036,0.034,0.035,0.036,0.035,0.034,0.035,0.038,0.034,0.024,0.022,0.025,0.023,0.026,0.026,0.025,0.025,0.023,0.022,0.022,Agriculture,-0.68,-0.68,-0.81,-0.77,-0.73,-0.75,-0.74,-0.57,-0.63,-0.57,-0.44,-0.58,-0.82,-0.91,-0.85,-0.9,-0.82,-0.78,-0.81,-0.81,-0.8,-0.83,-0.91,River Phosphate
Phosphate_in_rivers,Italy,Milligrams per litre,0.026,0.02,0.046,0.053,0.039,0.041,0.049,0.047,0.043,0.039,0.04,0.037,0.039,0.049,0.06,0.071,0.05,0.043,0.042,0.044,0.054,0.055,0.072,Agriculture,-0.9,-0.92,-0.7,-0.61,-0.67,-0.67,-0.59,-0.46,-0.52,-0.52,-0.42,-0.53,-0.59,-0.37,-0.19,-0.04,-0.38,-0.51,-0.54,-0.52,-0.43,-0.34,-0.16,River Phosphate
Phosphate_in_rivers,Latvia,Milligrams per litre,0.029,0.033,0.028,0.034,0.026,0.023,0.031,0.022,0.021,0.015,0.026,0.021,0.02,0.017,0.017,0.013,0.019,0.019,0.018,0.019,0.02,0.017,0.02,Agriculture,-0.87,-0.78,-0.91,-0.79,-0.81,-0.92,-0.8,-0.7,-0.8,-0.83,-0.59,-0.82,-0.88,-1.0,-1.0,-1.0,-0.94,-0.88,-0.92,-0.91,-0.84,-0.9,-0.94,River Phosphate
Phosphate_in_rivers,Lithuania,Milligrams per litre,0.118,0.094,0.141,0.093,0.07,0.129,0.155,0.051,0.082,0.086,0.055,0.053,0.044,0.067,0.051,0.08,0.064,0.086,0.121,0.113,0.278,0.204,0.159,Agriculture,0.07,-0.13,0.41,-0.22,-0.33,0.54,0.68,-0.42,-0.02,0.08,-0.23,-0.23,-0.51,-0.01,-0.36,0.12,-0.13,0.15,0.72,0.53,1.0,1.0,1.0,River Phosphate
Phosphate_in_rivers,Romania,Milligrams per litre,0.152,0.152,0.146,0.161,0.115,0.121,0.108,0.131,0.128,0.128,0.085,0.091,0.103,0.091,0.102,0.106,0.086,0.081,0.095,0.097,0.108,0.088,0.103,Agriculture,0.43,0.48,0.46,0.43,0.16,0.43,0.12,0.36,0.56,0.61,0.13,0.47,0.4,0.47,0.59,0.58,0.27,0.07,0.31,0.29,0.23,0.15,0.31,River Phosphate
