indicator,country,unit,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,sector,2005_z,2006_z,2007_z,2008_z,2009_z,2010_z,2011_z,2012_z,2013_z,2014_z,2015_z,2016_z,2017_z,2018_z,2019_z,2020_z,2021_z,2022_z,2023_z
Primary_energy_consumption,Austria,Million tonnes of oil equivalent,32.7,32.6,32.2,32.5,30.7,32.9,32.0,31.7,32.1,30.8,31.7,32.0,32.8,31.8,32.3,29.9,31.6,30.3,29.4,Energy consumption,-0.8,-0.81,-0.8,-0.8,-0.8,-0.8,-0.79,-0.8,-0.8,-0.8,-0.79,-0.79,-0.78,-0.79,-0.78,-0.78,-0.77,-0.77,-0.76
Primary_energy_consumption,Belgium,Million tonnes of oil equivalent,51.6,51.5,50.4,51.2,50.1,53.4,49.5,47.1,48.6,45.2,45.7,48.5,48.5,46.4,48.4,43.9,48.8,45.2,42.1,Energy consumption,-0.68,-0.7,-0.69,-0.69,-0.67,-0.67,-0.67,-0.69,-0.69,-0.7,-0.7,-0.68,-0.68,-0.69,-0.67,-0.67,-0.65,-0.66,-0.65
Primary_energy_consumption,Bulgaria,Million tonnes of oil equivalent,19.2,19.9,19.5,19.0,16.9,17.4,18.6,17.8,16.5,17.3,18.0,17.7,18.3,18.2,18.0,17.1,18.6,18.9,16.6,Energy consumption,-0.89,-0.89,-0.88,-0.89,-0.89,-0.9,-0.88,-0.89,-0.9,-0.89,-0.88,-0.89,-0.88,-0.88,-0.88,-0.87,-0.87,-0.86,-0.87
Primary_energy_consumption,Croatia,Million tonnes of oil equivalent,9.1,9.1,9.4,9.2,9.0,8.9,8.7,8.2,8.0,7.6,8.0,8.1,8.3,8.2,8.2,7.8,8.3,8.3,8.5,Energy consumption,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.94,-0.94,-0.94
Primary_energy_consumption,Cyprus,Million tonnes of oil equivalent,2.5,2.6,2.7,2.9,2.8,2.7,2.7,2.5,2.2,2.2,2.3,2.4,2.5,2.6,2.5,2.2,2.3,2.5,2.5,Energy consumption,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99
Primary_energy_consumption,Czech Republic,Million tonnes of oil equivalent,42.5,43.5,43.7,42.5,40.2,42.5,40.9,40.4,40.7,39.0,39.4,39.7,40.4,40.5,39.7,37.6,39.5,38.6,35.5,Energy consumption,-0.74,-0.74,-0.73,-0.74,-0.74,-0.74,-0.73,-0.74,-0.74,-0.74,-0.74,-0.74,-0.73,-0.73,-0.73,-0.72,-0.71,-0.71,-0.71
Primary_energy_consumption,Denmark,Million tonnes of oil equivalent,19.4,20.8,20.4,19.9,19.1,19.9,18.5,17.7,17.8,16.9,16.8,17.3,17.4,17.4,16.9,15.5,16.3,15.7,15.4,Energy consumption,-0.88,-0.88,-0.88,-0.88,-0.88,-0.88,-0.88,-0.89,-0.89,-0.89,-0.89,-0.89,-0.89,-0.89,-0.89,-0.89,-0.89,-0.89,-0.88
Primary_energy_consumption,EU,Million tonnes of oil equivalent,55.47777777777778,55.97777777777778,55.2,55.15555555555556,51.977777777777774,54.01481481481481,52.337037037037035,51.73703703703704,51.2925925925926,49.3,50.144444444444446,50.559259259259264,51.30370370370371,51.05555555555557,50.16296296296296,45.77037037037038,48.63703703703704,46.65925925925926,44.851851851851855,Energy consumption,-0.66,-0.67,-0.66,-0.66,-0.66,-0.66,-0.65,-0.66,-0.67,-0.67,-0.67,-0.66,-0.66,-0.65,-0.65,-0.66,-0.65,-0.65,-0.63
Primary_energy_consumption,Estonia,Million tonnes of oil equivalent,5.3,5.2,6.2,5.4,4.3,5.8,5.7,5.2,5.7,5.5,4.8,6.0,5.8,5.6,4.8,4.3,4.5,4.7,4.1,Energy consumption,-0.97,-0.97,-0.97,-0.97,-0.98,-0.97,-0.97,-0.97,-0.97,-0.97,-0.97,-0.96,-0.97,-0.97,-0.97,-0.97,-0.97,-0.97,-0.97
Primary_energy_consumption,Finland,Million tonnes of oil equivalent,33.6,36.7,36.0,34.5,32.3,35.4,34.2,33.0,32.0,32.7,31.2,32.3,32.2,32.8,32.1,29.9,31.5,30.2,31.3,Energy consumption,-0.8,-0.78,-0.78,-0.79,-0.79,-0.78,-0.78,-0.79,-0.8,-0.78,-0.79,-0.79,-0.79,-0.78,-0.78,-0.78,-0.77,-0.77,-0.74
Primary_energy_consumption,France,Million tonnes of oil equivalent,260.9,256.1,252.7,255.5,246.4,254.5,249.1,249.1,250.5,239.9,244.5,240.1,239.3,238.9,235.5,208.0,224.8,205.9,209.6,Energy consumption,0.62,0.54,0.6,0.59,0.64,0.61,0.67,0.65,0.62,0.63,0.65,0.61,0.6,0.64,0.65,0.59,0.65,0.58,0.75
Primary_energy_consumption,Germany,Million tonnes of oil equivalent,321.6,332.8,315.8,320.8,299.9,315.2,297.8,301.1,308.3,293.6,295.9,297.6,298.1,292.0,285.2,262.2,271.5,261.1,238.9,Energy consumption,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Primary_energy_consumption,Greece,Million tonnes of oil equivalent,30.3,30.3,30.3,30.5,29.4,27.2,26.7,26.5,23.4,23.3,23.4,23.1,23.2,22.6,22.3,19.2,20.3,20.9,19.9,Energy consumption,-0.82,-0.82,-0.81,-0.82,-0.81,-0.83,-0.83,-0.83,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.86,-0.86,-0.85,-0.84
Primary_energy_consumption,Hungary,Million tonnes of oil equivalent,26.3,26.0,25.4,25.2,24.0,24.6,24.4,23.1,22.4,22.0,23.3,23.7,24.5,24.5,24.6,23.9,24.9,23.9,22.1,Energy consumption,-0.84,-0.85,-0.84,-0.85,-0.85,-0.85,-0.84,-0.85,-0.86,-0.86,-0.85,-0.85,-0.84,-0.84,-0.83,-0.82,-0.82,-0.82,-0.82
Primary_energy_consumption,Ireland,Million tonnes of oil equivalent,15.0,15.1,16.0,15.7,14.9,14.7,13.6,13.7,13.0,13.2,13.9,14.7,14.6,14.6,14.7,13.5,13.8,14.3,14.1,Energy consumption,-0.91,-0.91,-0.9,-0.91,-0.91,-0.91,-0.91,-0.92,-0.92,-0.92,-0.91,-0.91,-0.91,-0.91,-0.9,-0.9,-0.9,-0.9,-0.89
Primary_energy_consumption,Italy,Million tonnes of oil equivalent,180.8,179.0,178.7,176.1,164.1,167.3,162.0,156.6,152.1,142.7,149.1,148.0,149.0,147.3,145.9,132.4,145.6,139.7,134.8,Energy consumption,0.12,0.07,0.13,0.1,0.09,0.06,0.09,0.04,-0.02,-0.03,0.01,-0.01,-0.0,0.01,0.02,0.01,0.07,0.07,0.13
Primary_energy_consumption,Latvia,Million tonnes of oil equivalent,4.5,4.7,4.8,4.6,4.4,4.6,4.3,4.4,4.4,4.4,4.3,4.3,4.5,4.7,4.6,4.3,4.5,4.3,4.3,Energy consumption,-0.98,-0.98,-0.98,-0.98,-0.98,-0.98,-0.98,-0.98,-0.98,-0.98,-0.98,-0.98,-0.98,-0.97,-0.97,-0.97,-0.97,-0.97,-0.97
Primary_energy_consumption,Lithuania,Million tonnes of oil equivalent,8.1,7.9,8.1,8.3,7.9,6.2,5.9,6.0,5.8,5.8,5.8,6.0,6.2,6.4,6.3,6.2,6.6,6.3,6.3,Energy consumption,-0.96,-0.96,-0.95,-0.95,-0.95,-0.97,-0.97,-0.97,-0.97,-0.97,-0.97,-0.96,-0.96,-0.96,-0.96,-0.96,-0.96,-0.96,-0.95
Primary_energy_consumption,Luxembourg,Million tonnes of oil equivalent,4.8,4.7,4.6,4.6,4.3,4.6,4.5,4.4,4.3,4.2,4.1,4.2,4.3,4.5,4.5,3.9,4.2,3.8,3.7,Energy consumption,-0.98,-0.98,-0.98,-0.98,-0.98,-0.98,-0.98,-0.98,-0.98,-0.98,-0.98,-0.98,-0.98,-0.97,-0.97,-0.98,-0.97,-0.98,-0.98
Primary_energy_consumption,Malta,Million tonnes of oil equivalent,0.9,0.9,1.0,1.0,0.9,0.9,0.9,1.0,0.9,0.9,0.8,0.7,0.8,0.8,0.9,0.7,0.8,0.9,0.9,Energy consumption,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Primary_energy_consumption,Netherlands,Million tonnes of oil equivalent,70.1,69.5,69.4,69.9,67.6,71.7,67.1,66.8,66.2,62.3,64.1,65.1,65.4,64.8,63.7,58.4,60.8,56.2,53.8,Energy consumption,-0.57,-0.59,-0.57,-0.57,-0.55,-0.55,-0.55,-0.56,-0.58,-0.58,-0.57,-0.57,-0.57,-0.56,-0.56,-0.56,-0.56,-0.57,-0.56
Primary_energy_consumption,Poland,Million tonnes of oil equivalent,88.0,92.3,91.9,93.1,89.5,96.6,96.6,92.8,93.4,89.5,90.1,94.8,99.1,104.1,100.2,96.8,104.0,98.6,93.6,Energy consumption,-0.46,-0.45,-0.42,-0.42,-0.41,-0.39,-0.36,-0.39,-0.4,-0.39,-0.39,-0.37,-0.34,-0.29,-0.3,-0.27,-0.24,-0.25,-0.22
Primary_energy_consumption,Portugal,Million tonnes of oil equivalent,24.9,24.0,23.9,23.6,23.6,22.7,22.0,21.0,21.0,20.7,21.7,21.8,22.8,22.7,22.1,19.5,19.5,20.8,20.7,Energy consumption,-0.85,-0.86,-0.85,-0.86,-0.85,-0.86,-0.86,-0.87,-0.87,-0.86,-0.86,-0.86,-0.85,-0.85,-0.85,-0.86,-0.86,-0.85,-0.83
Primary_energy_consumption,Romania,Million tonnes of oil equivalent,36.1,37.5,37.4,37.3,32.7,33.0,33.5,33.3,30.4,30.1,30.8,30.7,32.5,32.6,32.1,30.9,33.1,31.0,30.0,Energy consumption,-0.78,-0.78,-0.77,-0.77,-0.79,-0.8,-0.78,-0.78,-0.81,-0.8,-0.8,-0.8,-0.79,-0.78,-0.78,-0.77,-0.76,-0.77,-0.76
Primary_energy_consumption,Slovakia,Million tonnes of oil equivalent,17.4,17.2,16.4,17.0,15.5,17.4,16.6,16.3,16.4,15.2,15.8,16.0,16.8,16.3,16.0,15.2,16.4,15.4,15.5,Energy consumption,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.89,-0.9,-0.9,-0.9,-0.9,-0.9,-0.89,-0.89,-0.89,-0.89,-0.88,-0.89,-0.88
Primary_energy_consumption,Slovenia,Million tonnes of oil equivalent,7.3,7.2,7.3,7.7,6.8,7.0,7.1,6.8,6.7,6.4,6.4,6.6,6.7,6.7,6.5,6.2,6.3,6.2,5.9,Energy consumption,-0.96,-0.96,-0.96,-0.96,-0.96,-0.96,-0.96,-0.96,-0.96,-0.96,-0.96,-0.96,-0.96,-0.96,-0.96,-0.96,-0.96,-0.96,-0.96
Primary_energy_consumption,Spain,Million tonnes of oil equivalent,136.0,136.6,138.8,133.9,123.0,123.0,122.7,123.0,115.7,113.8,118.2,118.4,124.9,124.3,120.6,105.0,111.4,113.5,110.1,Energy consumption,-0.16,-0.18,-0.12,-0.17,-0.18,-0.22,-0.18,-0.19,-0.25,-0.23,-0.2,-0.21,-0.17,-0.15,-0.16,-0.2,-0.18,-0.13,-0.08
