indicator,country,unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,sector,2000_z,2001_z,2002_z,2003_z,2004_z,2005_z,2006_z,2007_z,2008_z,2009_z,2010_z,2011_z,2012_z,2013_z,2014_z,2015_z,2016_z,2017_z,2018_z,2019_z,2020_z,2021_z,2022_z,2023_z
Raw_material_consumption,Austria,Thousand tonnes,,,,,,,,,208684.864,203488.145,204453.462,217752.632,207011.509,202090.037,207635.24,202010.391,207319.862,207953.027,211706.827,209411.197,198531.671,222426.4,220901.8,199133.494,Energy consumption,,,,,,,,,-0.71,-0.7,-0.68,-0.69,-0.68,-0.69,-0.69,-0.69,-0.69,-0.69,-0.69,-0.69,-0.69,-0.66,-0.67,-0.68
Raw_material_consumption,Belgium,Thousand tonnes,,,,,,,,,172867.983,150614.176,149021.01,171234.147,156264.565,149277.231,162410.631,163773.283,158725.974,152774.44,170491.538,147316.181,149832.282,159899.1,148379.1,162610.646,Energy consumption,,,,,,,,,-0.76,-0.78,-0.77,-0.76,-0.76,-0.78,-0.76,-0.75,-0.76,-0.78,-0.75,-0.79,-0.77,-0.76,-0.78,-0.74
Raw_material_consumption,Bulgaria,Thousand tonnes,,,,,,,,,146934.7,120630.9,100368.0,106840.1,109409.1,111965.3,113324.9,114851.3,113439.4,103869.7,123141.2,137008.8,135304.9,139843.5,155491.0,136393.046,Energy consumption,,,,,,,,,-0.8,-0.83,-0.85,-0.85,-0.84,-0.83,-0.83,-0.83,-0.83,-0.85,-0.82,-0.8,-0.79,-0.79,-0.77,-0.78
Raw_material_consumption,Croatia,Thousand tonnes,,,,,,,,,91093.12,69847.23,56294.24,57548.47,52503.83,54943.61,51594.74,53632.15,52909.41,55246.38,54727.37,56522.87,53440.05,55448.85,55470.77,57930.489,Energy consumption,,,,,,,,,-0.88,-0.9,-0.92,-0.92,-0.93,-0.92,-0.93,-0.92,-0.93,-0.92,-0.93,-0.92,-0.92,-0.92,-0.92,-0.91
Raw_material_consumption,Cyprus,Thousand tonnes,,,,,,,,,32544.485,28742.131,25815.191,24507.364,17878.275,13162.688,12901.977,13022.14,14448.652,17360.026,16851.307,18084.058,17450.64,18596.918,19042.07,19801.989,Energy consumption,,,,,,,,,-0.96,-0.97,-0.97,-0.97,-0.98,-0.99,-0.99,-0.99,-0.99,-0.98,-0.98,-0.98,-0.98,-0.98,-0.98,-0.97
Raw_material_consumption,Czech Republic,Thousand tonnes,,,,,,,,,208713.57,172428.803,178084.143,181275.262,157470.833,161019.0,169886.119,179156.486,176325.799,189109.283,189527.053,185010.42,171614.732,191746.527,208123.4,202557.613,Energy consumption,,,,,,,,,-0.71,-0.75,-0.72,-0.74,-0.76,-0.76,-0.75,-0.72,-0.73,-0.72,-0.72,-0.73,-0.74,-0.71,-0.69,-0.67
Raw_material_consumption,Denmark,Thousand tonnes,,,,,,,,,158708.14,137378.575,100696.428,118637.332,126263.92,119964.608,119237.382,131298.494,133662.392,131830.372,134317.607,140923.499,131229.8,132419.8,137938.1,128161.822,Energy consumption,,,,,,,,,-0.78,-0.8,-0.85,-0.83,-0.81,-0.82,-0.82,-0.8,-0.8,-0.81,-0.81,-0.8,-0.8,-0.8,-0.8,-0.79
Raw_material_consumption,EU,Thousand tonnes,16007.6525,16741.6045,19024.649,20663.29,22321.443,24728.947,27149.9545,29027.9465,309321.5755925926,273402.47270370374,254191.65007407407,271902.059,244218.18655555553,238891.76433333333,242417.4614444444,240773.38351851847,244733.38996296297,249033.71196296293,256893.3898888889,258306.8525185185,246587.81570370367,256091.43981481477,256819.70003703705,246043.03562962968,Energy consumption,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.57,-0.59,-0.6,-0.61,-0.63,-0.64,-0.63,-0.62,-0.63,-0.63,-0.62,-0.62,-0.62,-0.61,-0.62,-0.6
Raw_material_consumption,Estonia,Thousand tonnes,,,,,,,,,36121.082,33926.182,31493.203,34833.838,35962.07,35090.695,31941.942,33472.734,32302.43,38028.487,40425.332,38050.427,37712.794,35755.396,37359.43,41237.29,Energy consumption,,,,,,,,,-0.96,-0.96,-0.96,-0.96,-0.95,-0.95,-0.96,-0.96,-0.96,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95,-0.94
Raw_material_consumption,Finland,Thousand tonnes,,,,,,,,,267638.7,204720.3,253033.4,267325.1,261502.8,293316.8,265379.5,240901.6,265774.8,249800.7,272195.9,264414.7,269733.1,270078.5,285619.2,258235.207,Energy consumption,,,,,,,,,-0.63,-0.7,-0.61,-0.62,-0.6,-0.55,-0.6,-0.62,-0.59,-0.63,-0.6,-0.61,-0.58,-0.58,-0.57,-0.58
