country,year,unit9,vehicle,bus_train
Austria,2000,Percentage,"Motor coaches, buses and trolley buses",11.0
Austria,2001,Percentage,"Motor coaches, buses and trolley buses",10.9
Austria,2002,Percentage,"Motor coaches, buses and trolley buses",10.9
Austria,2003,Percentage,"Motor coaches, buses and trolley buses",10.9
Austria,2004,Percentage,"Motor coaches, buses and trolley buses",11.0
Austria,2005,Percentage,"Motor coaches, buses and trolley buses",10.5
Austria,2006,Percentage,"Motor coaches, buses and trolley buses",10.4
Austria,2007,Percentage,"Motor coaches, buses and trolley buses",10.8
Austria,2008,Percentage,"Motor coaches, buses and trolley buses",10.6
Austria,2009,Percentage,"Motor coaches, buses and trolley buses",9.7
Austria,2010,Percentage,"Motor coaches, buses and trolley buses",9.9
Austria,2011,Percentage,"Motor coaches, buses and trolley buses",10.0
Austria,2012,Percentage,"Motor coaches, buses and trolley buses",10.0
Austria,2013,Percentage,"Motor coaches, buses and trolley buses",9.9
Austria,2014,Percentage,"Motor coaches, buses and trolley buses",9.9
Austria,2015,Percentage,"Motor coaches, buses and trolley buses",9.9
Austria,2016,Percentage,"Motor coaches, buses and trolley buses",9.9
Austria,2017,Percentage,"Motor coaches, buses and trolley buses",10.0
Austria,2018,Percentage,"Motor coaches, buses and trolley buses",9.5
Austria,2019,Percentage,"Motor coaches, buses and trolley buses",9.7
Austria,2020,Percentage,"Motor coaches, buses and trolley buses",9.0
Austria,2021,Percentage,"Motor coaches, buses and trolley buses",9.1
Austria,2022,Percentage,"Motor coaches, buses and trolley buses",8.4
Belgium,2000,Percentage,"Motor coaches, buses and trolley buses",10.8
Belgium,2001,Percentage,"Motor coaches, buses and trolley buses",11.0
Belgium,2002,Percentage,"Motor coaches, buses and trolley buses",11.7
Belgium,2003,Percentage,"Motor coaches, buses and trolley buses",13.0
Belgium,2004,Percentage,"Motor coaches, buses and trolley buses",13.2
Belgium,2005,Percentage,"Motor coaches, buses and trolley buses",13.0
Belgium,2006,Percentage,"Motor coaches, buses and trolley buses",13.2
Belgium,2007,Percentage,"Motor coaches, buses and trolley buses",14.3
Belgium,2008,Percentage,"Motor coaches, buses and trolley buses",14.4
Belgium,2009,Percentage,"Motor coaches, buses and trolley buses",13.3
Belgium,2010,Percentage,"Motor coaches, buses and trolley buses",12.3
Belgium,2011,Percentage,"Motor coaches, buses and trolley buses",12.8
Belgium,2012,Percentage,"Motor coaches, buses and trolley buses",12.5
Belgium,2013,Percentage,"Motor coaches, buses and trolley buses",15.2
Belgium,2014,Percentage,"Motor coaches, buses and trolley buses",11.5
Belgium,2015,Percentage,"Motor coaches, buses and trolley buses",11.0
Belgium,2016,Percentage,"Motor coaches, buses and trolley buses",10.5
Belgium,2017,Percentage,"Motor coaches, buses and trolley buses",10.2
Belgium,2018,Percentage,"Motor coaches, buses and trolley buses",10.3
Belgium,2019,Percentage,"Motor coaches, buses and trolley buses",10.4
Belgium,2020,Percentage,"Motor coaches, buses and trolley buses",8.2
Belgium,2021,Percentage,"Motor coaches, buses and trolley buses",8.2
Belgium,2022,Percentage,"Motor coaches, buses and trolley buses",9.7
Bulgaria,2000,Percentage,"Motor coaches, buses and trolley buses",31.4
Bulgaria,2001,Percentage,"Motor coaches, buses and trolley buses",32.0
Bulgaria,2002,Percentage,"Motor coaches, buses and trolley buses",33.4
Bulgaria,2003,Percentage,"Motor coaches, buses and trolley buses",28.1
Bulgaria,2004,Percentage,"Motor coaches, buses and trolley buses",25.0
Bulgaria,2005,Percentage,"Motor coaches, buses and trolley buses",24.3
