DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Austria,2000,126,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Austria,2001,156,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Austria,2002,126,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Austria,2003,106,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Austria,2004,118,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Austria,2005,89,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Austria,2006,74,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Austria,2007,74,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Austria,2008,71,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Austria,2009,61,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Austria,2010,59,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Austria,2011,46,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Austria,2012,50,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Austria,2013,31,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Austria,2014,36,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Austria,2015,41,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Austria,2016,34,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Austria,2017,45,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Austria,2018,28,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Austria,2019,29,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Austria,2020,26,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Austria,2021,33,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Austria,2022,30,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Belgium,2000,236,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Belgium,2001,192,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Belgium,2002,171,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Belgium,2003,140,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Belgium,2004,125,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Belgium,2005,161,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Belgium,2006,164,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Belgium,2007,153,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Belgium,2008,139,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Belgium,2009,150,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Belgium,2010,109,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Belgium,2011,130,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Belgium,2012,113,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Belgium,2013,128,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Belgium,2014,108,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Belgium,2015,110,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Belgium,2016,102,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Belgium,2017,98,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Belgium,2018,102,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Belgium,2019,116,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Belgium,2020,86,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Belgium,2021,81,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Belgium,2022,86,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Bulgaria,2008,38,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Bulgaria,2009,36,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Bulgaria,2010,37,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Bulgaria,2011,36,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Bulgaria,2012,20,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Bulgaria,2013,20,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Bulgaria,2014,39,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Bulgaria,2015,60,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Bulgaria,2016,42,,
ESTAT:SDG_11_40(1.0),09/01/25 23:00:00,Annual,Motorways,Number,Bulgaria,2017,62,,
